ts_code,trade_date,total_mv,pb,pe_ttm
000826.SZ,20260416,279369.2366,66.6591,
000826.SZ,20260415,282219.9431,67.3393,
000826.SZ,20260414,292197.4158,69.7199,
000826.SZ,20260413,290772.0626,69.3799,
000826.SZ,20260410,296473.4756,70.7402,
000826.SZ,20260409,295048.1223,70.4001,
000826.SZ,20260408,296473.4756,70.7402,
000826.SZ,20260407,290772.0626,69.3799,
000826.SZ,20260403,279369.2366,66.6591,
000826.SZ,20260402,289346.7093,69.0398,
000826.SZ,20260401,296473.4756,70.7402,
000826.SZ,20260331,289346.7093,69.0398,
000826.SZ,20260330,300749.5353,71.7605,
000826.SZ,20260327,303600.2418,72.4407,
000826.SZ,20260326,299324.1821,71.4204,
000826.SZ,20260325,310727.0081,74.1412,
000826.SZ,20260324,307876.3016,73.461,
000826.SZ,20260323,295048.1223,70.4001,
000826.SZ,20260320,312152.3613,74.4813,
000826.SZ,20260319,312152.3613,74.4813,
000826.SZ,20260318,334958.0133,79.9229,
000826.SZ,20260317,327831.247,78.2224,
000826.SZ,20260316,330681.9535,78.9026,
000826.SZ,20260313,336383.3665,80.263,
000826.SZ,20260312,339234.073,80.9432,
000826.SZ,20260311,353487.6055,84.3441,
000826.SZ,20260310,356338.312,85.0243,
000826.SZ,20260309,362039.725,86.3847,
000826.SZ,20260306,357763.6652,85.3644,
000826.SZ,20260305,352062.2523,84.004,
000826.SZ,20260304,339234.073,80.9432,
000826.SZ,20260303,347786.1925,82.9837,
000826.SZ,20260302,360614.3717,86.0446,
000826.SZ,20260227,400524.2627,95.5673,
000826.SZ,20260226,394822.8497,94.207,
000826.SZ,20260225,359189.0185,85.7045,
000826.SZ,20260224,326405.8938,77.8823,
000826.SZ,20260213,324980.5405,77.5422,
000826.SZ,20260212,324980.5405,77.5422,
000826.SZ,20260211,330681.9535,78.9026,
000826.SZ,20260210,330681.9535,78.9026,
000826.SZ,20260209,322129.834,76.862,
000826.SZ,20260206,307876.3016,73.461,
000826.SZ,20260205,303600.2418,72.4407,
000826.SZ,20260204,303600.2418,72.4407,
000826.SZ,20260203,290772.0626,69.3799,
000826.SZ,20260202,287921.3561,68.6997,
000826.SZ,20260130,287921.3561,68.6997,
000826.SZ,20260129,319279.1276,76.1818,
000826.SZ,20260128,319279.1276,76.1818,
000826.SZ,20260127,322129.834,76.862,
000826.SZ,20260126,326405.8938,77.8823,
000826.SZ,20260123,332107.3068,79.2427,
000826.SZ,20260122,329256.6003,78.5625,
000826.SZ,20260121,320704.4808,76.5219,
000826.SZ,20260120,322129.834,76.862,
000826.SZ,20260119,324980.5405,77.5422,
000826.SZ,20260116,307876.3016,73.461,
000826.SZ,20260115,312152.3613,74.4813,
000826.SZ,20260114,322129.834,76.862,
000826.SZ,20260113,322129.834,76.862,
000826.SZ,20260112,326405.8938,77.8823,
000826.SZ,20260109,323555.1873,77.2021,
000826.SZ,20260108,323555.1873,77.2021,
000826.SZ,20260107,320704.4808,76.5219,
000826.SZ,20260106,323555.1873,77.2021,
000826.SZ,20260105,316428.4211,75.5016,
000826.SZ,20251231,316428.4211,75.5016,
000826.SZ,20251230,312152.3613,74.4813,
000826.SZ,20251229,310727.0081,74.1412,
000826.SZ,20251226,317853.7743,75.8417,
000826.SZ,20251225,327831.247,78.2224,
000826.SZ,20251224,320704.4808,76.5219,
000826.SZ,20251223,323555.1873,77.2021,
000826.SZ,20251222,332107.3068,79.2427,
000826.SZ,20251219,332107.3068,79.2427,
000826.SZ,20251218,302174.8886,72.1006,
000826.SZ,20251217,303600.2418,72.4407,
000826.SZ,20251216,305025.5951,72.7808,
000826.SZ,20251215,316428.4211,75.5016,
000826.SZ,20251212,312152.3613,74.4813,
000826.SZ,20251211,313577.7146,74.8214,
000826.SZ,20251210,327831.247,78.2224,
000826.SZ,20251209,324980.5405,77.5422,
000826.SZ,20251208,334958.0133,79.9229,
000826.SZ,20251205,337808.7198,80.6031,
000826.SZ,20251204,319279.1276,76.1818,
000826.SZ,20251203,327831.247,78.2224,
000826.SZ,20251202,332107.3068,79.2427,
000826.SZ,20251201,336383.3665,80.263,
000826.SZ,20251128,334958.0133,79.9229,
000826.SZ,20251127,329256.6003,78.5625,
000826.SZ,20251126,327831.247,78.2224,
000826.SZ,20251125,326405.8938,77.8823,
000826.SZ,20251124,320704.4808,76.5219,
000826.SZ,20251121,319279.1276,76.1818,
000826.SZ,20251120,330681.9535,78.9026,
000826.SZ,20251119,334958.0133,79.9229,
000826.SZ,20251118,346360.8393,82.6436,
000826.SZ,20251117,362039.725,86.3847,
000826.SZ,20251114,357763.6652,85.3644,
000826.SZ,20251113,367741.138,87.7451,
000826.SZ,20251112,377718.6107,90.1258,
000826.SZ,20251111,362039.725,86.3847,
000826.SZ,20251110,357763.6652,85.3644,
000826.SZ,20251107,354912.9588,84.6842,
000826.SZ,20251106,357763.6652,85.3644,
000826.SZ,20251105,370591.8445,88.4253,
000826.SZ,20251104,360614.3717,86.0446,
000826.SZ,20251103,364890.4315,87.0649,
000826.SZ,20251031,354912.9588,84.6842,
000826.SZ,20251030,322129.834,10.8,
000826.SZ,20251029,333532.66,11.1823,
000826.SZ,20251028,339234.073,11.3735,
000826.SZ,20251027,342084.7795,11.469,
000826.SZ,20251024,322129.834,10.8,
000826.SZ,20251023,327831.247,10.9912,
000826.SZ,20251022,326405.8938,10.9434,
000826.SZ,20251021,323555.1873,10.8478,
000826.SZ,20251020,313577.7146,10.5133,
000826.SZ,20251017,310727.0081,10.4177,
000826.SZ,20251016,310727.0081,10.4177,
000826.SZ,20251015,324980.5405,10.8956,
000826.SZ,20251014,324980.5405,10.8956,
000826.SZ,20251013,332107.3068,11.1345,
000826.SZ,20251010,337808.7198,11.3257,
000826.SZ,20251009,343510.1328,11.5168,
000826.SZ,20250930,340659.4263,11.4213,
000826.SZ,20250929,356338.312,11.9469,
000826.SZ,20250926,357763.6652,11.9947,
000826.SZ,20250925,324980.5405,10.8956,
000826.SZ,20250924,354912.9588,11.8991,
000826.SZ,20250923,322129.834,10.8,
000826.SZ,20250922,327831.247,10.9912,
000826.SZ,20250919,312152.3613,10.4655,
000826.SZ,20250918,326405.8938,10.9434,
000826.SZ,20250917,324980.5405,10.8956,
000826.SZ,20250916,329256.6003,11.039,
000826.SZ,20250915,324980.5405,10.8956,
000826.SZ,20250912,320704.4808,10.7522,
000826.SZ,20250911,317853.7743,10.6567,
000826.SZ,20250910,305025.5951,10.2266,
000826.SZ,20250909,302174.8886,10.131,
000826.SZ,20250908,306450.9483,10.2744,
000826.SZ,20250905,303600.2418,10.1788,
000826.SZ,20250904,302174.8886,10.131,
000826.SZ,20250903,300749.5353,10.0832,
000826.SZ,20250902,309301.6548,10.3699,
000826.SZ,20250901,306450.9483,10.2744,
000826.SZ,20250829,277943.8834,4.0302,
000826.SZ,20250828,285070.6496,4.1335,
000826.SZ,20250827,292197.4158,4.2369,
000826.SZ,20250826,299324.1821,4.3402,
000826.SZ,20250825,287921.3561,4.1749,
000826.SZ,20250822,286496.0028,4.1542,
000826.SZ,20250821,287921.3561,4.1749,
000826.SZ,20250820,286496.0028,4.1542,
000826.SZ,20250819,286496.0028,4.1542,
000826.SZ,20250818,285070.6496,4.1335,
000826.SZ,20250815,282219.9431,4.0922,
000826.SZ,20250814,280794.5899,4.0715,
000826.SZ,20250813,290772.0626,4.2162,
000826.SZ,20250812,287921.3561,4.1749,
000826.SZ,20250811,287921.3561,4.1749,
000826.SZ,20250808,280794.5899,4.0715,
000826.SZ,20250807,282219.9431,4.0922,
000826.SZ,20250806,279369.2366,4.0509,
000826.SZ,20250805,277943.8834,4.0302,
000826.SZ,20250804,277943.8834,4.0302,
000826.SZ,20250801,273667.8236,3.9682,
000826.SZ,20250731,267966.4106,3.8855,
000826.SZ,20250730,273667.8236,3.9682,
000826.SZ,20250729,276518.5301,4.0095,
000826.SZ,20250728,279369.2366,4.0509,
000826.SZ,20250725,280794.5899,4.0715,
000826.SZ,20250724,283645.2964,4.1129,
000826.SZ,20250723,276518.5301,4.0095,
000826.SZ,20250722,277943.8834,4.0302,
000826.SZ,20250721,280794.5899,4.0715,
000826.SZ,20250718,275093.1769,3.9889,
000826.SZ,20250717,275093.1769,3.9889,
000826.SZ,20250716,277943.8834,4.0302,
000826.SZ,20250715,276518.5301,4.0095,
000826.SZ,20250714,292197.4158,4.2369,
000826.SZ,20250711,295048.1223,4.2782,
000826.SZ,20250710,293622.7691,4.2575,
000826.SZ,20250709,287921.3561,4.1749,
000826.SZ,20250708,289346.7093,4.1955,
000826.SZ,20250707,286496.0028,4.1542,
000826.SZ,20250704,277943.8834,4.0302,
000826.SZ,20250703,286496.0028,4.1542,
000826.SZ,20250702,283645.2964,4.1129,
000826.SZ,20250701,285070.6496,4.1335,
000826.SZ,20250630,280794.5899,4.0715,
000826.SZ,20250627,280794.5899,4.0715,
000826.SZ,20250626,280794.5899,4.0715,
000826.SZ,20250625,282219.9431,4.0922,
000826.SZ,20250624,285070.6496,4.1335,
000826.SZ,20250623,277943.8834,4.0302,
000826.SZ,20250620,272242.4704,3.9475,
000826.SZ,20250619,285070.6496,4.1335,
000826.SZ,20250618,285070.6496,4.1335,
000826.SZ,20250617,289346.7093,4.1955,
000826.SZ,20250616,295048.1223,4.2782,
000826.SZ,20250613,296473.4756,4.2989,
000826.SZ,20250612,319279.1276,4.6296,
000826.SZ,20250611,315003.0678,4.5675,
000826.SZ,20250610,323555.1873,4.6916,
000826.SZ,20250609,306450.9483,4.4435,
000826.SZ,20250606,307876.3016,4.4642,
000826.SZ,20250605,312152.3613,4.5262,
000826.SZ,20250604,344935.486,5.0016,
000826.SZ,20250603,313577.7146,4.5469,
000826.SZ,20250530,347786.1925,5.0429,
000826.SZ,20250529,324980.5405,4.7122,
000826.SZ,20250528,295048.1223,4.2782,
000826.SZ,20250527,267966.4106,3.8855,
000826.SZ,20250526,260839.6444,3.7822,
000826.SZ,20250523,253712.8781,3.6788,
