ts_code,trade_date,total_mv,pb,pe_ttm
000957.SZ,20260416,729864.7452,2.3623,22.0516
000957.SZ,20260415,705555.6838,2.2836,21.3171
000957.SZ,20260414,709706.0114,2.2971,21.4425
000957.SZ,20260413,704369.876,2.2798,21.2813
000957.SZ,20260410,675910.487,2.1877,20.4215
000957.SZ,20260409,671167.2556,2.1723,20.2781
000957.SZ,20260408,667609.8319,2.1608,20.1707
000957.SZ,20260407,662866.6004,2.1455,20.0274
000957.SZ,20260403,648044.002,2.0975,19.5795
000957.SZ,20260402,667609.8319,2.1608,20.1707
000957.SZ,20260401,668795.6398,2.1647,20.2065
000957.SZ,20260331,683025.3343,2.2107,20.6364
000957.SZ,20260330,656937.5611,2.1263,19.8482
000957.SZ,20260327,659309.1768,2.134,19.9199
000957.SZ,20260326,656344.6572,2.1244,19.8303
000957.SZ,20260325,649822.7139,2.1033,19.6333
000957.SZ,20260324,639743.3469,2.0706,19.3287
000957.SZ,20260323,614248.4777,1.9881,18.5584
000957.SZ,20260320,648044.002,2.0975,19.5795
000957.SZ,20260319,659902.0808,2.1359,19.9378
000957.SZ,20260318,684804.0461,2.2165,20.6902
000957.SZ,20260317,685989.854,2.2203,20.726
000957.SZ,20260316,668202.7359,2.1627,20.1886
000957.SZ,20260313,664645.3123,2.1512,20.0811
000957.SZ,20260312,673538.8713,2.18,20.3498
000957.SZ,20260311,684804.0461,2.2165,20.6902
000957.SZ,20260310,673538.8713,2.18,20.3498
000957.SZ,20260309,651601.4257,2.109,19.687
000957.SZ,20260306,665238.2162,2.1531,20.099
000957.SZ,20260305,658716.2729,2.132,19.902
000957.SZ,20260304,643893.6745,2.0841,19.4541
000957.SZ,20260303,655751.7532,2.1224,19.8124
000957.SZ,20260302,687768.5658,2.2261,20.7797
000957.SZ,20260227,718599.5704,2.3259,21.7112
000957.SZ,20260226,720971.1862,2.3335,21.7829
000957.SZ,20260225,725121.5137,2.347,21.9083
000957.SZ,20260224,724528.6098,2.345,21.8904
000957.SZ,20260213,700812.4524,2.2683,21.1738
000957.SZ,20260212,708520.2035,2.2932,21.4067
000957.SZ,20260211,714449.2429,2.3124,21.5858
000957.SZ,20260210,708520.2035,2.2932,21.4067
000957.SZ,20260209,712670.5311,2.3067,21.5321
000957.SZ,20260206,713263.435,2.3086,21.55
