ts_code,trade_date,total_mv,pb,pe_ttm
000782.SZ,20260416,398903.8567,2.3202,
000782.SZ,20260415,362515.0368,2.1086,
000782.SZ,20260414,375560.0854,2.1844,
000782.SZ,20260413,375560.0854,2.1844,
000782.SZ,20260410,372127.1779,2.1645,
000782.SZ,20260409,372813.7594,2.1685,
000782.SZ,20260408,370067.4334,2.1525,
000782.SZ,20260407,362515.0368,2.1086,
000782.SZ,20260403,356335.8032,2.0726,
000782.SZ,20260402,370067.4334,2.1525,
000782.SZ,20260401,374873.5039,2.1804,
000782.SZ,20260331,375560.0854,2.1844,
000782.SZ,20260330,385858.8081,2.2443,
000782.SZ,20260327,364574.7813,2.1205,
000782.SZ,20260326,357022.3847,2.0766,
000782.SZ,20260325,363888.1998,2.1165,
000782.SZ,20260324,362515.0368,2.1086,
000782.SZ,20260323,341231.01,1.9848,
000782.SZ,20260320,368694.2703,2.1445,
000782.SZ,20260319,372127.1779,2.1645,
000782.SZ,20260318,395470.9492,2.3002,
000782.SZ,20260317,397530.6937,2.3122,
000782.SZ,20260316,412635.4869,2.4001,
000782.SZ,20260313,409889.1609,2.3841,
000782.SZ,20260312,418128.139,2.432,
000782.SZ,20260311,424307.3726,2.468,
000782.SZ,20260310,424307.3726,2.468,
000782.SZ,20260309,422934.2095,2.46,
000782.SZ,20260306,430486.6061,2.5039,
000782.SZ,20260305,422934.2095,2.46,
000782.SZ,20260304,411948.9054,2.3961,
000782.SZ,20260303,406456.2533,2.3641,
000782.SZ,20260302,429113.4431,2.4959,
000782.SZ,20260227,444218.2363,2.5838,
000782.SZ,20260226,452457.2144,2.6317,
000782.SZ,20260225,451084.0514,2.6237,
000782.SZ,20260224,442158.4918,2.5718,
000782.SZ,20260213,416754.976,2.424,
000782.SZ,20260212,422934.2095,2.46,
000782.SZ,20260211,420874.465,2.448,
000782.SZ,20260210,416068.3945,2.42,
000782.SZ,20260209,418814.7205,2.436,
000782.SZ,20260206,421561.0465,2.452,
000782.SZ,20260205,401650.1828,2.3362,
000782.SZ,20260204,405769.6718,2.3601,
000782.SZ,20260203,407829.4163,2.3721,
000782.SZ,20260202,396844.1122,2.3082,
000782.SZ,20260130,404396.5088,2.3522,
000782.SZ,20260129,387918.5526,2.2563,
000782.SZ,20260128,391351.4601,2.2763,
000782.SZ,20260127,391351.4601,2.2763,
000782.SZ,20260126,389978.2971,2.2683,
000782.SZ,20260123,391351.4601,2.2763,
000782.SZ,20260122,402336.7643,2.3402,
