ts_code,trade_date,total_mv,pb,pe_ttm
000980.SZ,20260416,1048849.9297,833.5587,
000980.SZ,20260415,1048849.9297,833.5587,
000980.SZ,20260414,1089190.3116,865.6186,
000980.SZ,20260413,1099275.4071,873.6336,
000980.SZ,20260410,1099275.4071,873.6336,
000980.SZ,20260409,1089190.3116,865.6186,
000980.SZ,20260408,1124488.1458,893.6711,
000980.SZ,20260407,1058935.0252,841.5737,
000980.SZ,20260403,1043807.382,829.5512,
000980.SZ,20260402,1099275.4071,873.6336,
000980.SZ,20260401,1184998.7187,941.761,
000980.SZ,20260331,1200126.3619,953.7835,
000980.SZ,20260330,1210211.4574,961.7985,
000980.SZ,20260327,1235424.1961,981.8359,
000980.SZ,20260326,1215254.0051,965.806,
000980.SZ,20260325,1245509.2915,989.8509,
000980.SZ,20260324,1205168.9096,957.791,
000980.SZ,20260323,1174913.6232,933.746,
000980.SZ,20260320,1255594.387,997.8659,
000980.SZ,20260319,1346360.2463,1070.0008,
000980.SZ,20260318,1341317.6986,1065.9933,
000980.SZ,20260317,1381658.0805,1098.0533,
000980.SZ,20260316,1371572.985,1090.0383,
000980.SZ,20260313,1351402.7941,1074.0083,
000980.SZ,20260312,1356445.3418,1078.0158,
000980.SZ,20260311,1376615.5327,1094.0458,
000980.SZ,20260310,1381658.0805,1098.0533,
000980.SZ,20260309,1396785.7237,1110.0757,
000980.SZ,20260306,1432083.5579,1138.1282,
000980.SZ,20260305,1381658.0805,1098.0533,
000980.SZ,20260304,1376615.5327,1094.0458,
000980.SZ,20260303,1401828.2714,1114.0832,
000980.SZ,20260302,1507721.774,1198.2406,
000980.SZ,20260227,1553104.7036,1234.308,
000980.SZ,20260226,1568232.3468,1246.3305,
000980.SZ,20260225,1623700.372,1290.413,
000980.SZ,20260224,1553104.7036,1234.308,
000980.SZ,20260213,1527891.9649,1214.2706,
000980.SZ,20260212,1517806.8694,1206.2556,
000980.SZ,20260211,1553104.7036,1234.308,
000980.SZ,20260210,1548062.1559,1230.3005,
000980.SZ,20260209,1588402.5378,1262.3605,
000980.SZ,20260206,1543019.6081,1226.2931,
000980.SZ,20260205,1512764.3217,1202.2481,
000980.SZ,20260204,1527891.9649,1214.2706,
000980.SZ,20260203,1517806.8694,1206.2556,
000980.SZ,20260202,1548062.1559,1230.3005,
000980.SZ,20260130,1628742.9197,1294.4204,
000980.SZ,20260129,1684210.9448,1338.5029,
000980.SZ,20260128,1689253.4926,1342.5104,
000980.SZ,20260127,1739678.97,1382.5853,
000980.SZ,20260126,1780019.3519,1414.6453,
000980.SZ,20260123,1744721.5177,1386.5928,
000980.SZ,20260122,1669083.3016,1326.4804,
000980.SZ,20260121,1694296.0403,1346.5179,
000980.SZ,20260120,1684210.9448,1338.5029,
000980.SZ,20260119,1724551.3267,1370.5628,
000980.SZ,20260116,1699338.588,1350.5254,
000980.SZ,20260115,1724551.3267,1370.5628,
000980.SZ,20260114,1754806.6132,1394.6078,
000980.SZ,20260113,1759849.1609,1398.6153,
000980.SZ,20260112,1790104.4473,1422.6602,
000980.SZ,20260109,1830444.8293,1454.7202,
000980.SZ,20260108,1774976.8041,1410.6378,
000980.SZ,20260107,1800189.5428,1430.6752,
000980.SZ,20260106,1850615.0202,1470.7502,
000980.SZ,20260105,1795146.9951,1426.6677,
000980.SZ,20251231,1780019.3519,1414.6453,
000980.SZ,20251230,1805232.0906,1434.6827,
000980.SZ,20251229,1835487.377,1458.7277,
000980.SZ,20251226,1880870.3066,1494.7951,
000980.SZ,20251225,1895997.9499,1506.8176,
000980.SZ,20251224,1890955.4021,1502.8101,
000980.SZ,20251223,1931295.784,1534.8701,
000980.SZ,20251222,1921210.6886,1526.8551,
000980.SZ,20251219,1956508.5227,1554.9075,
000980.SZ,20251218,1901040.4976,1510.8251,
000980.SZ,20251217,1860700.1157,1478.7652,
000980.SZ,20251216,1860700.1157,1478.7652,
000980.SZ,20251215,1901040.4976,1510.8251,
000980.SZ,20251212,1941380.8795,1542.8851,
000980.SZ,20251211,2011976.5479,1598.99,
000980.SZ,20251210,2077529.6685,1651.0874,
000980.SZ,20251209,1936338.3318,1538.8776,
000980.SZ,20251208,1921210.6886,1526.8551,
000980.SZ,20251205,1906083.0453,1514.8326,
000980.SZ,20251204,1885912.8544,1498.8026,
000980.SZ,20251203,1840529.9247,1462.7352,
000980.SZ,20251202,1885912.8544,1498.8026,
000980.SZ,20251201,1936338.3318,1538.8776,
000980.SZ,20251128,1800189.5428,1430.6752,
000980.SZ,20251127,1805232.0906,1434.6827,
000980.SZ,20251126,1764891.7087,1402.6228,
000980.SZ,20251125,1759849.1609,1398.6153,
000980.SZ,20251124,1739678.97,1382.5853,
000980.SZ,20251121,1780019.3519,1414.6453,
000980.SZ,20251120,1815317.186,1442.6977,
000980.SZ,20251119,1906083.0453,1514.8326,
000980.SZ,20251118,1880870.3066,1494.7951,
000980.SZ,20251117,1946423.4273,1546.8925,
000980.SZ,20251114,1921210.6886,1526.8551,
000980.SZ,20251113,1906083.0453,1514.8326,
000980.SZ,20251112,1734636.4222,1378.5778,
000980.SZ,20251111,1754806.6132,1394.6078,
000980.SZ,20251110,1805232.0906,1434.6827,
000980.SZ,20251107,1805232.0906,1434.6827,
000980.SZ,20251106,1830444.8293,1454.7202,
000980.SZ,20251105,1845572.4725,1466.7427,
000980.SZ,20251104,1850615.0202,1470.7502,
000980.SZ,20251103,1906083.0453,1514.8326,
000980.SZ,20251031,1870785.2112,1486.7801,
000980.SZ,20251030,1875827.7589,1490.7876,
000980.SZ,20251029,1986763.8092,1578.9525,
000980.SZ,20251028,2057359.4775,1635.0574,
000980.SZ,20251027,2042231.8343,1623.0349,
000980.SZ,20251024,1976678.7137,1570.9375,
000980.SZ,20251023,1941380.8795,222.5073,
000980.SZ,20251022,1880870.3066,215.572,
000980.SZ,20251021,1759849.1609,201.7014,
000980.SZ,20251020,1664040.7539,190.7205,
000980.SZ,20251017,1704381.1358,195.344,
000980.SZ,20251016,1759849.1609,201.7014,
000980.SZ,20251015,1790104.4473,205.169,
000980.SZ,20251014,1815317.186,208.0587,
000980.SZ,20251013,1996848.9046,228.8646,
000980.SZ,20251010,1815317.186,208.0587,
000980.SZ,20251009,1825402.2815,209.2146,
000980.SZ,20250930,1800189.5428,206.3249,
000980.SZ,20250929,1664040.7539,190.7205,
000980.SZ,20250926,1638828.0152,187.8308,
000980.SZ,20250925,1664040.7539,190.7205,
000980.SZ,20250924,1719508.779,197.0779,
000980.SZ,20250923,1679168.3971,192.4543,
000980.SZ,20250922,1729593.8745,198.2337,
000980.SZ,20250919,1764891.7087,202.2793,
000980.SZ,20250918,1805232.0906,206.9029,
000980.SZ,20250917,1830444.8293,209.7926,
000980.SZ,20250916,1860700.1157,213.2602,
000980.SZ,20250915,1825402.2815,209.2146,
000980.SZ,20250912,1880870.3066,215.572,
000980.SZ,20250911,1709423.6835,195.922,
000980.SZ,20250910,1653955.6584,189.5646,
000980.SZ,20250909,1628742.9197,186.6749,
000980.SZ,20250908,1482509.0353,169.9146,
000980.SZ,20250905,1346360.2463,154.3102,
000980.SZ,20250904,1285849.6734,147.3749,
000980.SZ,20250903,1361487.8895,156.0441,
000980.SZ,20250902,1416955.9147,162.4014,
000980.SZ,20250901,1427041.0101,163.5573,
000980.SZ,20250829,1295934.7689,98.328,
000980.SZ,20250828,1321147.5076,100.241,
000980.SZ,20250827,1275764.578,96.7976,
000980.SZ,20250826,1300977.3167,98.7106,
000980.SZ,20250825,1275764.578,96.7976,
000980.SZ,20250822,1280807.1257,97.1802,
000980.SZ,20250821,1230381.6483,93.3542,
000980.SZ,20250820,1200126.3619,91.0586,
000980.SZ,20250819,1205168.9096,91.4412,
000980.SZ,20250818,1225339.1006,92.9716,
000980.SZ,20250815,1220296.5528,92.589,
000980.SZ,20250814,1149700.8845,87.2326,
000980.SZ,20250813,1260636.9348,95.6498,
000980.SZ,20250812,1215254.0051,92.2064,
000980.SZ,20250811,1190041.2664,90.2934,
000980.SZ,20250808,1200126.3619,91.0586,
000980.SZ,20250807,1190041.2664,90.2934,
000980.SZ,20250806,1149700.8845,87.2326,
000980.SZ,20250805,1124488.1458,85.3196,
000980.SZ,20250804,1023637.191,77.6676,
000980.SZ,20250801,1003467.0001,76.1372,
000980.SZ,20250731,978254.2614,74.2242,
000980.SZ,20250730,988339.3568,74.9894,
000980.SZ,20250729,993381.9046,75.372,
000980.SZ,20250728,998424.4523,75.7546,
000980.SZ,20250725,1008509.5478,76.5198,
000980.SZ,20250724,1023637.191,77.6676,
000980.SZ,20250723,993381.9046,75.372,
000980.SZ,20250722,1003467.0001,76.1372,
000980.SZ,20250721,1013552.0955,76.9024,
000980.SZ,20250718,1003467.0001,76.1372,
000980.SZ,20250717,1003467.0001,76.1372,
000980.SZ,20250716,993381.9046,75.372,
000980.SZ,20250715,983296.8091,74.6068,
000980.SZ,20250714,998424.4523,75.7546,
000980.SZ,20250711,1013552.0955,76.9024,
000980.SZ,20250710,1003467.0001,76.1372,
000980.SZ,20250709,1028679.7388,78.0502,
000980.SZ,20250708,1043807.382,79.198,
000980.SZ,20250707,1038764.8342,78.8154,
000980.SZ,20250704,1033722.2865,78.4328,
000980.SZ,20250703,1053892.4775,79.9632,
000980.SZ,20250702,1043807.382,79.198,
000980.SZ,20250701,1053892.4775,79.9632,
000980.SZ,20250630,1058935.0252,80.3458,
000980.SZ,20250627,1058935.0252,80.3458,
000980.SZ,20250626,1048849.9297,79.5806,
000980.SZ,20250625,1063977.5729,80.7284,
000980.SZ,20250624,1063977.5729,80.7284,
000980.SZ,20250623,1038764.8342,78.8154,
000980.SZ,20250620,1033722.2865,78.4328,
000980.SZ,20250619,1028679.7388,78.0502,
000980.SZ,20250618,1043807.382,79.198,
000980.SZ,20250617,1074062.6684,81.4936,
000980.SZ,20250616,1063977.5729,80.7284,
000980.SZ,20250613,1058935.0252,80.3458,
000980.SZ,20250612,1109360.5026,84.1718,
000980.SZ,20250611,1114403.0503,84.5544,
000980.SZ,20250610,1089190.3116,82.6414,
000980.SZ,20250609,1109360.5026,84.1718,
000980.SZ,20250606,1033722.2865,78.4328,
000980.SZ,20250605,1028679.7388,78.0502,
000980.SZ,20250604,1033722.2865,78.4328,
000980.SZ,20250603,1023637.191,77.6676,
000980.SZ,20250530,1038764.8342,78.8154,
000980.SZ,20250529,1079105.2161,81.8762,
000980.SZ,20250528,1048849.9297,79.5806,
000980.SZ,20250527,1058935.0252,80.3458,
000980.SZ,20250526,1058935.0252,80.3458,
000980.SZ,20250523,1094232.8594,83.024,
000980.SZ,20250522,1099275.4071,83.4066,
000980.SZ,20250521,1129530.6935,85.7022,
000980.SZ,20250520,1149700.8845,87.2326,
000980.SZ,20250519,1129530.6935,85.7022,
000980.SZ,20250516,1119445.5981,84.937,
000980.SZ,20250515,1084147.7639,82.2588,
000980.SZ,20250514,1114403.0503,84.5544,
000980.SZ,20250513,1104317.9548,83.7892,
000980.SZ,20250512,1099275.4071,83.4066,
000980.SZ,20250509,1094232.8594,83.024,
000980.SZ,20250508,1124488.1458,85.3196,
000980.SZ,20250507,1094232.8594,83.024,
000980.SZ,20250506,1084147.7639,82.2588,
000980.SZ,20250430,1058935.0252,80.3458,
000980.SZ,20250429,1023637.191,43.5885,
000980.SZ,20250428,1084147.7639,46.1651,
000980.SZ,20250425,1003467.0001,11.1195,
000980.SZ,20250424,1013552.0955,11.2312,
000980.SZ,20250423,1048849.9297,11.6224,
000980.SZ,20250422,1018594.6433,11.2871,
000980.SZ,20250421,1018594.6433,11.2871,
000980.SZ,20250418,1013552.0955,11.2312,
000980.SZ,20250417,1023637.191,11.343,
000980.SZ,20250416,1028679.7388,11.3989,
000980.SZ,20250415,1048849.9297,11.6224,
000980.SZ,20250414,1074062.6684,11.9018,
000980.SZ,20250411,1008509.5478,11.1754,
000980.SZ,20250410,1003467.0001,11.1195,
000980.SZ,20250409,968169.1659,10.7284,
000980.SZ,20250408,947998.9749,10.5048,
000980.SZ,20250407,1008509.5478,11.1754,
000980.SZ,20250403,1119445.5981,12.4047,
000980.SZ,20250402,1124488.1458,12.4605,
000980.SZ,20250401,1144658.3368,12.684,
000980.SZ,20250331,1149700.8845,12.7399,
000980.SZ,20250328,1159785.98,12.8517,
000980.SZ,20250327,1159785.98,12.8517,
000980.SZ,20250326,1200126.3619,13.2987,
000980.SZ,20250325,1169871.0754,12.9634,
000980.SZ,20250324,1164828.5277,12.9076,
000980.SZ,20250321,1200126.3619,13.2987,
000980.SZ,20250320,1250551.8393,13.8575,
000980.SZ,20250319,1295934.7689,14.3603,
000980.SZ,20250318,1300977.3167,14.4162,
000980.SZ,20250317,1326190.0554,14.6956,
000980.SZ,20250314,1285849.6734,14.2486,
000980.SZ,20250313,1265679.4825,14.0251,
000980.SZ,20250312,1321147.5076,14.6397,
000980.SZ,20250311,1316104.9599,14.5839,
000980.SZ,20250310,1341317.6986,14.8632,
000980.SZ,20250307,1290892.2212,14.3045,
000980.SZ,20250306,1336275.1508,14.8074,
000980.SZ,20250305,1346360.2463,14.9191,
000980.SZ,20250304,1391743.176,15.422,
000980.SZ,20250303,1316104.9599,14.5839,
000980.SZ,20250228,1195083.8141,13.2428,
000980.SZ,20250227,1290892.2212,14.3045,
000980.SZ,20250226,1326190.0554,14.6956,
000980.SZ,20250225,1205168.9096,13.3546,
000980.SZ,20250224,1109360.5026,12.2929,
000980.SZ,20250221,1094232.8594,12.1253,
000980.SZ,20250220,1104317.9548,12.237,
000980.SZ,20250219,1104317.9548,12.237,
000980.SZ,20250218,1089190.3116,12.0694,
000980.SZ,20250217,1159785.98,12.8517,
000980.SZ,20250214,1124488.1458,12.4605,
000980.SZ,20250213,1144658.3368,12.684,
000980.SZ,20250212,1149700.8845,12.7399,
000980.SZ,20250211,1134573.2413,12.5723,
000980.SZ,20250210,1174913.6232,13.0193,
000980.SZ,20250207,1134573.2413,12.5723,
000980.SZ,20250206,1104317.9548,12.237,
000980.SZ,20250205,1069020.1207,11.8459,
000980.SZ,20250127,1028679.7388,11.3989,
000980.SZ,20250124,1053892.4775,11.6783,
000980.SZ,20250123,1058935.0252,11.7341,
000980.SZ,20250122,1084147.7639,12.0135,
000980.SZ,20250121,1109360.5026,12.2929,
000980.SZ,20250120,1139615.789,12.6282,
000980.SZ,20250117,1134573.2413,12.5723,
000980.SZ,20250116,1149700.8845,12.7399,
000980.SZ,20250115,1134573.2413,12.5723,
000980.SZ,20250114,1154743.4322,9.8469,
000980.SZ,20250113,1063977.5729,9.0729,
000980.SZ,20250110,1089190.3116,9.2879,
000980.SZ,20250109,1154743.4322,9.8469,
000980.SZ,20250108,1144658.3368,9.7609,
000980.SZ,20250107,1149700.8845,9.8039,
000980.SZ,20250106,1079105.2161,9.2019,
000980.SZ,20250103,1104317.9548,9.4169,
000980.SZ,20250102,1184998.7187,10.1049,
000980.SZ,20241231,1205168.9096,10.2769,
000980.SZ,20241230,1265679.4825,10.7929,
000980.SZ,20241227,1326190.0554,11.3089,
