ts_code,trade_date,close,turnover_rate,turnover_rate_f,pe,pe_ttm,pb,ps,ps_ttm,total_mv,circ_mv
000518.SZ,20260421,2.99,1.2658,1.9522,,,9.1996,8.9388,8.9388,307837.3104,307831.1722
000518.SZ,20260420,2.98,3.2607,5.0289,,,9.1688,8.9089,8.9089,306807.7542,306801.6365
000518.SZ,20260417,3.03,3.9592,6.1062,,,8.6892,15.3282,9.1243,311955.5353,311949.315
000518.SZ,20260416,3.13,1.552,2.3936,,,8.976,15.8341,9.4254,322251.0975,322244.6719
000518.SZ,20260415,3.09,1.188,1.8323,,,8.8612,15.6317,9.3049,318132.8726,318126.5291
000518.SZ,20260414,3.09,1.7169,2.6479,,,8.8612,15.6317,9.3049,318132.8726,318126.5291
000518.SZ,20260413,3.02,1.2862,1.9836,,,8.6605,15.2776,9.0941,310925.979,310919.7793
000518.SZ,20260410,2.95,0.7063,1.0893,,,8.4598,14.9235,8.8833,303719.0855,303713.0294
000518.SZ,20260409,2.92,1.0724,1.6539,,,8.3737,14.7717,8.793,300630.4168,300624.4224
000518.SZ,20260408,2.88,0.8453,1.3037,,,8.259,14.5694,8.6726,296512.1919,296506.2796
000518.SZ,20260407,2.83,1.115,1.7196,,,8.1156,14.3164,8.522,291364.4108,291358.6011
000518.SZ,20260403,2.79,1.6464,2.5391,,,8.0009,14.1141,8.4015,287246.1859,287240.4583
000518.SZ,20260402,2.9,0.7611,1.1738,,,8.3164,14.6706,8.7328,298571.3044,298565.351
000518.SZ,20260401,2.95,0.8121,1.2525,,,8.4598,14.9235,8.8833,303719.0855,303713.0294
000518.SZ,20260331,2.95,0.8962,1.3822,,,8.4598,14.9235,8.8833,303719.0855,303713.0294
000518.SZ,20260330,2.98,0.8259,1.2737,,,8.5458,15.0753,8.9737,306807.7542,306801.6365
000518.SZ,20260327,2.95,0.7577,1.1686,,,8.4598,14.9235,8.8833,303719.0855,303713.0294
000518.SZ,20260326,2.92,0.8347,1.2873,,,8.3737,14.7717,8.793,300630.4168,300624.4224
000518.SZ,20260325,2.93,0.8797,1.3568,,,8.4024,14.8223,8.8231,301659.973,301653.958
000518.SZ,20260324,2.89,1.3516,2.0845,,,8.2877,14.62,8.7027,297541.7482,297535.8153
000518.SZ,20260323,2.83,1.7976,2.7724,,,8.1156,14.3164,8.522,291364.4108,291358.6011
000518.SZ,20260320,2.92,2.7143,4.1862,,,8.3737,14.7717,8.793,300630.4168,300624.4224
000518.SZ,20260319,3.04,1.6014,2.4698,,,8.7179,15.3788,9.1544,312985.0915,312978.8507
000518.SZ,20260318,3.07,1.9825,3.0575,,,8.8039,15.5306,9.2447,316073.7602,316067.4578
000518.SZ,20260317,2.96,1.9926,3.0731,,,8.4884,14.9741,8.9135,304748.6417,304742.5651
000518.SZ,20260316,3.01,2.9565,4.5597,,,8.6318,15.227,9.064,309896.4228,309890.2436
000518.SZ,20260313,2.91,1.8008,2.7773,,,8.3451,14.7212,8.7629,299600.8606,299594.8867
000518.SZ,20260312,2.94,3.8733,5.9736,,,8.4311,14.8729,8.8532,302689.5293,302683.4937
000518.SZ,20260311,2.9,0.9871,1.5223,,,8.3164,14.6706,8.7328,298571.3044,298565.351
000518.SZ,20260310,2.88,1.9547,3.0147,,,8.259,14.5694,8.6726,296512.1919,296506.2796
000518.SZ,20260309,2.8,1.3315,2.0535,,,8.0296,14.1647,8.4317,288275.7422,288269.994
000518.SZ,20260306,2.81,0.8898,1.3724,,,8.0583,14.2153,8.4618,289305.2984,289299.5297
000518.SZ,20260305,2.81,0.7727,1.1918,,,8.0583,14.2153,8.4618,289305.2984,289299.5297
000518.SZ,20260304,2.78,1.0984,1.6941,,,7.9723,14.0635,8.3714,286216.6297,286210.9227
000518.SZ,20260303,2.73,1.6081,2.4802,,,7.8289,13.8106,8.2209,281068.8486,281063.2442
000518.SZ,20260302,2.81,1.7208,2.6539,,,8.0583,14.2153,8.4618,289305.2984,289299.5297
000518.SZ,20260227,2.76,1.3321,2.0545,,,7.9149,13.9623,8.3112,284157.5173,284151.8513
000518.SZ,20260226,2.78,2.5482,3.9301,,,7.9723,14.0635,8.3714,286216.6297,286210.9227
000518.SZ,20260225,2.76,0.5757,0.8879,,,7.9149,13.9623,8.3112,284157.5173,284151.8513
000518.SZ,20260224,2.63,0.7422,1.1447,,,7.5421,13.3047,7.9197,270773.2864,270767.8873
000518.SZ,20260213,2.57,0.6998,1.0793,,,7.37,13.0012,7.7391,264595.9491,264590.6731
000518.SZ,20260212,2.55,0.8482,1.3081,,,7.3127,12.9,7.6788,262536.8366,262531.6017
000518.SZ,20260211,2.6,1.1479,1.7704,,,7.4561,13.1529,7.8294,267684.6177,267679.2802
000518.SZ,20260210,2.6,0.6673,1.0292,,,7.4561,13.1529,7.8294,267684.6177,267679.2802
000518.SZ,20260209,2.59,0.8954,1.381,,,7.4274,13.1023,7.7993,266655.0615,266649.7445
000518.SZ,20260206,2.61,1.1311,1.7444,,,7.4847,13.2035,7.8595,268714.1739,268708.8159
000518.SZ,20260205,2.67,0.9033,1.3931,,,7.6568,13.507,8.0402,274891.5113,274886.03
000518.SZ,20260204,2.64,1.1639,1.795,,,7.5708,13.3553,7.9498,271802.8426,271797.423
000518.SZ,20260203,2.59,1.157,1.7844,,,7.4274,13.1023,7.7993,266655.0615,266649.7445
000518.SZ,20260202,2.59,1.593,2.4569,,,7.4274,13.1023,7.7993,266655.0615,266649.7445
000518.SZ,20260130,2.6,1.8712,2.8859,,,7.4561,13.1529,7.8294,267684.6177,267679.2802
000518.SZ,20260129,2.53,3.7934,5.8504,,,7.2553,12.7988,7.6186,260477.7242,260472.5303
000518.SZ,20260128,2.63,1.8494,2.8523,,,7.5421,13.3047,7.9197,270773.2864,270767.8873
000518.SZ,20260127,2.77,2.035,3.1386,,,7.9436,14.0129,8.3413,285187.0735,285181.387
000518.SZ,20260126,2.85,2.2845,3.5234,,,8.173,14.4176,8.5822,293423.5233,293417.6725
000518.SZ,20260123,2.74,1.3083,2.0178,,,7.8575,13.8612,8.251,282098.4048,282092.7799
000518.SZ,20260122,2.72,1.8204,2.8075,,,7.8002,13.76,8.1907,280039.2924,280033.7085
000518.SZ,20260121,2.64,0.9822,1.5148,,,7.5708,13.3553,7.9498,271802.8426,271797.423
000518.SZ,20260120,2.59,1.378,2.1253,,,7.4274,13.1023,7.7993,266655.0615,266649.7445
000518.SZ,20260119,2.6,1.7578,2.7111,,,7.4561,13.1529,7.8294,267684.6177,267679.2802
000518.SZ,20260116,2.51,0.5525,0.8521,,,7.198,12.6976,7.5584,258418.6117,258413.4589
000518.SZ,20260115,2.5,0.6646,1.025,,,7.1693,12.647,7.5283,257389.0555,257383.9233
000518.SZ,20260114,2.52,1.487,2.2934,,,7.2266,12.7482,7.5885,259448.1679,259442.9946
000518.SZ,20260113,2.49,1.7134,2.6425,,,7.1406,12.5965,7.4981,256359.4993,256354.3876
000518.SZ,20260112,2.46,0.9466,1.46,,,7.0546,12.4447,7.4078,253270.8306,253265.7805
000518.SZ,20260109,2.47,0.791,1.22,,,7.0833,12.4953,7.4379,254300.3868,254295.3162
000518.SZ,20260108,2.47,0.8727,1.3459,,,7.0833,12.4953,7.4379,254300.3868,254295.3162
000518.SZ,20260107,2.43,0.4074,0.6284,,,6.9686,12.2929,7.3175,250182.1619,250177.1734
000518.SZ,20260106,2.44,0.7061,1.0891,,,6.9972,12.3435,7.3476,251211.7182,251206.7091
000518.SZ,20260105,2.42,0.6049,0.9328,,,6.9399,12.2423,7.2874,249152.6057,249147.6377
000518.SZ,20251231,2.41,0.2712,0.4183,,,6.9112,12.1917,7.2572,248123.0495,248118.102
000518.SZ,20251230,2.39,0.4152,0.6404,,,6.8538,12.0906,7.197,246063.9371,246059.0306
000518.SZ,20251229,2.41,0.6783,1.0461,,,6.9112,12.1917,7.2572,248123.0495,248118.102
000518.SZ,20251226,2.44,0.7099,1.0948,,,6.9972,12.3435,7.3476,251211.7182,251206.7091
000518.SZ,20251225,2.46,1.0609,1.6362,,,7.0546,12.4447,7.4078,253270.8306,253265.7805
000518.SZ,20251224,2.39,0.4485,0.6917,,,6.8538,12.0906,7.197,246063.9371,246059.0306
000518.SZ,20251223,2.39,0.5392,0.8316,,,6.8538,12.0906,7.197,246063.9371,246059.0306
000518.SZ,20251222,2.41,0.6346,0.9787,,,6.9112,12.1917,7.2572,248123.0495,248118.102
000518.SZ,20251219,2.42,0.6352,0.9796,,,6.9399,12.2423,7.2874,249152.6057,249147.6377
000518.SZ,20251218,2.4,0.6204,0.9568,,,6.8825,12.1412,7.2271,247093.4933,247088.5663
000518.SZ,20251217,2.38,0.544,0.839,,,6.8252,12.04,7.1669,245034.3808,245029.4949
000518.SZ,20251216,2.38,0.8897,1.3721,,,6.8252,12.04,7.1669,245034.3808,245029.4949
000518.SZ,20251215,2.4,0.7269,1.121,,,6.8825,12.1412,7.2271,247093.4933,247088.5663
000518.SZ,20251212,2.44,0.5119,0.7896,,,6.9972,12.3435,7.3476,251211.7182,251206.7091
000518.SZ,20251211,2.43,0.9643,1.4872,,,6.9686,12.2929,7.3175,250182.1619,250177.1734
000518.SZ,20251210,2.47,0.7998,1.2335,,,7.0833,12.4953,7.4379,254300.3868,254295.3162
000518.SZ,20251209,2.47,0.9633,1.4857,,,7.0833,12.4953,7.4379,254300.3868,254295.3162
000518.SZ,20251208,2.51,0.9886,1.5247,,,7.198,12.6976,7.5584,258418.6117,258413.4589
000518.SZ,20251205,2.54,0.8064,1.2437,,,7.284,12.8494,7.6487,261507.2804,261502.066
000518.SZ,20251204,2.5,0.71,1.095,,,7.1693,12.647,7.5283,257389.0555,257383.9233
000518.SZ,20251203,2.5,0.7658,1.1811,,,7.1693,12.647,7.5283,257389.0555,257383.9233
000518.SZ,20251202,2.53,0.9029,1.3925,,,7.2553,12.7988,7.6186,260477.7242,260472.5303
000518.SZ,20251201,2.59,0.8342,1.2865,,,7.4274,13.1023,7.7993,266655.0615,266649.7445
000518.SZ,20251128,2.55,0.5593,0.8626,,,7.3127,12.9,7.6788,262536.8366,262531.6017
000518.SZ,20251127,2.55,0.8512,1.3129,,,7.3127,12.9,7.6788,262536.8366,262531.6017
000518.SZ,20251126,2.58,0.6604,1.0186,,,7.3987,13.0517,7.7692,265625.5053,265620.2088
000518.SZ,20251125,2.55,0.9035,1.3934,,,7.3127,12.9,7.6788,262536.8366,262531.6017
000518.SZ,20251124,2.54,1.2153,1.8743,,,7.284,12.8494,7.6487,261507.2804,261502.066
000518.SZ,20251121,2.45,1.6366,2.5241,,,7.0259,12.3941,7.3777,252241.2744,252236.2448
000518.SZ,20251120,2.53,1.6365,2.5239,,,7.2553,12.7988,7.6186,260477.7242,260472.5303
000518.SZ,20251119,2.63,1.1721,1.8077,,,7.5421,13.3047,7.9197,270773.2864,270767.8873
000518.SZ,20251118,2.6,1.593,2.4568,,,7.4561,13.1529,7.8294,267684.6177,267679.2802
000518.SZ,20251117,2.65,1.2516,1.9303,,,7.5995,13.4059,7.98,272832.3988,272826.9586
000518.SZ,20251114,2.62,1.3696,2.1123,,,7.5134,13.2541,7.8896,269743.7302,269738.3516
000518.SZ,20251113,2.6,1.644,2.5355,,,7.4561,13.1529,7.8294,267684.6177,267679.2802
000518.SZ,20251112,2.58,1.2359,1.9061,,,7.3987,13.0517,7.7692,265625.5053,265620.2088
000518.SZ,20251111,2.54,0.8713,1.3439,,,7.284,12.8494,7.6487,261507.2804,261502.066
000518.SZ,20251110,2.51,1.2,1.8507,,,7.198,12.6976,7.5584,258418.6117,258413.4589
000518.SZ,20251107,2.54,0.8591,1.325,,,7.284,12.8494,7.6487,261507.2804,261502.066
000518.SZ,20251106,2.55,0.9044,1.3949,,,7.3127,12.9,7.6788,262536.8366,262531.6017
000518.SZ,20251105,2.57,0.9379,1.4465,,,7.37,13.0012,7.7391,264595.9491,264590.6731
000518.SZ,20251104,2.55,1.34,2.0666,,,7.3127,12.9,7.6788,262536.8366,262531.6017
000518.SZ,20251103,2.53,1.6098,2.4827,,,7.2553,12.7988,7.6186,260477.7242,260472.5303
000518.SZ,20251031,2.46,1.0589,1.6331,,,7.0546,12.4447,7.4078,253270.8306,253265.7805
000518.SZ,20251030,2.46,1.1647,1.7963,,,7.0546,12.4447,7.4078,253270.8306,253265.7805
000518.SZ,20251029,2.47,1.0278,1.5851,,,7.0833,12.4953,7.4379,254300.3868,254295.3162
000518.SZ,20251028,2.49,1.4148,2.1821,,,7.1406,12.5965,7.4981,256359.4993,256354.3876
000518.SZ,20251027,2.48,2.7649,4.2643,,,7.1119,12.5459,7.468,255329.9431,255324.8519
000518.SZ,20251024,2.6,2.8991,4.4711,,,7.4025,13.1529,9.5736,267684.6177,267679.2802
000518.SZ,20251023,2.5,0.941,1.4513,,,7.1178,12.647,9.2054,257389.0555,257383.9233
000518.SZ,20251022,2.49,0.9286,1.4321,,,7.0893,12.5965,9.1686,256359.4993,256354.3876
000518.SZ,20251021,2.49,1.4355,2.214,,,7.0893,12.5965,9.1686,256359.4993,256354.3876
000518.SZ,20251020,2.5,1.9203,2.9616,,,7.1178,12.647,9.2054,257389.0555,257383.9233
000518.SZ,20251017,2.41,1.0767,1.6605,,,6.8615,12.1917,8.874,248123.0495,248118.102
000518.SZ,20251016,2.43,1.464,2.2579,,,6.9185,12.2929,8.9477,250182.1619,250177.1734
000518.SZ,20251015,2.41,0.9613,1.4826,,,6.8615,12.1917,8.874,248123.0495,248118.102
000518.SZ,20251014,2.37,1.3765,2.1229,,,6.7477,11.9894,8.7267,244004.8246,243999.9592
000518.SZ,20251013,2.42,1.7549,2.7065,,,6.89,12.2423,8.9108,249152.6057,249147.6377
000518.SZ,20251010,2.37,2.1512,3.3178,,,6.7477,11.9894,8.7267,244004.8246,243999.9592
000518.SZ,20251009,2.39,2.7465,4.2358,,,6.8046,12.0906,8.8004,246063.9371,246059.0306
000518.SZ,20250930,2.28,0.5215,0.8044,,,6.4914,11.5341,8.3953,234738.8186,234734.138
000518.SZ,20250929,2.28,0.5927,0.914,,,6.4914,11.5341,8.3953,234738.8186,234734.138
000518.SZ,20250926,2.28,0.6397,0.9865,,,6.4914,11.5341,8.3953,234738.8186,234734.138
000518.SZ,20250925,2.26,0.4952,0.7637,,,6.4345,11.4329,8.3217,232679.7062,232675.0666
000518.SZ,20250924,2.28,0.5446,0.8399,,,6.4914,11.5341,8.3953,234738.8186,234734.138
000518.SZ,20250923,2.25,1.2027,1.8548,,,6.406,11.3823,8.2849,231650.15,231645.5309
000518.SZ,20250922,2.3,0.6226,0.9602,,,6.5484,11.6353,8.469,236797.9311,236793.2094
000518.SZ,20250919,2.3,0.9302,1.4347,,,6.5484,11.6353,8.469,236797.9311,236793.2094
000518.SZ,20250918,2.32,1.3824,2.1321,,,6.6053,11.7365,8.5426,238857.0435,238852.2808
000518.SZ,20250917,2.34,0.9547,1.4725,,,6.6622,11.8376,8.6163,240916.1559,240911.3522
000518.SZ,20250916,2.37,1.3671,2.1084,,,6.7477,11.9894,8.7267,244004.8246,243999.9592
000518.SZ,20250915,2.34,0.7657,1.1809,,,6.6622,11.8376,8.6163,240916.1559,240911.3522
000518.SZ,20250912,2.35,1.0829,1.6702,,,6.6907,11.8882,8.6531,241945.7122,241940.8879
000518.SZ,20250911,2.35,1.1453,1.7664,,,6.6907,11.8882,8.6531,241945.7122,241940.8879
000518.SZ,20250910,2.36,1.1015,1.6988,,,6.7192,11.9388,8.6899,242975.2684,242970.4235
000518.SZ,20250909,2.38,1.3635,2.1029,,,6.7761,12.04,8.7636,245034.3808,245029.4949
000518.SZ,20250908,2.38,1.0792,1.6645,,,6.7761,12.04,8.7636,245034.3808,245029.4949
000518.SZ,20250905,2.39,1.3079,2.0172,,,6.8046,12.0906,8.8004,246063.9371,246059.0306
000518.SZ,20250904,2.37,1.7171,2.6482,,,6.7477,11.9894,8.7267,244004.8246,243999.9592
000518.SZ,20250903,2.37,2.9752,4.5885,,,6.7477,11.9894,8.7267,244004.8246,243999.9592
000518.SZ,20250902,2.31,1.0523,1.623,,,6.5768,11.6859,8.5058,237827.4873,237822.7451
000518.SZ,20250901,2.31,1.2158,1.875,,,6.5768,11.6859,8.5058,237827.4873,237822.7451
000518.SZ,20250829,2.31,1.2481,1.9249,,,6.5768,11.6859,8.5058,237827.4873,237822.7451
000518.SZ,20250828,2.36,2.1798,3.3618,,,6.7192,11.9388,8.6899,242975.2684,242970.4235
000518.SZ,20250827,2.36,3.2555,5.0209,,,6.7192,11.9388,8.6899,242975.2684,242970.4235
000518.SZ,20250826,2.47,3.6427,5.5538,,,7.1473,12.4953,13.3169,254300.3868,254295.3162
000518.SZ,20250825,2.51,2.1648,3.3006,,,7.2631,12.6976,13.5326,258418.6117,258413.4589
000518.SZ,20250822,2.39,2.6093,3.9784,,,6.9158,12.0906,12.8856,246063.9371,246059.0306
000518.SZ,20250821,2.28,1.0512,1.6027,,,6.5975,11.5341,12.2926,234738.8186,234734.138
000518.SZ,20250820,2.3,1.8378,2.802,,,6.6554,11.6353,12.4004,236797.9311,236793.2094
000518.SZ,20250819,2.24,1.1276,1.7191,,,6.4818,11.3317,12.0769,230620.5937,230615.9952
000518.SZ,20250818,2.26,1.45,2.2107,,,6.5396,11.4329,12.1847,232679.7062,232675.0666
000518.SZ,20250815,2.28,0.8205,1.251,,,6.5975,11.5341,12.2926,234738.8186,234734.138
000518.SZ,20250814,2.27,1.1339,1.7288,,,6.5686,11.4835,12.2386,233709.2624,233704.6023
000518.SZ,20250813,2.3,1.1096,1.6918,,,6.6554,11.6353,12.4004,236797.9311,236793.2094
000518.SZ,20250812,2.33,0.7913,1.2064,,,6.7422,11.787,12.5621,239886.5997,239881.8165
000518.SZ,20250811,2.34,0.7995,1.219,,,6.7711,11.8376,12.616,240916.1559,240911.3522
000518.SZ,20250808,2.34,1.0191,1.5538,,,6.7711,11.8376,12.616,240916.1559,240911.3522
000518.SZ,20250807,2.34,1.1232,1.7125,,,6.7711,11.8376,12.616,240916.1559,240911.3522
000518.SZ,20250806,2.3,1.2572,1.9168,,,6.6554,11.6353,12.4004,236797.9311,236793.2094
000518.SZ,20250805,2.32,1.1688,1.782,,,6.7133,11.7365,12.5082,238857.0435,238852.2808
000518.SZ,20250804,2.27,0.9452,1.4411,,,6.5686,11.4835,12.2386,233709.2624,233704.6023
000518.SZ,20250801,2.23,1.0353,1.5785,,,6.4528,11.2812,12.023,229591.0375,229586.4595
000518.SZ,20250731,2.26,0.7454,1.1365,,,6.5396,11.4329,12.1847,232679.7062,232675.0666
000518.SZ,20250730,2.28,0.8315,1.2678,,,6.5975,11.5341,12.2926,234738.8186,234734.138
000518.SZ,20250729,2.32,1.0843,1.6532,,,6.7133,11.7365,12.5082,238857.0435,238852.2808
000518.SZ,20250728,2.29,0.9615,1.4659,,,6.6265,11.5847,12.3465,235768.3748,235763.6737
000518.SZ,20250725,2.3,0.9108,1.3887,,,6.6554,11.6353,12.4004,236797.9311,236793.2094
000518.SZ,20250724,2.29,1.0625,1.6199,,,6.6265,11.5847,12.3465,235768.3748,235763.6737
000518.SZ,20250723,2.26,2.7726,4.2274,,,6.5396,11.4329,12.1847,232679.7062,232675.0666
000518.SZ,20250722,2.37,0.8581,1.3083,,,6.8579,11.9894,12.7778,244004.8246,243999.9592
000518.SZ,20250721,2.38,0.7138,1.0884,,,6.8869,12.04,12.8317,245034.3808,245029.4949
000518.SZ,20250718,2.39,0.8669,1.3218,,,6.9158,12.0906,12.8856,246063.9371,246059.0306
000518.SZ,20250717,2.41,1.4709,2.2426,,,6.9737,12.1917,12.9935,248123.0495,248118.102
000518.SZ,20250716,2.4,1.0908,1.6632,,,6.9448,12.1412,12.9395,247093.4933,247088.5663
000518.SZ,20250715,2.35,1.3567,2.0685,,,6.8001,11.8882,12.67,241945.7122,241940.8879
000518.SZ,20250714,2.38,1.5338,2.3385,,,6.8869,12.04,12.8317,245034.3808,245029.4949
000518.SZ,20250711,2.42,1.7539,2.674,,,7.0026,12.2423,13.0474,249152.6057,249147.6377
000518.SZ,20250710,2.45,0.8601,1.3113,,,7.0894,12.3941,13.2091,252241.2744,252236.2448
000518.SZ,20250709,2.48,1.3677,2.0853,,,7.1763,12.5459,13.3709,255329.9431,255324.8519
000518.SZ,20250708,2.52,1.152,1.7564,,,7.292,12.7482,13.5865,259448.1679,259442.9946
000518.SZ,20250707,2.54,1.2278,1.872,,,7.3499,12.8494,13.6943,261507.2804,261502.066
000518.SZ,20250704,2.59,1.4596,2.2253,,,7.4946,13.1023,13.9639,266655.0615,266649.7445
000518.SZ,20250703,2.55,1.6119,2.4576,,,7.3788,12.9,13.7483,262536.8366,262531.6017
000518.SZ,20250702,2.47,1.6737,2.5519,,,7.1473,12.4953,13.3169,254300.3868,254295.3162
000518.SZ,20250701,2.54,0.9979,1.5215,,,7.3499,12.8494,13.6943,261507.2804,261502.066
000518.SZ,20250630,2.56,1.4386,2.1934,,,7.4077,12.9506,13.8022,263566.3928,263561.1374
000518.SZ,20250627,2.59,1.4088,2.148,,,7.4946,13.1023,13.9639,266655.0615,266649.7445
000518.SZ,20250626,2.52,2.3955,3.6524,,,7.292,12.7482,13.5865,259448.1679,259442.9946
000518.SZ,20250625,2.63,0.9746,1.4859,,,7.6103,13.3047,14.1796,270773.2864,270767.8873
000518.SZ,20250624,2.65,1.1851,1.8069,,,7.6682,13.4059,14.2874,272832.3988,272826.9586
000518.SZ,20250623,2.63,1.2267,1.8703,,,7.6103,13.3047,14.1796,270773.2864,270767.8873
000518.SZ,20250620,2.67,1.9633,2.9933,,,7.726,13.507,14.3952,274891.5113,274886.03
000518.SZ,20250619,2.62,1.8385,2.803,,,7.5814,13.2541,14.1257,269743.7302,269738.3516
000518.SZ,20250618,2.7,1.9166,2.9221,,,7.8129,13.6588,14.557,277980.1799,277974.6371
000518.SZ,20250617,2.71,3.6702,5.5958,,,7.8418,13.7094,14.6109,279009.7362,279004.1728
000518.SZ,20250616,2.69,1.9047,2.9041,,,7.7839,13.6082,14.5031,276950.6237,276945.1014
000518.SZ,20250613,2.56,3.4545,5.267,,,7.4077,12.9506,13.8022,263566.3928,263561.1374
000518.SZ,20250612,2.66,6.9654,10.6199,,,7.6971,13.4565,14.3413,273861.9551,273856.4943
000518.SZ,20250611,2.67,2.0972,3.1975,,,7.726,13.507,14.3952,274891.5113,274886.03
000518.SZ,20250610,2.54,4.5336,6.9122,,,7.3499,12.8494,13.6943,261507.2804,261502.066
000518.SZ,20250609,2.42,3.4775,5.302,,,7.0026,12.2423,13.0474,249152.6057,249147.6377
000518.SZ,20250606,2.3,2.7141,4.1381,,,6.6554,11.6353,12.4004,236797.9311,236793.2094
000518.SZ,20250605,2.27,4.2667,6.5052,,,6.5686,11.4835,12.2386,233709.2624,233704.6023
000518.SZ,20250604,2.19,1.5605,2.3792,,,6.3371,11.0788,11.8073,225472.8126,225468.3168
000518.SZ,20250603,2.19,2.2206,3.3857,,,6.3371,11.0788,11.8073,225472.8126,225468.3168
000518.SZ,20250530,2.11,1.0454,1.594,,,6.1056,10.6741,11.376,217236.3628,217232.0312
000518.SZ,20250529,2.12,1.1508,1.7546,,,6.1345,10.7247,11.4299,218265.9191,218261.5669
000518.SZ,20250528,2.11,1.1287,1.7209,,,6.1056,10.6741,11.376,217236.3628,217232.0312
000518.SZ,20250527,2.15,1.493,2.2763,,,6.2213,10.8765,11.5917,221354.5877,221350.174
