trade_date,open,high,low,close,vol,amount,ts_code
2020-01-02,5.12,5.81,5.12,5.81,309717,193155897.0,002105.SZ
2020-01-03,5.98,6.46,5.92,6.46,342108,239277373.0,002105.SZ
2020-01-06,6.6,6.69,5.75,6.3,451187,313200496.0,002105.SZ
2020-01-07,6.02,7.0,6.02,6.53,407935,293548112.0,002105.SZ
2020-01-08,6.42,6.93,6.37,6.65,310329,228017333.0,002105.SZ
2020-01-09,6.6,7.2,6.32,6.64,281107,205897057.0,002105.SZ
2020-01-10,6.8,7.37,6.45,7.37,333840,252857574.0,002105.SZ
2020-01-13,7.34,8.17,6.84,7.76,414277,335596784.0,002105.SZ
2020-01-14,7.62,7.82,7.34,7.34,222181,183322203.0,002105.SZ
2020-01-15,6.79,7.01,6.54,6.54,155648,114369527.0,002105.SZ
2020-01-16,6.12,6.68,6.12,6.32,322710,227239812.0,002105.SZ
2020-01-17,6.39,6.44,5.94,5.94,195918,134370969.0,002105.SZ
2020-01-20,6.06,6.6,6.0,6.6,236370,166085939.0,002105.SZ
2020-01-21,6.75,6.96,6.21,6.23,236480,170706098.0,002105.SZ
2020-01-22,6.23,6.77,6.01,6.52,229760,162989832.0,002105.SZ
2020-01-23,6.37,6.65,5.87,6.02,182142,126546801.0,002105.SZ
2020-02-03,5.35,5.51,5.35,5.35,75100,45387701.0,002105.SZ
2020-02-04,5.26,5.67,5.22,5.6,206782,127637524.0,002105.SZ
2020-02-05,5.54,5.78,5.45,5.54,193751,121858701.0,002105.SZ
2020-02-06,5.52,5.71,5.4,5.67,191341,119106395.0,002105.SZ
2020-02-07,5.63,5.68,5.42,5.59,172914,107493220.0,002105.SZ
2020-02-10,5.52,5.87,5.51,5.84,177478,113677534.0,002105.SZ
2020-02-11,6.03,6.29,5.66,6.06,246442,164207815.0,002105.SZ
2020-02-12,5.93,6.13,5.83,6.02,175006,116257437.0,002105.SZ
2020-02-13,5.91,5.95,5.57,5.63,184233,118087047.0,002105.SZ
2020-02-14,5.59,5.71,5.52,5.53,104578,65587884.0,002105.SZ
