ts_code,trade_date,open,high,low,close,vol,amount
003009.SZ,20260416,59.26,59.39,58.38,58.92,38252.22,224569.34
003009.SZ,20260415,59.34,61.2,59.08,59.41,66757.3,402130.493
003009.SZ,20260414,57.9,58.94,57.56,58.89,38068.95,222219.642
003009.SZ,20260413,56.68,57.85,56.6,57.7,19989.29,114939.493
003009.SZ,20260410,57.3,58.0,57.1,57.18,21967.4,126404.161
003009.SZ,20260409,56.93,57.64,56.66,57.08,22521.05,128512.683
003009.SZ,20260408,55.88,57.73,55.39,57.73,36323.19,206430.115
003009.SZ,20260407,55.6,55.78,54.5,54.78,17707.73,97331.782
003009.SZ,20260403,56.81,56.94,55.2,55.28,24586.79,137113.453
003009.SZ,20260402,57.68,58.5,56.34,56.49,28619.69,163874.214
003009.SZ,20260401,58.53,58.62,56.5,57.37,32982.37,188591.423
003009.SZ,20260331,57.6,59.64,57.49,57.74,54948.69,322012.669
003009.SZ,20260330,55.33,58.0,55.33,57.55,45498.17,259702.415
003009.SZ,20260327,55.0,56.45,54.7,56.19,24406.21,136114.563
003009.SZ,20260326,57.97,58.0,55.36,55.75,34023.57,191726.721
003009.SZ,20260325,56.14,57.32,56.07,56.99,35623.93,201719.075
003009.SZ,20260324,55.5,56.12,54.38,55.93,40373.3,223112.112
003009.SZ,20260323,56.04,57.0,53.87,54.2,45938.63,255084.059
003009.SZ,20260320,60.45,60.55,57.22,57.38,43019.46,251752.886
003009.SZ,20260319,60.61,61.21,59.85,60.12,29751.03,179822.394
003009.SZ,20260318,60.09,61.65,59.31,61.61,39947.57,242346.413
003009.SZ,20260317,61.62,62.0,60.0,60.03,33110.42,202357.356
003009.SZ,20260316,62.0,62.47,60.38,61.62,38214.04,234266.333
003009.SZ,20260313,63.81,64.13,61.86,61.96,45328.49,284432.843
003009.SZ,20260312,67.12,67.5,64.09,64.31,64689.27,423765.227
003009.SZ,20260311,69.49,69.59,67.5,67.51,59770.39,406430.419
