ts_code,trade_date,open,high,low,close,vol,amount
300048.SZ,20260416,6.76,6.87,6.75,6.78,191287.09,129780.416
300048.SZ,20260415,6.84,6.92,6.76,6.78,254523.02,174201.078
300048.SZ,20260414,6.81,6.87,6.72,6.81,221865.57,150449.304
300048.SZ,20260413,6.76,6.82,6.65,6.79,230681.95,155572.015
300048.SZ,20260410,6.62,6.92,6.62,6.81,326200.74,222273.802
300048.SZ,20260409,6.69,6.71,6.56,6.57,219910.2,145636.807
300048.SZ,20260408,6.6,6.75,6.6,6.75,231226.48,154460.011
300048.SZ,20260407,6.46,6.59,6.43,6.46,166366.89,108167.767
300048.SZ,20260403,6.68,6.71,6.41,6.44,228978.12,148703.897
300048.SZ,20260402,6.76,6.93,6.62,6.68,279491.23,189379.822
300048.SZ,20260401,6.77,6.84,6.71,6.74,219308.66,148308.258
300048.SZ,20260331,6.71,6.86,6.62,6.63,223108.39,149948.149
300048.SZ,20260330,6.79,6.84,6.56,6.72,296560.79,197903.525
300048.SZ,20260327,6.74,6.92,6.68,6.84,281656.68,191190.642
300048.SZ,20260326,7.34,7.35,6.8,6.83,556277.73,389419.732
300048.SZ,20260325,7.2,7.54,7.15,7.37,429998.98,315498.456
300048.SZ,20260324,7.28,7.36,6.97,7.18,426016.81,303289.257
300048.SZ,20260323,7.55,7.56,7.02,7.12,660937.24,482245.948
300048.SZ,20260320,7.85,8.17,7.57,7.76,541125.97,423257.879
300048.SZ,20260319,7.7,7.91,7.65,7.76,359846.62,280871.31
300048.SZ,20260318,7.66,7.8,7.63,7.76,225382.2,173866.25
300048.SZ,20260317,7.86,7.9,7.62,7.64,315595.14,244354.053
300048.SZ,20260316,7.89,7.96,7.7,7.85,356851.34,278606.698
300048.SZ,20260313,8.04,8.22,7.9,7.96,415177.81,333449.245
300048.SZ,20260312,8.17,8.23,7.97,8.04,487575.19,392819.497
300048.SZ,20260311,8.15,8.4,8.13,8.25,567053.92,469050.05
300048.SZ,20260310,8.13,8.34,8.07,8.18,588977.14,482421.636
300048.SZ,20260309,7.81,8.22,7.64,8.16,798553.7,636478.764
300048.SZ,20260306,7.91,8.06,7.8,7.87,498212.93,395314.789
300048.SZ,20260305,8.0,8.11,7.91,7.97,588726.36,471431.747
300048.SZ,20260304,7.7,8.08,7.68,7.81,612993.25,482911.147
300048.SZ,20260303,8.41,8.5,7.75,7.79,1065787.21,856344.881
300048.SZ,20260302,8.05,8.88,8.05,8.32,1743069.94,1486809.321
300048.SZ,20260227,7.45,7.68,7.38,7.6,441979.67,334061.344
300048.SZ,20260226,7.42,7.55,7.36,7.48,414093.47,308734.56
300048.SZ,20260225,7.06,7.4,7.03,7.4,528808.71,384972.966
300048.SZ,20260224,6.99,7.12,6.97,7.06,267371.4,188734.114
300048.SZ,20260213,6.96,7.09,6.83,6.92,293912.8,205065.133
300048.SZ,20260212,6.87,7.04,6.82,6.99,261727.9,182273.85
300048.SZ,20260211,6.96,7.04,6.88,6.89,216284.84,150145.543
300048.SZ,20260210,7.0,7.06,6.92,7.0,212616.04,148578.355
300048.SZ,20260209,7.1,7.12,6.97,7.01,327550.9,230345.001
300048.SZ,20260206,6.88,7.11,6.86,7.03,240059.8,168611.885
300048.SZ,20260205,7.19,7.2,6.95,6.96,384242.8,269792.891
300048.SZ,20260204,7.08,7.32,7.06,7.24,466284.78,336508.836
300048.SZ,20260203,6.9,7.08,6.85,7.08,331586.98,232353.507
300048.SZ,20260202,6.96,7.04,6.85,6.85,312862.3,217425.623
300048.SZ,20260130,6.96,6.99,6.73,6.92,293666.15,201841.117
300048.SZ,20260129,7.05,7.19,6.9,6.98,350374.8,246962.69
300048.SZ,20260128,7.13,7.18,7.03,7.08,306464.04,217206.142
300048.SZ,20260127,7.18,7.2,6.9,7.17,557130.29,393624.555
300048.SZ,20260126,7.43,7.65,7.23,7.31,735798.58,545471.887
