ts_code,trade_date,open,high,low,close,vol,amount
600395.SH,20260416,5.62,5.76,5.6,5.76,270165.22,153527.044
600395.SH,20260415,5.59,5.67,5.52,5.66,206728.86,116269.047
600395.SH,20260414,5.68,5.69,5.52,5.61,273193.8,152606.188
600395.SH,20260413,5.66,5.89,5.6,5.68,377749.0,215308.637
600395.SH,20260410,5.59,5.66,5.54,5.57,244581.01,137092.405
600395.SH,20260409,5.54,5.64,5.49,5.6,366575.07,203892.676
600395.SH,20260408,5.44,5.56,5.39,5.55,334015.0,183438.194
600395.SH,20260407,5.41,5.53,5.29,5.52,282447.07,153241.928
600395.SH,20260403,5.64,5.67,5.38,5.42,302690.0,165397.055
600395.SH,20260402,5.65,5.73,5.58,5.65,291404.45,164418.992
600395.SH,20260401,5.77,5.82,5.62,5.66,467193.08,266614.006
600395.SH,20260331,5.93,5.95,5.66,5.67,562893.52,325144.003
600395.SH,20260330,6.15,6.25,5.74,5.95,656939.79,390733.959
600395.SH,20260327,6.08,6.29,6.02,6.17,577733.04,356050.549
600395.SH,20260326,6.27,6.3,6.04,6.12,706889.84,433353.643
600395.SH,20260325,5.97,6.44,5.86,6.33,867492.39,534298.686
600395.SH,20260324,5.89,6.12,5.86,6.04,571511.98,342693.359
600395.SH,20260323,6.06,6.15,5.91,5.96,707699.68,425510.446
600395.SH,20260320,5.94,6.03,5.88,5.94,333773.34,198956.605
600395.SH,20260319,6.09,6.09,5.95,5.97,307833.5,185408.522
600395.SH,20260318,5.97,6.15,5.93,6.01,345897.35,208408.237
600395.SH,20260317,6.04,6.12,5.96,5.97,292957.33,176538.604
600395.SH,20260316,6.13,6.22,6.05,6.08,388980.78,237870.601
600395.SH,20260313,6.24,6.3,6.08,6.13,489788.59,303435.692
600395.SH,20260312,6.07,6.25,6.02,6.22,572602.8,353219.394
600395.SH,20260311,5.97,6.07,5.87,6.05,439311.9,262879.64
600395.SH,20260310,5.92,6.13,5.9,5.96,487402.5,292203.424
600395.SH,20260309,6.31,6.35,6.07,6.09,709006.55,438643.884
600395.SH,20260306,5.93,6.08,5.87,6.06,391667.61,234821.1
600395.SH,20260305,5.98,6.08,5.87,5.99,441207.5,262720.847
600395.SH,20260304,6.0,6.09,5.8,6.04,534997.74,320547.487
600395.SH,20260303,6.02,6.23,5.89,6.06,815273.07,493023.797
600395.SH,20260302,6.08,6.15,5.89,5.98,449636.51,268905.907
600395.SH,20260227,5.85,5.97,5.8,5.97,312972.56,185120.803
600395.SH,20260226,5.9,5.99,5.81,5.86,316116.12,185507.484
600395.SH,20260225,5.88,6.01,5.83,5.85,383354.1,226256.968
600395.SH,20260224,5.72,5.92,5.68,5.87,449699.8,263292.369
600395.SH,20260213,5.75,5.8,5.61,5.66,375904.0,214836.342
600395.SH,20260212,5.71,5.82,5.66,5.78,399925.56,229657.368
600395.SH,20260211,5.61,5.74,5.58,5.72,377524.04,214165.191
600395.SH,20260210,5.59,5.71,5.53,5.63,340255.54,191580.012
600395.SH,20260209,5.57,5.67,5.55,5.62,430961.27,241797.952
600395.SH,20260206,5.4,5.66,5.39,5.61,677381.57,377943.047
600395.SH,20260205,5.69,5.69,5.46,5.53,911894.74,504621.741
600395.SH,20260204,5.59,6.0,5.53,5.97,1209639.86,704698.137
600395.SH,20260203,5.46,5.63,5.46,5.59,997599.08,552434.74
600395.SH,20260202,5.45,5.73,5.33,5.43,1580667.76,875995.772
600395.SH,20260130,5.47,5.47,5.47,5.47,309471.84,169281.096
600395.SH,20260129,4.92,5.0,4.88,4.97,342816.95,169665.817
600395.SH,20260128,4.76,4.94,4.74,4.91,354060.99,171955.982
600395.SH,20260127,4.87,4.89,4.73,4.75,216895.36,103632.253
600395.SH,20260126,4.83,4.9,4.79,4.89,237472.71,115312.029
600395.SH,20260123,4.82,4.85,4.81,4.83,143660.5,69340.006
600395.SH,20260122,4.77,4.84,4.75,4.83,150454.0,72292.501
600395.SH,20260121,4.75,4.78,4.71,4.78,159637.0,75607.033
