ts_code,trade_date,open,high,low,close,vol,amount
600075.SH,20260416,6.16,6.21,5.91,6.14,490628.13,294757.006
600075.SH,20260415,6.32,6.42,6.17,6.17,308194.78,193506.769
600075.SH,20260414,6.36,6.6,6.2,6.43,492663.84,314022.025
600075.SH,20260413,6.4,6.56,6.16,6.48,340247.07,216441.553
600075.SH,20260410,6.46,6.52,6.33,6.4,335237.56,215444.928
600075.SH,20260409,6.3,6.67,6.23,6.52,457805.46,293575.103
600075.SH,20260408,6.5,6.59,6.2,6.4,758835.31,479721.916
600075.SH,20260407,6.19,6.8,5.98,6.8,673994.96,440313.044
600075.SH,20260403,6.33,6.33,5.79,6.18,660241.94,396798.579
600075.SH,20260402,6.99,7.0,6.3,6.36,973244.21,624554.432
600075.SH,20260401,7.2,7.29,6.98,7.0,362290.72,255496.934
600075.SH,20260331,7.35,7.45,7.14,7.28,334496.62,241564.744
600075.SH,20260330,7.29,7.59,7.17,7.47,446374.9,330552.534
600075.SH,20260327,7.06,7.37,7.05,7.3,384013.84,278647.128
600075.SH,20260326,7.03,7.35,6.96,7.28,464987.02,333999.965
600075.SH,20260325,7.07,7.27,6.9,7.03,488657.45,346375.691
600075.SH,20260324,7.28,7.35,6.87,7.35,688805.98,490449.64
600075.SH,20260323,6.51,7.36,6.51,7.21,1030064.21,742842.151
600075.SH,20260320,6.77,6.94,6.55,6.69,429911.15,289598.047
600075.SH,20260319,7.4,7.6,6.86,6.93,599238.93,432621.614
600075.SH,20260318,7.06,7.28,6.82,7.28,531826.07,377093.792
600075.SH,20260317,7.31,7.48,7.02,7.05,533479.88,385126.699
600075.SH,20260316,7.95,8.08,7.2,7.3,881097.21,664582.638
600075.SH,20260313,7.98,8.13,7.75,7.76,967162.33,767450.036
600075.SH,20260312,7.57,8.06,7.47,7.8,1483231.56,1160720.785
600075.SH,20260311,6.88,7.47,6.69,7.47,856491.51,610135.039
600075.SH,20260310,6.85,7.02,6.79,6.79,789834.87,542160.906
600075.SH,20260309,7.3,7.73,7.18,7.24,1361763.28,1008930.608
600075.SH,20260306,6.51,7.19,6.5,7.19,869459.83,613889.513
600075.SH,20260305,6.59,6.74,6.44,6.54,231558.07,151839.909
600075.SH,20260304,6.47,6.65,6.42,6.5,299875.64,195373.304
600075.SH,20260303,6.94,7.05,6.6,6.65,486140.88,331232.226
600075.SH,20260302,6.7,7.05,6.5,6.98,693096.15,475516.989
600075.SH,20260227,6.34,6.66,6.29,6.61,393311.21,255016.569
600075.SH,20260226,6.48,6.49,6.24,6.38,314567.8,199257.435
600075.SH,20260225,6.55,6.65,6.44,6.48,367861.18,240476.208
600075.SH,20260224,6.5,6.73,6.39,6.62,272455.78,179204.031
600075.SH,20260213,6.46,6.54,6.34,6.44,360675.59,231897.895
600075.SH,20260212,6.64,6.65,6.49,6.55,304343.31,199867.971
600075.SH,20260211,6.33,6.75,6.27,6.68,553034.13,363510.448
600075.SH,20260210,6.15,6.51,5.95,6.33,458004.77,284781.484
600075.SH,20260209,6.04,6.24,5.97,6.18,399533.0,245241.818
600075.SH,20260206,5.8,6.08,5.76,5.91,212404.65,126571.068
600075.SH,20260205,6.07,6.19,5.86,5.89,318594.8,190658.382
600075.SH,20260204,5.94,6.17,5.81,6.1,384599.43,232851.26
600075.SH,20260203,5.83,5.97,5.79,5.9,345549.07,203756.84
600075.SH,20260202,6.18,6.28,5.7,5.72,743789.53,437618.65
600075.SH,20260130,6.33,6.57,6.1,6.29,826634.05,521479.083
600075.SH,20260129,6.37,6.74,6.37,6.47,1056039.58,697739.989
600075.SH,20260128,6.0,6.26,5.85,6.13,573607.76,350051.256
600075.SH,20260127,5.95,6.07,5.84,6.0,361140.76,216094.611
600075.SH,20260126,6.11,6.17,5.93,6.01,366041.13,221056.972
600075.SH,20260123,6.03,6.15,5.98,6.1,457723.03,278105.625
600075.SH,20260122,5.91,6.14,5.91,6.03,495206.4,298333.116
600075.SH,20260121,6.03,6.09,5.79,6.0,859818.87,510968.219
600075.SH,20260120,5.75,6.34,5.74,6.26,1176790.0,720486.221
600075.SH,20260119,5.37,5.9,5.36,5.79,897432.95,512013.717
600075.SH,20260116,5.43,5.46,5.3,5.4,309670.83,166838.399
600075.SH,20260115,5.37,5.53,5.3,5.44,452216.16,246366.35
600075.SH,20260114,5.28,5.53,5.26,5.38,472363.52,253991.703
600075.SH,20260113,5.36,5.4,5.28,5.29,298275.87,158642.55
600075.SH,20260112,5.32,5.41,5.29,5.41,354183.99,190155.813
