spec_name,signal,score,n_obs,detail
all_sample_rank,es_rank_q,7.9846325216198615,29185,"[('CAR20_w', 0.0021441455459153005, 0.12377150903384303, 28655), ('CAR40_w', 0.004065331208121425, 0.0277096922024894, 28655), ('CAR60_w', 0.008884590461911573, 5.554660168138523e-05, 28655)]"
non_financial_rank,es_rank_q,7.979422552174254,28519,"[('CAR20_w', 0.002235198353883137, 0.11452757160460128, 28007), ('CAR40_w', 0.00390783970633648, 0.03741637796466686, 28007), ('CAR60_w', 0.008642298189940306, 0.00011379521330642012, 28007)]"
small_mid_rank,es_rank_q,0.4681630535853041,14466,"[('CAR20_w', 0.0005751194328892406, 0.7636385093503497, 14225), ('CAR40_w', 0.0008944309570564637, 0.7243439255437782, 14225), ('CAR60_w', 0.0049433294550621735, 0.10318369464146959, 14225)]"
small_mid_esw,earnings_surprise_w,-1.8889298493892965,14466,"[('CAR20_w', -0.000832613304804645, 0.013469677374022463, 14225), ('CAR40_w', -0.0008862944892321595, 0.05041409145231545, 14225), ('CAR60_w', 0.0001242006231356488, 0.811387316833384, 14225)]"
all_sample_esw,earnings_surprise_w,-2.473605944932084,29185,"[('CAR20_w', -0.0008717983427304046, 0.00014395399541546907, 28655), ('CAR40_w', -0.0009367038975474575, 0.0023118591877461015, 28655), ('CAR60_w', -0.0005266489203799394, 0.1383434437003279, 28655)]"
non_financial_esw,earnings_surprise_w,-2.488563374770063,28519,"[('CAR20_w', -0.0008475445033775963, 0.00023571734395830341, 28007), ('CAR40_w', -0.0009504862924729838, 0.002208841138459902, 28007), ('CAR60_w', -0.0005346645505359825, 0.1364850196713239, 28007)]"
