dependent_var,variable,coef,t_stat,p_value,n_obs,r2
CAR20,const,0.02286971002673511,2.6570607361379253,0.007882524039391136,962,0.01323834311538663
CAR20,earnings_surprise,4.662772829859302e-06,0.43577423039536234,0.6630005424649101,962,0.01323834311538663
CAR20,beta,0.00190709110657899,0.22929316366713628,0.8186410665601965,962,0.01323834311538663
CAR20,size,1.791823029142788e-09,1.4475166908389991,0.14775226518291817,962,0.01323834311538663
CAR20,book_to_market,-0.012751344869066329,-2.245079500748216,0.024763029335818965,962,0.01323834311538663
CAR60,const,0.08548925221043996,5.1311225568366865,2.880192939819809e-07,962,0.02773584271369356
CAR60,earnings_surprise,-1.123962935786488e-06,-0.12263339938527681,0.9023974051701901,962,0.02773584271369356
CAR60,beta,-0.06090473268644268,-3.3685219249902447,0.0007557238614769558,962,0.02773584271369356
CAR60,size,5.094158679695005e-09,2.092732618639348,0.03637302974736226,962,0.02773584271369356
CAR60,book_to_market,-0.034111088486983555,-2.9361406562793793,0.0033232359950434607,962,0.02773584271369356
