event_id,ts_code,industry,event_type,event_subtype,period_end,announcement_date,event_trade_date,event_source,expectation_source,report_rc_match_quality,matched_report_date,matched_report_count,matched_broker_count,expected_np,expected_eps,expected_target_price,expected_rating,text_over_expectation_fraction,main_surprise_raw,main_surprise_pct,main_surprise_std,forecast_surprise_raw,express_surprise_raw,final_surprise_raw,revision_magnitude_np,revision_magnitude_eps,target_price_change,upward_revision_count,downward_revision_count,fraction_upgraded,event_value_np,event_value_eps,event_value_yoy,beta,total_mv,circ_mv,turnover_rate,turnover_rate_f,pe_ttm,pb,ps_ttm,turnover20,log_total_mv,book_to_market,CAR3,CAR5,CAR10,CAR20,CAR60
178,000159.SZ,石油贸易,preannouncement,initial,2020-06-30,2020-07-07,2020-07-08,forecast_vip,missing_report_rc,missing,,0,0,,,,,,,,,,,,,,,,,,6500.0,,465.735,1.1758612986466284,287450.2238,287450.2238,9.4029,12.3188,,1.3261,7.4583,3.4581299999999997,12.56880498962132,0.7540909433677702,0.0030832404804683328,0.04606518652860757,0.05736026658669942,0.08704765451700613,0.0674141521808681
179,000400.SZ,电气设备,preannouncement,initial,2020-06-30,2020-07-07,2020-07-08,forecast_vip,missing_report_rc,missing,,0,0,,,,,,,,,,,,,,,,,,36000.0,,83.5,1.0484881186927058,1524590.8912,1524504.4517,3.0623,5.3969,34.6789,1.88,1.5184,1.58301,14.23723666396776,0.5319148936170213,0.029817258167497654,0.04186409792302601,0.046325090331121935,0.060121790912377966,-0.01699606874339386
180,000530.SZ,机械基件,preannouncement,initial,2020-06-30,2020-07-08,2020-07-09,forecast_vip,missing_report_rc,missing,,0,0,,,,,,,,,,,,,,,,,,-2500.0,,-123.06825,0.8884435965664038,317047.9026,225195.7541,1.844,2.5804,,0.9547,1.8327,0.9963050000000001,12.666808153745944,1.0474494605635278,0.013235559341846333,0.014779382983689013,0.04845106909387702,0.133465479335173,0.02452383161744251
181,000045.SZ,元器件,preannouncement,initial,2020-06-30,2020-07-09,2020-07-10,forecast_vip,missing_report_rc,missing,,0,0,,,,,,,,,,,,,,,,,,86.0,,-89.02,0.8591735166684361,466554.001,418627.2047,3.7801,8.3532,1344.1952,1.7136,2.3933,2.1299200000000003,13.053129050340754,0.5835667600373483,0.13299949412013246,0.11900236368471356,0.10766168402865901,0.23585584798586304,0.08203328077114477
182,000090.SZ,建筑工程,preannouncement,initial,2020-06-30,2020-07-09,2020-07-10,forecast_vip,missing_report_rc,missing,,0,0,,,,,,,,,,,,,,,,,,125000.0,,419.72,0.9686763842333322,1689165.0723,1689047.7756,6.4221,10.6286,7.8378,1.7314,0.9581,3.08092,14.339744924762085,0.5775672865888876,0.11063001456652433,0.04706349621506195,0.020510137212009515,0.08865531941550372,-0.0903242458395537
183,000031.SZ,全国地产,preannouncement,initial,2020-06-30,2020-07-11,2020-07-13,forecast_vip,missing_report_rc,missing,,0,0,,,,,,,,,,,,,,,,,,55000.0,,-70.5,0.8784566244183665,2696091.0902,1140831.7406,4.06,7.6997,19.6661,1.3975,0.8746,1.20655,14.807313537609733,0.7155635062611807,0.009663185741104068,-0.03582420040594479,-0.05063622880904516,-0.059393784041466814,-0.2090061501842842
184,000037.SZ,火力发电,preannouncement,initial,2020-06-30,2020-07-11,2020-07-13,forecast_vip,missing_report_rc,missing,,0,0,,,,,,,,,,,,,,,,,,5200.0,,305.6702,0.824798057640682,1048806.917,589675.5791,0.2795,0.4734,267.2044,5.3059,8.0782,0.7414050000000001,13.863163806566249,0.18846943968035582,0.06767451577001009,0.2932297446566325,0.23110646856173758,0.19565126553969434,0.0839757937380778
185,000058.SZ,商品城,express,release,2020-06-30,2020-07-11,2020-07-13,express_vip,missing_report_rc,missing,,0,0,,,,,,,,,,,,,,,,,,57290505.98,0.0464,83287552.02,0.9806010992978847,1429654.2801,622481.3626,1.4159,2.6428,272.5735,7.7256,9.5017,5.12197,14.172943210839074,0.1294397846121984,-0.07871765276878913,-0.09679831204408748,-0.01594592628784352,0.08924768274431084,-0.14994118032500575
186,000059.SZ,石油加工,preannouncement,initial,2020-06-30,2020-07-11,2020-07-13,forecast_vip,missing_report_rc,missing,,0,0,,,,,,,,,,,,,,,,,,-66000.0,,-210.12,0.6258837244981781,820514.0215,820512.2486,1.8072,3.4657,,0.6636,0.2226,0.7869849999999999,13.617686278336407,1.5069318866787222,-0.0002793938696168015,0.0016327487482325122,0.024582578045904916,0.0965953827730402,-0.024235943955304557
187,000151.SZ,商贸代理,preannouncement,initial,2020-06-30,2020-07-11,2020-07-13,forecast_vip,missing_report_rc,missing,,0,0,,,,,,,,,,,,,,,,,,750.0,,153.5,0.813375126801757,298939.8,269209.4067,4.5121,7.497,195.0269,3.1477,2.6959,2.4261500000000003,12.607997494309007,0.31769228325443977,-0.041641333558137775,-0.016407763247647124,-0.023804711522295793,-0.014630303774532578,-0.08337549248203219
