group,count,avg_CAR20,avg_CAR60
all_events,2375,0.02510242858386699,0.03288149533299098
positive_es,1020,0.029523841978935386,0.04580739438367006
moderate_es_50_80,304,0.03932990786186401,0.0489455249983363
extreme_es_top20,205,0.02798657007555487,0.06981106227938232
guidance_initial,2358,0.024825276276691576,0.03236667315717729
guidance_upward_revision,17,0.06354508389678598,0.10429035948408981
