spec_id,benchmark_method,event_universe,signal_scale,analyst_min,filter_profile,car_window,signal_col,event_count,usable_signal_count,strict_match_share,median_broker_count,median_benchmark_lag_days,event_type_composition,coef,t_stat,p_value,regression_nobs,r2
spec_008,latest_snapshot,all_event_types,raw,5,relaxed,CAR20,main_surprise_raw,2,2,1.0,5.5,47.5,preannouncement:2,,,,0,
spec_009,latest_snapshot,all_event_types,standardized,1,restrictive,CAR3,main_surprise_std,579,579,1.0,1.0,72.0,express:48; formal_release:278; preannouncement:155; revision:98,0.002267331701402254,0.9244716219908913,0.3552408198294287,445,0.23700029804015743
spec_009,latest_snapshot,all_event_types,standardized,1,restrictive,CAR5,main_surprise_std,578,578,1.0,1.0,72.0,express:47; formal_release:278; preannouncement:155; revision:98,0.0005058891079437299,0.1712618617707222,0.8640178672619854,444,0.16989546942353706
spec_009,latest_snapshot,all_event_types,standardized,1,restrictive,CAR10,main_surprise_std,575,575,1.0,1.0,72.0,express:47; formal_release:275; preannouncement:155; revision:98,0.001759630777549821,0.4879087465922373,0.6256144788630131,441,0.15932069165343699
spec_009,latest_snapshot,all_event_types,standardized,1,restrictive,CAR20,main_surprise_std,558,558,1.0,1.0,72.0,express:47; formal_release:258; preannouncement:155; revision:98,-0.002533642644857799,-0.3721093305849322,0.7098114495763701,426,0.20146175197244354
spec_010,latest_snapshot,all_event_types,standardized,1,relaxed,CAR3,main_surprise_std,596,596,1.0,1.0,72.0,express:49; formal_release:286; preannouncement:160; revision:101,0.0022406250798983965,0.9687971340183719,0.3326464168341521,459,0.23393572563159215
spec_010,latest_snapshot,all_event_types,standardized,1,relaxed,CAR5,main_surprise_std,595,595,1.0,1.0,72.0,express:48; formal_release:286; preannouncement:160; revision:101,0.0008172073973042082,0.29287191348260916,0.7696200577928021,458,0.16748648559223456
spec_010,latest_snapshot,all_event_types,standardized,1,relaxed,CAR10,main_surprise_std,592,592,1.0,1.0,72.0,express:48; formal_release:283; preannouncement:160; revision:101,0.002243326047250949,0.6522527463191101,0.5142381381094479,455,0.16053801749346253
spec_010,latest_snapshot,all_event_types,standardized,1,relaxed,CAR20,main_surprise_std,575,575,1.0,1.0,72.0,express:48; formal_release:266; preannouncement:160; revision:101,-0.001615290669653842,-0.2512447332789938,0.8016249012934267,440,0.20371216755210453
spec_011,latest_snapshot,all_event_types,standardized,2,restrictive,CAR3,main_surprise_std,39,39,1.0,2.0,37.0,express:4; formal_release:17; preannouncement:14; revision:4,0.0394114350482117,,,37,1.0
spec_011,latest_snapshot,all_event_types,standardized,2,restrictive,CAR5,main_surprise_std,39,39,1.0,2.0,37.0,express:4; formal_release:17; preannouncement:14; revision:4,0.03939054699889617,,,37,1.0
spec_011,latest_snapshot,all_event_types,standardized,2,restrictive,CAR10,main_surprise_std,39,39,1.0,2.0,37.0,express:4; formal_release:17; preannouncement:14; revision:4,0.04033067206304856,,,37,1.0
spec_011,latest_snapshot,all_event_types,standardized,2,restrictive,CAR20,main_surprise_std,39,39,1.0,2.0,37.0,express:4; formal_release:17; preannouncement:14; revision:4,0.01904409724883913,,,37,1.0
spec_012,latest_snapshot,all_event_types,standardized,2,relaxed,CAR3,main_surprise_std,39,39,1.0,2.0,37.0,express:4; formal_release:17; preannouncement:14; revision:4,0.0394114350482117,,,37,1.0
spec_012,latest_snapshot,all_event_types,standardized,2,relaxed,CAR5,main_surprise_std,39,39,1.0,2.0,37.0,express:4; formal_release:17; preannouncement:14; revision:4,0.03939054699889617,,,37,1.0
spec_012,latest_snapshot,all_event_types,standardized,2,relaxed,CAR10,main_surprise_std,39,39,1.0,2.0,37.0,express:4; formal_release:17; preannouncement:14; revision:4,0.04033067206304856,,,37,1.0
spec_012,latest_snapshot,all_event_types,standardized,2,relaxed,CAR20,main_surprise_std,39,39,1.0,2.0,37.0,express:4; formal_release:17; preannouncement:14; revision:4,0.01904409724883913,,,37,1.0
spec_013,latest_snapshot,all_event_types,standardized,3,restrictive,CAR3,main_surprise_std,5,5,1.0,4.0,13.0,formal_release:2; preannouncement:3,,,,0,
spec_013,latest_snapshot,all_event_types,standardized,3,restrictive,CAR5,main_surprise_std,5,5,1.0,4.0,13.0,formal_release:2; preannouncement:3,,,,0,
spec_013,latest_snapshot,all_event_types,standardized,3,restrictive,CAR10,main_surprise_std,5,5,1.0,4.0,13.0,formal_release:2; preannouncement:3,,,,0,
spec_013,latest_snapshot,all_event_types,standardized,3,restrictive,CAR20,main_surprise_std,5,5,1.0,4.0,13.0,formal_release:2; preannouncement:3,,,,0,
spec_014,latest_snapshot,all_event_types,standardized,3,relaxed,CAR3,main_surprise_std,5,5,1.0,4.0,13.0,formal_release:2; preannouncement:3,,,,0,
spec_014,latest_snapshot,all_event_types,standardized,3,relaxed,CAR5,main_surprise_std,5,5,1.0,4.0,13.0,formal_release:2; preannouncement:3,,,,0,
spec_014,latest_snapshot,all_event_types,standardized,3,relaxed,CAR10,main_surprise_std,5,5,1.0,4.0,13.0,formal_release:2; preannouncement:3,,,,0,
spec_014,latest_snapshot,all_event_types,standardized,3,relaxed,CAR20,main_surprise_std,5,5,1.0,4.0,13.0,formal_release:2; preannouncement:3,,,,0,
spec_015,latest_snapshot,all_event_types,standardized,5,restrictive,CAR3,main_surprise_std,2,2,1.0,5.5,47.5,preannouncement:2,,,,0,
spec_015,latest_snapshot,all_event_types,standardized,5,restrictive,CAR5,main_surprise_std,2,2,1.0,5.5,47.5,preannouncement:2,,,,0,
spec_015,latest_snapshot,all_event_types,standardized,5,restrictive,CAR10,main_surprise_std,2,2,1.0,5.5,47.5,preannouncement:2,,,,0,
spec_015,latest_snapshot,all_event_types,standardized,5,restrictive,CAR20,main_surprise_std,2,2,1.0,5.5,47.5,preannouncement:2,,,,0,
spec_016,latest_snapshot,all_event_types,standardized,5,relaxed,CAR3,main_surprise_std,2,2,1.0,5.5,47.5,preannouncement:2,,,,0,
spec_016,latest_snapshot,all_event_types,standardized,5,relaxed,CAR5,main_surprise_std,2,2,1.0,5.5,47.5,preannouncement:2,,,,0,
spec_016,latest_snapshot,all_event_types,standardized,5,relaxed,CAR10,main_surprise_std,2,2,1.0,5.5,47.5,preannouncement:2,,,,0,
spec_016,latest_snapshot,all_event_types,standardized,5,relaxed,CAR20,main_surprise_std,2,2,1.0,5.5,47.5,preannouncement:2,,,,0,
spec_017,latest_snapshot,preannouncement_only,raw,1,restrictive,CAR3,main_surprise_raw,155,155,1.0,1.0,56.0,preannouncement:155,2.2358650802831528e-08,0.2964317185674853,0.7669004053037429,101,0.4043733796804069
spec_017,latest_snapshot,preannouncement_only,raw,1,restrictive,CAR5,main_surprise_raw,155,155,1.0,1.0,56.0,preannouncement:155,3.67752858755834e-09,0.05291857383155666,0.9577967853531717,101,0.3706440226269607
spec_017,latest_snapshot,preannouncement_only,raw,1,restrictive,CAR10,main_surprise_raw,155,155,1.0,1.0,56.0,preannouncement:155,5.3820512920113315e-08,0.5268579062553762,0.598292267124658,101,0.42369880357393686
spec_017,latest_snapshot,preannouncement_only,raw,1,restrictive,CAR20,main_surprise_raw,155,155,1.0,1.0,56.0,preannouncement:155,9.0927179426326e-09,0.06063453736111676,0.9516502672802292,101,0.43477431713850945
spec_018,latest_snapshot,preannouncement_only,raw,1,relaxed,CAR3,main_surprise_raw,160,160,1.0,1.0,56.5,preannouncement:160,2.3286444264061863e-08,0.3180914833630803,0.750415543684928,105,0.4008118794820893
spec_018,latest_snapshot,preannouncement_only,raw,1,relaxed,CAR5,main_surprise_raw,160,160,1.0,1.0,56.5,preannouncement:160,-1.0347496999989283e-09,-0.015793438367006977,0.9873991832097673,105,0.36514903646175556
spec_018,latest_snapshot,preannouncement_only,raw,1,relaxed,CAR10,main_surprise_raw,160,160,1.0,1.0,56.5,preannouncement:160,5.017906815462746e-08,0.5493271644194739,0.5827809485972884,105,0.4277042479921195
spec_018,latest_snapshot,preannouncement_only,raw,1,relaxed,CAR20,main_surprise_raw,160,160,1.0,1.0,56.5,preannouncement:160,-7.448275556996673e-09,-0.05429507999236908,0.9567000693706241,105,0.44807979910711815
spec_019,latest_snapshot,preannouncement_only,raw,2,restrictive,CAR3,main_surprise_raw,14,14,1.0,2.0,1.0,preannouncement:14,,,,0,
spec_019,latest_snapshot,preannouncement_only,raw,2,restrictive,CAR5,main_surprise_raw,14,14,1.0,2.0,1.0,preannouncement:14,,,,0,
spec_019,latest_snapshot,preannouncement_only,raw,2,restrictive,CAR10,main_surprise_raw,14,14,1.0,2.0,1.0,preannouncement:14,,,,0,
spec_019,latest_snapshot,preannouncement_only,raw,2,restrictive,CAR20,main_surprise_raw,14,14,1.0,2.0,1.0,preannouncement:14,,,,0,
spec_020,latest_snapshot,preannouncement_only,raw,2,relaxed,CAR3,main_surprise_raw,14,14,1.0,2.0,1.0,preannouncement:14,,,,0,
spec_020,latest_snapshot,preannouncement_only,raw,2,relaxed,CAR5,main_surprise_raw,14,14,1.0,2.0,1.0,preannouncement:14,,,,0,
spec_020,latest_snapshot,preannouncement_only,raw,2,relaxed,CAR10,main_surprise_raw,14,14,1.0,2.0,1.0,preannouncement:14,,,,0,
spec_020,latest_snapshot,preannouncement_only,raw,2,relaxed,CAR20,main_surprise_raw,14,14,1.0,2.0,1.0,preannouncement:14,,,,0,
spec_021,latest_snapshot,preannouncement_only,raw,3,restrictive,CAR3,main_surprise_raw,3,3,1.0,5.0,1.0,preannouncement:3,,,,0,
spec_021,latest_snapshot,preannouncement_only,raw,3,restrictive,CAR5,main_surprise_raw,3,3,1.0,5.0,1.0,preannouncement:3,,,,0,
spec_021,latest_snapshot,preannouncement_only,raw,3,restrictive,CAR10,main_surprise_raw,3,3,1.0,5.0,1.0,preannouncement:3,,,,0,
spec_021,latest_snapshot,preannouncement_only,raw,3,restrictive,CAR20,main_surprise_raw,3,3,1.0,5.0,1.0,preannouncement:3,,,,0,
spec_022,latest_snapshot,preannouncement_only,raw,3,relaxed,CAR3,main_surprise_raw,3,3,1.0,5.0,1.0,preannouncement:3,,,,0,
spec_022,latest_snapshot,preannouncement_only,raw,3,relaxed,CAR5,main_surprise_raw,3,3,1.0,5.0,1.0,preannouncement:3,,,,0,
