,main_surprise_raw,main_surprise_pct,main_surprise_std
count,326.0,326.0,326.0
mean,-87211.63198773007,-1.0859899214418012,-0.46985709038231765
std,480817.6688470256,6.0953848576667005,1.9249724288440637
min,-6076950.0,-90.38888888888889,-5.0
25%,-54284.125,-0.853567799471446,-0.9772013931403665
50%,-11983.688999999998,-0.2274266817049002,0.11494017101047613
75%,2304.125,0.0322819607460271,0.5679348633277457
max,398364.864,43.239651416122,5.0
