,mean_car
CAR3_available,0.9987780040733197
CAR5_available,0.9955193482688391
CAR10_available,0.994704684317719
CAR20_available,0.994704684317719
CAR60_available,0.9348268839103869
CAR3,-0.0024143155396094034
CAR5,-0.005453233858286375
CAR10,0.003116590582540165
CAR20,0.027837528555746456
CAR60,0.03067087267616055
CAR_-10_-1,-0.004530852085957931
CAR_-5_-1,0.0018160659954090733
CAR_0_1,0.0026639828809370734
CAR_0_3,-0.00032502081561712237
CAR_0_5,-0.0033402557387602803
CAR_1_10,0.0030439425709068587
CAR_1_20,0.02763397537358293
CAR_1_60,0.026811709106069344
