es_quantile,avg_CAR20,avg_CAR60
1,0.030191001936946873,0.04166488843595775
2,0.022227163943141445,0.00616015407663093
3,0.021203427508568098,0.0354799049056035
4,0.01881495230133314,0.04612194541224997
5,0.01736151269822538,0.02970349685355554
