spec_id,benchmark_method,event_universe,signal_scale,analyst_min,filter_profile,signal_col,event_count,usable_signal_count,event_type_composition
spec_054,latest_per_analyst,preannouncement_only,raw,3,relaxed,main_surprise_raw,95,95,preannouncement:95
spec_055,latest_per_analyst,preannouncement_only,raw,5,restrictive,main_surprise_raw,54,54,preannouncement:54
spec_056,latest_per_analyst,preannouncement_only,raw,5,relaxed,main_surprise_raw,57,57,preannouncement:57
spec_057,latest_per_analyst,preannouncement_only,standardized,1,restrictive,main_surprise_std,155,155,preannouncement:155
spec_058,latest_per_analyst,preannouncement_only,standardized,1,relaxed,main_surprise_std,160,160,preannouncement:160
spec_059,latest_per_analyst,preannouncement_only,standardized,2,restrictive,main_surprise_std,117,117,preannouncement:117
spec_060,latest_per_analyst,preannouncement_only,standardized,2,relaxed,main_surprise_std,121,121,preannouncement:121
spec_061,latest_per_analyst,preannouncement_only,standardized,3,restrictive,main_surprise_std,92,92,preannouncement:92
spec_062,latest_per_analyst,preannouncement_only,standardized,3,relaxed,main_surprise_std,95,95,preannouncement:95
spec_063,latest_per_analyst,preannouncement_only,standardized,5,restrictive,main_surprise_std,54,54,preannouncement:54
spec_064,latest_per_analyst,preannouncement_only,standardized,5,relaxed,main_surprise_std,57,57,preannouncement:57
