model,dependent_var,variable,coef,t_stat,p_value,n_obs,r2
pooled_fe,CAR3,main_surprise_std,-0.000240023711749547,-0.07588842975880959,0.9395078620291442,404,0.22952669660678837
pooled_fe,CAR3,log_total_mv,0.0037958050446458783,0.9017317119571786,0.36719940291198505,404,0.22952669660678837
pooled_fe,CAR3,beta,-0.02402460109503325,-2.483369384543424,0.013014605331599025,404,0.22952669660678837
pooled_fe,CAR3,book_to_market,-0.027141787251791605,-1.982194609358733,0.047457463786044464,404,0.22952669660678837
pooled_fe,CAR3,turnover20,0.0006312312171667682,0.30098118604571134,0.7634288410778769,404,0.22952669660678837
pooled_fe,CAR3,pe_ttm,4.146826683479328e-05,2.8477982386448395,0.004402282423196012,404,0.22952669660678837
pooled_fe,CAR3,ps_ttm,0.00121948156838375,1.694068714318183,0.09025222649385405,404,0.22952669660678837
event_type_express,CAR3,main_surprise_std,-0.07429127589639649,-0.326152630349458,0.7443088788943606,41,0.7492244999888149
event_type_express,CAR3,log_total_mv,0.03439077290458123,0.05206245842487639,0.9584789262142595,41,0.7492244999888149
event_type_express,CAR3,beta,0.19847220386624856,0.19896399098428127,0.8422909124379795,41,0.7492244999888149
event_type_express,CAR3,book_to_market,-0.18662841232852354,-0.3658913124568386,0.7144461792020689,41,0.7492244999888149
event_type_express,CAR3,turnover20,0.04201959988702165,0.22260887554386735,0.8238399280915234,41,0.7492244999888149
event_type_express,CAR3,pe_ttm,-0.00036945584698220305,-0.12746985727554636,0.8985685289500409,41,0.7492244999888149
event_type_express,CAR3,ps_ttm,-0.003861264899848641,-0.043978664509582065,0.9649214106647424,41,0.7492244999888149
event_type_formal_release,CAR3,main_surprise_std,0.0012030332754592124,0.2605174006949764,0.7944646947712418,213,0.3161087130233806
event_type_formal_release,CAR3,log_total_mv,-0.0039252043366516595,-0.752616345655994,0.451680492337202,213,0.3161087130233806
event_type_formal_release,CAR3,beta,-0.012592748177635948,-0.927747583145614,0.3535385196314864,213,0.3161087130233806
event_type_formal_release,CAR3,book_to_market,-0.030494014353440405,-1.7486602651308478,0.08034976233711613,213,0.3161087130233806
event_type_formal_release,CAR3,turnover20,-0.0008554437788445321,-0.33016433071395684,0.741275796976151,213,0.3161087130233806
event_type_formal_release,CAR3,pe_ttm,4.5024148561580235e-05,5.716163133019804,1.0895614443711087e-08,213,0.3161087130233806
event_type_formal_release,CAR3,ps_ttm,0.0021473953857045016,1.6725325295675775,0.094419358868107,213,0.3161087130233806
event_type_preannouncement,CAR3,main_surprise_std,-0.013304349370407635,-0.9238263113843534,0.3555767538421327,93,0.44454190666769855
event_type_preannouncement,CAR3,log_total_mv,0.03380072081221547,1.8890932172321606,0.05887933915070351,93,0.44454190666769855
event_type_preannouncement,CAR3,beta,-0.022901307659258935,-0.6774548038416834,0.4981174366842088,93,0.44454190666769855
event_type_preannouncement,CAR3,book_to_market,-0.012282361572295002,-0.2636466469893081,0.7920522107068303,93,0.44454190666769855
event_type_preannouncement,CAR3,turnover20,0.01399561353077502,1.5852558766206661,0.11290820968258247,93,0.44454190666769855
event_type_preannouncement,CAR3,pe_ttm,3.4003873376568596e-05,0.3715145299132925,0.710254335807601,93,0.44454190666769855
event_type_preannouncement,CAR3,ps_ttm,0.0008287465812679027,0.6465374700751835,0.5179313388437707,93,0.44454190666769855
event_type_revision,CAR3,main_surprise_std,-0.0019854987286577934,-0.15366229652834132,0.8778760146404606,57,0.8282919904605449
event_type_revision,CAR3,log_total_mv,0.003958131582984047,0.10278410025152837,0.9181343245840946,57,0.8282919904605449
event_type_revision,CAR3,beta,-0.024291061864828264,-0.49659789729885323,0.6194726362344343,57,0.8282919904605449
event_type_revision,CAR3,book_to_market,-0.08576784846094558,-0.6860814144345767,0.4926617701944882,57,0.8282919904605449
event_type_revision,CAR3,turnover20,0.0024169766093185482,0.20091958091309722,0.840761456559328,57,0.8282919904605449
event_type_revision,CAR3,pe_ttm,3.211453356950775e-05,0.38486510410533975,0.7003373610710051,57,0.8282919904605449
event_type_revision,CAR3,ps_ttm,-0.0071866581600268965,-0.6129367118604053,0.5399181876162243,57,0.8282919904605449
pooled_fe,CAR5,main_surprise_std,-0.002672023510385011,-0.5994426632848272,0.5488777342035953,404,0.17735530120445342
pooled_fe,CAR5,log_total_mv,0.003974551494139625,1.0625135827084535,0.2880025951137589,404,0.17735530120445342
pooled_fe,CAR5,beta,-0.0224922542138183,-1.7570471366199782,0.0789097751174012,404,0.17735530120445342
pooled_fe,CAR5,book_to_market,-0.01763464784972505,-1.0449631465729772,0.2960400027165312,404,0.17735530120445342
pooled_fe,CAR5,turnover20,0.0018004887999547021,0.7238027643188497,0.4691868320153241,404,0.17735530120445342
pooled_fe,CAR5,pe_ttm,2.938511208288849e-05,1.4169457158971024,0.15649879911559872,404,0.17735530120445342
pooled_fe,CAR5,ps_ttm,0.001606489333543111,2.1640510221043217,0.030460433820088607,404,0.17735530120445342
event_type_express,CAR5,main_surprise_std,-0.06307382779904874,-0.3904932876633025,0.6961718178169378,41,0.8261651142860825
event_type_express,CAR5,log_total_mv,0.03299817753224286,0.058563572275402834,0.953299725973213,41,0.8261651142860825
event_type_express,CAR5,beta,0.24030390750003644,0.2758321073287274,0.7826770219062088,41,0.8261651142860825
event_type_express,CAR5,book_to_market,-0.129649312099292,-0.3039519786812647,0.7611644766938317,41,0.8261651142860825
event_type_express,CAR5,turnover20,0.03500601242767095,0.2597055488724955,0.7950909120934767,41,0.8261651142860825
event_type_express,CAR5,pe_ttm,6.211771166101488e-05,0.019508751693982494,0.9844352555303924,41,0.8261651142860825
event_type_express,CAR5,ps_ttm,-0.016985739695320114,-0.19578420166569988,0.8447790760125008,41,0.8261651142860825
event_type_formal_release,CAR5,main_surprise_std,-0.0069516888467573675,-1.104364015994437,0.26943526364927406,213,0.272236468791594
event_type_formal_release,CAR5,log_total_mv,-0.008366332948648037,-1.3865515336484036,0.1655785558281403,213,0.272236468791594
event_type_formal_release,CAR5,beta,-0.007996616097179108,-0.4368893393438781,0.6621916036505833,213,0.272236468791594
