dependent_var,model,variable,coef,t_stat,p_value,n_obs,r2
CAR20,fixed_effects,const,0.10259546183966545,8.567297982131178,1.0594149312075878e-17,28655,0.04825148547962277
CAR20,fixed_effects,earnings_surprise,0.0037013087758796695,2.032677447482512,0.0420851212322337,28655,0.04825148547962277
CAR20,fixed_effects,beta,-0.02081672133416745,-5.767422585598071,8.049303907646579e-09,28655,0.04825148547962277
CAR20,fixed_effects,size,-1.8814283179587897e-09,-7.055163001340329,1.723985110658586e-12,28655,0.04825148547962277
CAR20,fixed_effects,book_to_market,0.02065844963574026,6.269959032372561,3.6114311099268447e-10,28655,0.04825148547962277
CAR40,fixed_effects,const,0.12109524274397773,9.318087103982753,1.184566040929816e-20,28655,0.07769291793639699
CAR40,fixed_effects,earnings_surprise,0.005397183347602152,2.474560424834644,0.013340025253268124,28655,0.07769291793639699
CAR40,fixed_effects,beta,-0.008460951997522437,-1.9724664859318384,0.048556378519562855,28655,0.07769291793639699
CAR40,fixed_effects,size,-2.5786758845957235e-09,-7.309663238725318,2.678127254768737e-13,28655,0.07769291793639699
CAR40,fixed_effects,book_to_market,0.020050727041284466,5.082650259336956,3.7220465831402076e-07,28655,0.07769291793639699
CAR60,fixed_effects,const,0.0960949216871184,6.820511875796335,9.07166877820975e-12,28655,0.10438825822414666
CAR60,fixed_effects,earnings_surprise,0.008822802840721724,3.605335099237276,0.000311750396567798,28655,0.10438825822414666
CAR60,fixed_effects,beta,0.001254348159595158,0.26604359487153645,0.7902056346060022,28655,0.10438825822414666
CAR60,fixed_effects,size,-3.309086459857556e-09,-7.921476558008936,2.3470651104088404e-15,28655,0.10438825822414666
CAR60,fixed_effects,book_to_market,0.031175842409417467,6.727534248424437,1.7256222668878794e-11,28655,0.10438825822414666
