group,count,avg_CAR3,avg_CAR5,avg_CAR20
all_events,2529,0.0009792582317609169,-0.0017633526086864462,0.02492552311361177
positive_es,1391,0.0031336037669056176,-0.0012653073108386897,0.023285765327460278
moderate_es_50_80,416,0.002824483066298421,-0.0018042517858193234,0.02709213045924589
extreme_es_top20,279,0.00644395578000608,0.0015777216291858363,0.02427400735859885
guidance_initial,2512,0.0008760065510286005,-0.0018329645652096892,0.024664164621050477
guidance_upward_revision,17,0.01623621246703014,0.008522837672865657,0.06354508389678598
