variable,count,mean,std,min,25%,50%,75%,max
earnings_surprise,29185.0,0.001610416309748154,0.5684880487658839,-0.9971264367816092,-0.4609460946094609,-0.03069053708439895,0.4990757855822552,1.0
CAR20,29185.0,0.012158553824400087,0.18162022724715043,-1.3073998265439581,-0.05917586530944918,-0.0011977577424442387,0.06576000593191156,4.458978138689347
CAR40,29185.0,0.004440632787404554,0.21432180361413222,-1.532918254604707,-0.09468690483653908,-0.013466351787104314,0.08322407237114793,4.726276231072585
CAR60,29185.0,0.0044290830022527174,0.24210301363867273,-1.5575214056142452,-0.11698980572488116,-0.011783792713582653,0.104377028572331,4.587372191676156
beta,28883.0,0.9200535587944159,0.4169408267730356,-0.9995777371137955,0.6425143480131963,0.9331590017388999,1.1985687679136232,3.32133462585944
size,28932.0,1600577.8294713222,3469999.6923009157,59853.1044,409608.264975,721634.3088499999,1498196.73255,110858724.6228
book_to_market,28704.0,0.5057577680473698,0.37139687579106395,5.62351131596688e-05,0.245724395517987,0.4186289917082701,0.6749118402173908,5.743825387708213
