es_quantile,avg_CAR20,avg_CAR60,q5_gt_q1_car60,sample
1.0,0.02405418893794775,0.03384078936528711,0.0,positive_es_quantile
2.0,-0.006610860322145545,0.03361190078298613,0.0,positive_es_quantile
3.0,0.03554449659017141,0.05559651084799033,0.0,positive_es_quantile
4.0,0.00830930384808999,0.030325524192074807,0.0,positive_es_quantile
5.0,0.029935545186193444,0.026830735107035278,0.0,positive_es_quantile
,0.021959611677642987,0.031826077936799535,,all_events
,0.018286572981754016,0.03601498070977078,,positive_es
,0.01496710588248919,0.025965355685225525,,strong_top30_es
