group,avg_CAR20,avg_CAR60,count
all_events,0.025884677255416433,0.030218064568592013,4980
positive_es,0.031933677473911196,0.03770757911628143,2227
moderate_es_50_80,0.0350697748246276,0.03715268957806947,667
extreme_es_top20,0.038037078850080216,0.059636938619747365,446
guidance_initial,0.025398263188074744,0.030141368481071962,4936
guidance_upward_revision,0.08045149171901998,0.0388219711140242,44
