ts_code,ann_date,end_date,revenue,operate_profit,total_profit,n_income,total_assets,total_hldr_eqy_exc_min_int,diluted_eps,diluted_roe,yoy_net_profit,bps,open_net_assets,open_bps,perf_summary,update_flag
603030.SH,20240703,20240630,434592584.77,-3323038.12,-2966505.43,-9862313.23,2510173275.17,1021881280.25,-0.01,-0.13,30726393.09,,,,,0
300962.SZ,20240704,20240630,178794328.16,77762857.6,77350914.61,64682464.32,1106512288.12,904278529.07,0.245,6.91,63991344.39,,,,,0
600710.SH,20240710,20240630,55928111300.0,1930788700.0,2003053700.0,570407800.0,58010765700.0,6973259400.0,0.44,7.98,509118400.0,,,,,0
605016.SH,20240710,20240630,531752700.0,134324600.0,134342300.0,114140600.0,1901275900.0,1562321500.0,0.35,7.29,91099600.0,,,,,0
000915.SZ,20240710,20240630,1154413477.2,746850853.1,748423285.19,331871287.24,4777770975.97,2845093487.55,1.42,10.81,321841708.9,,,,,0
601678.SH,20240710,20240630,4557398100.0,112202300.0,110795000.0,105325000.0,21583689700.0,11329757400.0,0.05,0.92,149888200.0,,,,,0
603060.SH,20240710,20240630,1040893575.77,32517255.62,34540347.8,26236903.42,5038062429.16,1844786592.93,0.0326,1.35,28106552.09,,,,,0
002066.SZ,20240711,20240630,2242376700.0,85776800.0,86716700.0,37839100.0,5010232600.0,695069600.0,0.1638,5.49,32293600.0,,,,,0
600729.SH,20240711,20240630,8979863272.19,789756812.29,791838643.15,711616493.24,19485118400.83,6873820343.38,1.63,10.15,901468013.74,,,,,0
600644.SH,20240711,20240630,1592537200.0,16979600.0,18545100.0,9163000.0,4210653600.0,1829455200.0,0.017,0.5,13375900.0,,,,,0
601139.SH,20240711,20240630,13779770000.0,930180000.0,931810000.0,738130000.0,43593220000.0,14826860000.0,0.26,5.0,649560000.0,,,,,0
601965.SH,20240711,20240630,2000497500.0,526766800.0,525566700.0,401202200.0,9526158500.0,6638396100.0,0.41,6.07,343251100.0,,,,,0
605339.SH,20240711,20240630,250704100.0,,,,,,,,,,,,,0
