ts_code,ann_date,end_date,revenue,operate_profit,total_profit,n_income,total_assets,total_hldr_eqy_exc_min_int,diluted_eps,diluted_roe,yoy_net_profit,bps,open_net_assets,open_bps,perf_summary,update_flag
000498.SZ,20200415,20200331,3968440400.0,180979800.0,181015200.0,87547700.0,28300541700.0,5591142000.0,0.0782,1.58,114651300.0,,,,,0
000591.SZ,20200418,20200331,1014204505.87,174332413.8,178960740.72,154658600.49,38258769160.47,13487988705.41,0.0514,1.15,125618507.79,,,,,0
601901.SH,20200415,20200331,1935569400.0,478163600.0,477166400.0,378859200.0,132095387900.0,38719441100.0,0.05,0.98,587671100.0,,,,,0
000728.SZ,20200411,20200331,909793000.0,383257500.0,373124700.0,282876800.0,83856134400.0,25317132800.0,0.08,1.13,421777200.0,,,,,0
600161.SH,20200414,20200331,757604300.0,231159300.0,231890100.0,131760900.0,6698622500.0,4070658400.0,0.13,3.29,131496600.0,,,,,0
600603.SH,20200418,20200331,420466434.57,184111974.49,174514166.79,138886192.61,16819508619.67,6056764686.94,0.12,2.12,114423113.1,,,,,0
600644.SH,20200414,20200331,507197800.0,24241700.0,44433500.0,40754100.0,3749276300.0,1523325700.0,0.076,2.71,53252500.0,,,,,0
600674.SH,20200415,20200331,167282402.23,547994064.7,546487782.39,525602104.54,37418674519.17,27655373343.6,0.12,1.92,740160398.26,,,,,0
600917.SH,20200410,20200331,1480575200.0,54445800.0,61186200.0,53150500.0,8960311500.0,4265496100.0,0.034,1.26,90290800.0,,,,,0
601231.SH,20200411,20200331,7612768819.25,,,,,,,,,,,,,0
601139.SH,20200409,20200331,2833280000.0,282510000.0,273390000.0,217070000.0,23158153300.0,11443090000.0,0.08,1.92,238310000.0,,,,,0
603301.SH,20200427,20200331,709139585.11,104547098.94,103743056.43,85912862.61,3041253446.04,1443852434.43,0.61,6.13,30614800.03,,,,,0
300856.SZ,20200721,20200331,302070700.0,55999600.0,55378000.0,47091100.0,1024545400.0,592772900.0,,,44685600.0,,,,,0
603687.SH,20200425,20200331,248105000.0,8976000.0,5634600.0,6430500.0,2109671100.0,1449605000.0,0.02,0.44,24990900.0,,,,,0
688095.SH,20200602,20200331,114452499.77,,,31298210.36,509113294.7,358566589.82,0.87,9.14,6934366.15,,,,,0
601016.SH,20200416,20200331,620484418.15,182816998.63,183178478.74,136770809.73,24987975091.4,7406865594.47,0.033,1.84,113478014.86,,,,,0
