ts_code,ann_date,end_date,revenue,operate_profit,total_profit,n_income,total_assets,total_hldr_eqy_exc_min_int,diluted_eps,diluted_roe,yoy_net_profit,bps,open_net_assets,open_bps,perf_summary,update_flag
601888.SH,20240409,20240331,18807168700.0,2910225700.0,2911412200.0,2308338400.0,80254420000.0,56154084300.0,1.1158,4.2,2300772300.0,,,,,0
300962.SZ,20240408,20240331,83621422.72,36229770.47,36145484.91,29836447.36,1126836916.44,945993062.24,0.113,3.2,29302851.57,,,,,0
603122.SH,20240410,20240331,238622200.0,,,,,,,,,,,,,0
605339.SH,20240411,20240331,267019100.0,,,,,,,,,,,,,0
600161.SH,20240412,20240331,1221955200.0,516263900.0,516222300.0,316674000.0,14791832200.0,10139253100.0,0.19,3.17,261909000.0,,,,,0
601139.SH,20240413,20240331,6862510000.0,378260000.0,375260000.0,275680000.0,45696070000.0,14824160000.0,0.1,1.88,258300000.0,,,,,0
000563.SZ,20240415,20240331,717332100.0,491049800.0,490130900.0,367597000.0,24978781800.0,17456592000.0,0.0719,2.13,334076400.0,,,,,0
000928.SZ,20240417,20240331,4904319500.0,301445300.0,301505300.0,215424900.0,27877584600.0,8121172800.0,0.1502,2.69,208083600.0,,,,,0
002692.SZ,20240420,20240331,810114300.0,16923600.0,17231900.0,16505200.0,2713881800.0,1135078200.0,0.023,1.46,5497600.0,,,,,0
601231.SH,20240409,20240331,13491928720.52,,,,,,,,,,,,,0
