ts_code,ann_date,end_date,revenue,operate_profit,total_profit,n_income,total_assets,total_hldr_eqy_exc_min_int,diluted_eps,diluted_roe,yoy_net_profit,bps,open_net_assets,open_bps,perf_summary,update_flag
002066.SZ,20220706,20220630,2454738552.48,82530062.44,82270674.17,28155735.63,4455963711.41,565903745.43,0.1219,5.1,23185455.4,,,,,0
002258.SZ,20220707,20220630,5078113000.0,1405818000.0,1392588800.0,1047493900.0,11705914800.0,5830515200.0,1.418,19.3,504953300.0,,,,,0
600233.SH,20220708,20220630,25137737000.0,2385845300.0,2352225700.0,1770580500.0,36223472600.0,23908457100.0,0.5154,7.53,645622500.0,,,,,0
600926.SH,20220709,20220630,17295000000.0,7369000000.0,7377000000.0,6585000000.0,1533328000000.0,94304000000.0,1.06,8.3,5007000000.0,,,,,0
600746.SH,20220709,20220630,4352518300.0,883321400.0,881984300.0,741052700.0,6435417600.0,5728420100.0,0.6345,12.0915,1504381800.0,,,,,0
603588.SH,20220711,20220630,3996984100.0,517044700.0,516838000.0,444718900.0,19971487500.0,5863351800.0,0.348,7.778,390512800.0,,,,,0
600908.SH,20220711,20220630,2336000000.0,1104000000.0,1105000000.0,1020000000.0,208386000000.0,16788000000.0,0.53,13.46,783000000.0,,,,,0
601568.SH,20220712,20220630,6780773800.0,1413531900.0,1423304300.0,1197090500.0,16128168600.0,13404988300.0,0.3,8.64,1167988700.0,,,,,0
300498.SZ,20220804,20220630,31543957300.0,-3459229300.0,-3453002500.0,-3516755500.0,95194465600.0,30255944900.0,-0.5537,-11.42,-2497667900.0,,,,,0
002192.SZ,20220805,20220630,988265622.0,656657702.96,656651566.46,576227116.37,1810004882.04,1223039438.85,2.2192,61.67,12677702.49,,,,,0
600502.SH,20220808,20220630,33689408200.0,1005310700.0,1039285800.0,620687700.0,133551941200.0,11648324300.0,0.36,5.19,576564000.0,,,,,0
002839.SZ,20220712,20220630,2354000000.0,704000000.0,798000000.0,761000000.0,177469000000.0,14807000000.0,0.35,5.98,596000000.0,,,,,0
603868.SH,20220712,20220630,2279287700.0,576111700.0,599675100.0,456280200.0,4114660800.0,3063312300.0,1.05,14.27,313899900.0,,,,,0
000728.SZ,20220712,20220630,2474031000.0,925816200.0,925400300.0,748857300.0,131830386400.0,32225878000.0,0.17,2.31,846138200.0,,,,,0
601139.SH,20220712,20220630,14798690000.0,881080000.0,883250000.0,538770000.0,38474480000.0,12766120000.0,0.19,4.27,852050000.0,,,,,0
600428.SH,20220713,20220630,5814307800.0,455015400.0,467415900.0,335477800.0,23725532400.0,10000404900.0,0.156,3.4,146243700.0,,,,,0
002028.SZ,20220713,20220630,4345172077.39,559504291.7,556536210.95,473073175.9,13946178437.67,8694238433.06,0.62,5.5,569532056.65,,,,,0
002796.SZ,20220810,20220630,510899745.1,-24490165.86,-24854603.25,-21391572.63,1505644142.94,843642064.27,-0.09,-2.46,-16118001.51,,,,,0
002238.SZ,20220713,20220630,748842500.0,53889000.0,54603800.0,55059500.0,3599039700.0,2248611400.0,0.0686,2.39,77812800.0,,,,,0
000563.SZ,20220714,20220630,970658500.0,622360300.0,620987800.0,465601600.0,16109264700.0,12572685200.0,0.1175,3.74,439043700.0,,,,,0
601952.SH,20220714,20220630,6149760691.41,408021590.26,407842553.91,345862050.13,14906584155.36,5750055726.52,0.25,5.68,328319026.76,,,,,0
603071.SH,20220715,20220630,27982552200.0,745109800.0,745181100.0,501954300.0,10908582400.0,3989493800.0,0.9,12.33,424374200.0,,,,,0
600161.SH,20220715,20220630,1890571000.0,622831200.0,622403400.0,384520800.0,12263198700.0,8299232200.0,0.23,4.68,336885900.0,,,,,0
600101.SH,20220715,20220630,1065039700.0,93992300.0,93533700.0,80016100.0,3893024600.0,2575668600.0,0.1899,3.115,61744300.0,,,,,0
600048.SH,20220715,20220630,110847333600.0,19171844000.0,19284517900.0,10721406400.0,1433164561100.0,199483650500.0,0.9,5.33,10299102300.0,,,,,0
603053.SH,20220716,20220630,2564010500.0,361001500.0,384673700.0,325947400.0,7174678100.0,3974859500.0,0.37,8.18,319594100.0,,,,,0
600000.SH,20220811,20220630,98644000000.0,34564000000.0,34533000000.0,30174000000.0,8505959000000.0,685293000000.0,1.0,5.13,29838000000.0,,,,,0
600919.SH,20220716,20220630,35107000000.0,17208000000.0,17214000000.0,13380000000.0,2870587000000.0,199516000000.0,0.85,8.045,10199000000.0,,,,,0
600549.SH,20220716,20220630,24158000400.0,1533212500.0,1538596500.0,911533600.0,37457311900.0,9937500600.0,0.6483,9.09,687727500.0,,,,,0
688778.SH,20220716,20220630,14302469300.0,587374800.0,590754700.0,532408400.0,13436518800.0,4138887400.0,2.12,13.44,250910500.0,,,,,0
000027.SZ,20220716,20220630,16481540000.0,1462930000.0,1460660000.0,1108860000.0,136904710000.0,46180460000.0,0.2083,3.48,1961190000.0,,,,,0
603100.SH,20220716,20220630,3050000000.0,282000000.0,282000000.0,245000000.0,6821000000.0,3182000000.0,0.62,7.52,309540000.0,,,,,0
600292.SH,20220716,20220630,1822560000.0,67730000.0,67850000.0,34430000.0,10545980000.0,5143160000.0,0.04,0.67,40220000.0,,,,,0
603866.SH,20220719,20220630,3205678600.0,455613000.0,456895000.0,357384300.0,6033422200.0,4731692200.0,0.2681,7.25,368452400.0,,,,,0
603833.SH,20220811,20220630,9693361100.0,1180424100.0,1185483700.0,1018277900.0,26011216600.0,14490481900.0,1.67,6.83,1012364500.0,,,,,0
300857.SZ,20220810,20220630,1354928400.0,77693800.0,78245900.0,71060100.0,2764638600.0,1359386100.0,0.34,5.32,69230000.0,,,,,0
601901.SH,20220812,20220630,4075854300.0,1693723200.0,1694612300.0,1421336700.0,175549943100.0,42446881500.0,0.17,3.38,1300547200.0,,,,,0
300526.SZ,20220811,20220630,24465558.6,-9858017.25,-8210630.68,-8128566.31,378162991.48,226914892.29,-0.04,-3.59,-35982886.64,,,,,0
002693.SZ,20220813,20220630,126814078.76,-6842489.02,-6237283.02,-1813831.34,893176808.1,499269914.79,-0.0045,-0.38,5996826.11,,,,,0
688300.SH,20220815,20220630,350652020.45,104678420.34,105309683.02,92226280.41,1381859246.52,1134016935.02,1.07,8.22,79137704.71,,,,,0
603019.SH,20220817,20220630,5022945894.58,613531953.0,618986395.81,481912867.3,26145390762.77,12995349378.01,0.33,3.74,352093087.82,,,,,0
002727.SZ,20220818,20220630,7965021522.51,454973996.63,470056213.25,418244999.21,14375709727.61,6844127486.19,0.706,6.22,523869384.37,,,,,0
002807.SZ,20220719,20220630,2036000000.0,494000000.0,487000000.0,575000000.0,160123000000.0,13170000000.0,0.2646,4.34,471000000.0,,,,,0
600917.SH,20220719,20220630,4334885200.0,261269000.0,274993800.0,240089400.0,9404542600.0,4765768000.0,0.15,5.04,224019200.0,,,,,0
000719.SZ,20220719,20220630,4233243800.0,490709500.0,486659400.0,457645900.0,15516025700.0,9601583300.0,0.45,4.8,440803600.0,,,,,0
300394.SZ,20220718,20220630,577486466.31,202649645.24,204628299.91,173806219.01,2717736509.46,2374758300.89,0.4446,7.18,137858517.73,,,,,0
600436.SH,20220719,20220630,4422632100.0,1597707300.0,1597490200.0,1314097700.0,13552447300.0,10950910400.0,2.18,12.72,1115239600.0,,,,,0
002966.SZ,20220719,20220630,5954000000.0,2684000000.0,2670000000.0,2177000000.0,505682000000.0,36994000000.0,0.64,6.47,1740000000.0,,,,,0
600644.SH,20220720,20220630,1488631800.0,96838000.0,98305600.0,85989600.0,4009013400.0,1805849300.0,0.1597,4.88,83797300.0,,,,,0
600267.SH,20220720,20220630,5736689200.0,411279500.0,408818600.0,318904300.0,18833910200.0,7465439700.0,0.27,4.3,280130200.0,,,,,0
