ts_code,ann_date,end_date,revenue,operate_profit,total_profit,n_income,total_assets,total_hldr_eqy_exc_min_int,diluted_eps,diluted_roe,yoy_net_profit,bps,open_net_assets,open_bps,perf_summary,update_flag
600882.SH,20260404,20260331,1625690900.0,98029000.0,97711100.0,75558000.0,8700264600.0,4648394500.0,0.15,1.64,82396700.0,,,,,0
603019.SH,20260408,20260331,3072411336.36,274886152.12,273004053.34,225417179.42,40596681465.16,22272342678.9,0.155,1.01,186472838.24,,,,,0
605016.SH,20260408,20260331,392610200.0,142132600.0,142211600.0,120587800.0,2799606500.0,2082053700.0,0.29,5.79,81419600.0,,,,,0
601231.SH,20260410,20260331,13349408692.56,,,,,,,,,,,,,0
600030.SH,20260410,20260331,23155000000.0,13220000000.0,13227000000.0,10216000000.0,2244674000000.0,334571000000.0,0.67,3.46,6608000000.0,,,,,0
603122.SH,20260411,20260331,154326000.0,,,,,,,,,,,,,0
601139.SH,20260411,20260331,6810730000.0,378160000.0,380680000.0,266960000.0,47722240000.0,16725520000.0,0.09,1.61,233040000.0,,,,,0
000792.SZ,20260414,20260331,6431955100.0,4054388800.0,4053843300.0,2939371100.0,58454224700.0,44638197000.0,0.5555,6.36,1187935000.0,,,,,0
600267.SH,20260416,20260331,2390467900.0,483530100.0,482460000.0,355690900.0,13812841900.0,8947924700.0,0.31,4.05,194227200.0,,,,,0
002697.SZ,20260416,20260331,2453935400.0,191075100.0,190797300.0,142551800.0,8408260900.0,4929819800.0,0.1,2.93,156596900.0,,,,,0
600995.SH,20260416,20260331,1849441800.0,700912700.0,702427100.0,453818300.0,62297922300.0,23097472000.0,0.14,1.98,373992100.0,,,,,0
603766.SH,20260418,20260331,4522343500.0,565964300.0,566048500.0,471335000.0,16568623200.0,9652778100.0,0.2295,4.87,506881100.0,,,,,0
600917.SH,20260420,20260331,2626699670.42,-24223862.7,-21533203.42,-39360850.62,11104927049.6,5767702040.69,-0.0252,-0.68,-54087531.85,,,,,0
002670.SZ,20260421,20260331,295598900.0,13268200.0,11064400.0,1468700.0,48679147100.0,11336337200.0,0.0008,0.01,70390900.0,,,,,0
000028.SZ,20260422,20260331,17823409800.0,376586900.0,376860500.0,287462500.0,49123776200.0,18897425800.0,0.52,1.53,327998500.0,,,,,0
