ts_code,ann_date,end_date,revenue,operate_profit,total_profit,n_income,total_assets,total_hldr_eqy_exc_min_int,diluted_eps,diluted_roe,yoy_net_profit,bps,open_net_assets,open_bps,perf_summary,update_flag
301329.SZ,20250807,20250630,438277900.0,42343500.0,41111900.0,33094800.0,1854839900.0,1553906200.0,0.19,2.09,37178400.0,,,,,0
001400.SZ,20250809,20250630,494357379.08,59864718.41,59501567.02,49555054.89,1898641748.7,1262106999.71,0.9911,5.47,83610053.22,,,,,0
300979.SZ,20250808,20250630,12660864400.0,2165951200.0,2152944600.0,1663817700.0,25475032600.0,16147701800.0,1.43,9.41,1878347800.0,,,,,0
600390.SH,20250809,20250630,3330247455.83,770664894.94,759048496.43,525451990.13,149488380950.19,47432378456.9,0.08,0.83,897793505.0,,,,,0
300857.SZ,20250811,20250630,4943984300.0,494958800.0,494744300.0,456807500.0,15043574200.0,3623879100.0,1.33,13.18,357780200.0,,,,,0
000028.SZ,20250815,20250630,36796598400.0,926496500.0,918113300.0,665907300.0,50426135800.0,18136171800.0,1.2,3.7,743487200.0,,,,,0
600089.SH,20250821,20250630,48401000000.0,4384000000.0,4423000000.0,3184000000.0,220799000000.0,71788000000.0,0.6342,4.8277,3032000000.0,,,,,0
002350.SZ,20250816,20250630,937805900.0,25937100.0,26771100.0,16991400.0,2880971500.0,1637532900.0,0.033,1.03,-11844000.0,,,,,0
002108.SZ,20250816,20250630,1319461649.23,96830395.78,96792214.06,82806694.74,7931240603.75,5040268938.83,0.0497,1.61,88235104.26,,,,,0
603043.SH,20250823,20250630,1991470100.0,67568100.0,68216900.0,39100700.0,6330807000.0,3599362400.0,0.0687,1.03,58453400.0,,,,,0
600436.SH,20250823,20250630,5378537100.0,1711538900.0,1705759300.0,1442309300.0,18708792000.0,14624557800.0,2.39,9.62,1721539600.0,,,,,0
600007.SH,20250823,20250630,1889650000.0,840250000.0,843980000.0,632370000.0,11205410000.0,9177440000.0,0.63,6.59,687540000.0,,,,,0
601869.SH,20250828,20250630,6384000000.0,313000000.0,386000000.0,296000000.0,31834000000.0,11505000000.0,0.39,2.53,378000000.0,,,,,0
920022.BJ,20250801,20250630,266619347.67,,,29137163.3,497144024.64,250921353.99,0.69,12.34,27967376.35,,,,,0
920892.BJ,20250805,20250630,247156656.88,,53237180.9,46137663.28,771109662.96,377879238.02,0.27,10.67,43070187.62,,,,,0
301531.SZ,20250814,20250630,546155166.88,,,58528648.73,1344087514.57,710292372.91,0.36,8.29,43986942.03,,,,,0
