ts_code,name,report_date,report_title,report_type,classify,org_name,author_name,quarter,op_rt,op_pr,tp,np,eps,pe,rd,roe,ev_ebitda,rating,max_price,min_price
601377.SH,兴业证券,20250830,兴业证券2025年中报点评：经纪、自营业务带动公司归母净利润增长超过40％,点评,一般报告,东吴证券,"孙婷,何婷",2027Q4,1358700.0,,536500.0,383900.0,0.44,15.32,,,,买入,,
601658.SH,邮储银行,20250830,邮储银行2025年中报点评：收入利润实现正增长,点评,一般报告,国信证券,"王剑,陈俊良",2025Q4,35031600.0,,9500000.0,8664200.0,0.721,9.0,3.6,9.5,,优于大市,,
601816.SH,京沪高铁,20250830,京沪高铁公司点评：业绩同比下滑，京福安徽实现盈利,点评,一般报告,国金证券,"郑树明,霍泽嘉",2026Q4,4394500.0,2078200.0,1841900.0,1353700.0,0.276,21.22,,6.29,,买入,,
601816.SH,京沪高铁,20250830,京沪高铁公司点评：业绩同比下滑，京福安徽实现盈利,点评,一般报告,国金证券,"郑树明,霍泽嘉",2027Q4,4510400.0,2134900.0,1923400.0,1407100.0,0.287,20.42,,6.33,,买入,,
002532.SZ,天山铝业,20250830,天山铝业：补链降本，盈利能力稳健,点评,一般报告,国信证券,"刘孟峦,焦方冉",2025Q4,3096100.0,,566000.0,481100.0,1.03,9.8,4.1,16.2,8.6,优于大市,,
002532.SZ,天山铝业,20250830,天山铝业：补链降本，盈利能力稳健,点评,一般报告,国信证券,"刘孟峦,焦方冉",2026Q4,3440600.0,,706600.0,600600.0,1.29,7.8,5.1,18.0,7.4,优于大市,,
002532.SZ,天山铝业,20250830,天山铝业：补链降本，盈利能力稳健,点评,一般报告,国信证券,"刘孟峦,焦方冉",2027Q4,3560000.0,,758200.0,644400.0,1.39,7.3,5.5,17.3,7.1,优于大市,,
601816.SH,京沪高铁,20250830,京沪高铁公司点评：业绩同比下滑，京福安徽实现盈利,点评,一般报告,国金证券,"郑树明,霍泽嘉",2025Q4,4286700.0,2025700.0,1758100.0,1297900.0,0.264,22.13,,6.22,,买入,,
300746.SZ,汉嘉设计,20250830,汉嘉设计2025年半年报点评：新业务盈利能力良好，环卫机器人业务国内发展提,点评,一般报告,甬兴证券,刘荆,2025Q4,167200.0,,13200.0,6400.0,0.28,54.75,,8.0,17.67,买入,,
300746.SZ,汉嘉设计,20250830,汉嘉设计2025年半年报点评：新业务盈利能力良好，环卫机器人业务国内发展提,点评,一般报告,甬兴证券,刘荆,2026Q4,177800.0,,17000.0,8300.0,0.37,42.44,,9.4,15.66,买入,,
