ts_code,name,report_date,report_title,report_type,classify,org_name,author_name,quarter,op_rt,op_pr,tp,np,eps,pe,rd,roe,ev_ebitda,rating,max_price,min_price
300990.SZ,同飞股份,20260331,同飞股份2025年报点评报告：储能温控业务高速增长，数据中心液冷温控加速突破,点评,一般报告,浙商证券,"陈明雨,尹仕昕,曹宇",2025Q4,286748.0,,27700.0,25290.0,1.48,53.2,,12.72,45.6,买入,,
300990.SZ,同飞股份,20260331,同飞股份2025年报点评报告：储能温控业务高速增长，数据中心液冷温控加速突破,点评,一般报告,浙商证券,"陈明雨,尹仕昕,曹宇",2026Q4,475697.0,,61600.0,55397.0,3.25,24.29,,23.44,19.46,买入,,
300990.SZ,同飞股份,20260331,同飞股份2025年报点评报告：储能温控业务高速增长，数据中心液冷温控加速突破,点评,一般报告,浙商证券,"陈明雨,尹仕昕,曹宇",2027Q4,634763.0,,82100.0,73933.0,4.33,18.2,,24.56,14.34,买入,,
300990.SZ,同飞股份,20260331,同飞股份2025年报点评报告：储能温控业务高速增长，数据中心液冷温控加速突破,点评,一般报告,浙商证券,"陈明雨,尹仕昕,曹宇",2028Q4,849204.0,,110400.0,99318.0,5.82,13.55,,25.62,10.28,买入,,
920225.BJ,利通科技,20260331,利通科技：2025年业绩短期承压，新业务多点突破打开成长空间105,点评,一般报告,西南证券,"刘言,潘妍洁",2028Q4,68542.0,,16642.0,14265.0,1.12,19.44,0.86,13.76,10.72,无,,
920225.BJ,利通科技,20260331,利通科技：2025年业绩短期承压，新业务多点突破打开成长空间105,点评,一般报告,西南证券,"刘言,潘妍洁",2027Q4,59423.0,,13966.0,11983.0,0.94,23.14,0.74,13.06,13.05,无,,
920225.BJ,利通科技,20260331,利通科技：2025年业绩短期承压，新业务多点突破打开成长空间105,点评,一般报告,西南证券,"刘言,潘妍洁",2026Q4,52057.0,,11871.0,10200.0,0.8,27.19,0.6,12.46,15.56,无,,
688676.SH,金盘科技,20260331,金盘科技：AIDC业务快速增长，海外业务高增、订单饱满,点评,一般报告,华安证券,"张志邦,郑洋",2028Q4,1219800.0,,154700.0,143100.0,3.11,23.94,,16.4,18.43,买入,,
688676.SH,金盘科技,20260331,金盘科技：AIDC业务快速增长，海外业务高增、订单饱满,点评,一般报告,华安证券,"张志邦,郑洋",2027Q4,1022200.0,,122300.0,113100.0,2.46,30.29,,15.5,22.29,买入,,
688676.SH,金盘科技,20260331,金盘科技：AIDC业务快速增长，海外业务高增、订单饱满,点评,一般报告,华安证券,"张志邦,郑洋",2026Q4,855400.0,,99000.0,91500.0,1.99,37.43,,14.9,26.72,买入,,
601319.SH,中国人保,20260331,中国人保2025年年报点评：承保盈利修复，经营质效提升,点评,一般报告,太平洋证券,"夏芈卬,王子钦",2028Q4,78845125.0,,,6379188.0,,,,,,增持,,
601319.SH,中国人保,20260331,中国人保2025年年报点评：承保盈利修复，经营质效提升,点评,一般报告,太平洋证券,"夏芈卬,王子钦",2027Q4,74405522.0,,,5737501.0,,,,,,增持,,
601319.SH,中国人保,20260331,中国人保2025年年报点评：承保盈利修复，经营质效提升,点评,一般报告,太平洋证券,"夏芈卬,王子钦",2026Q4,70029632.0,,,5096960.0,,,,,,增持,,
