ts_code,name,report_date,report_title,report_type,classify,org_name,author_name,quarter,op_rt,op_pr,tp,np,eps,pe,rd,roe,ev_ebitda,rating,max_price,min_price
002080.SZ,中材科技,20210731,中材科技：做优玻纤、做强叶片、做大隔膜,一般,首次关注,中银国际,"余斯杰,陈浩武",2022Q4,2297700.0,,405700.0,344100.0,2.05,13.5,2.2,18.4,7.5,买入,,
605006.SH,山东玻纤,20210731,山东玻纤：玻纤行业二线龙头，成本技术优势兼备,一般,首次关注,中银国际,"余斯杰,陈浩武",2023Q4,375100.0,,116100.0,95200.0,1.905,7.5,5.4,29.7,4.6,增持,,
601155.SH,新城控股,20210731,新城控股：SREITs助轻资产化，开启第二增长曲线,点评,一般报告,申万宏源证券,"袁豪,曹曼",2022Q4,20342600.0,4163200.0,3373400.0,2123200.0,9.39,2.9,,27.3,,买入,,66.0
002080.SZ,中材科技,20210731,中材科技：做优玻纤、做强叶片、做大隔膜,一般,首次关注,中银国际,"余斯杰,陈浩武",2021Q4,2063700.0,,405800.0,344100.0,2.05,13.5,2.2,21.2,7.7,买入,,
601155.SH,新城控股,20210731,新城控股：SREITs助轻资产化，开启第二增长曲线,点评,一般报告,申万宏源证券,"袁豪,曹曼",2023Q4,23180600.0,4835400.0,3864400.0,2432200.0,10.76,4.7,,25.7,,买入,,66.0
300196.SZ,长海股份,20210731,长海股份：玻纤制品优质标的，纵向布局日臻完善,一般,首次评级,中银国际,"余斯杰,陈浩武",2022Q4,347000.0,,69600.0,60900.0,1.49,12.9,1.6,15.7,9.2,增持,,
605006.SH,山东玻纤,20210731,山东玻纤：玻纤行业二线龙头，成本技术优势兼备,一般,首次关注,中银国际,"余斯杰,陈浩武",2021Q4,287600.0,,85000.0,69700.0,1.394,10.2,3.9,31.7,5.7,增持,,
300196.SZ,长海股份,20210731,长海股份：玻纤制品优质标的，纵向布局日臻完善,一般,首次评级,中银国际,"余斯杰,陈浩武",2021Q4,289100.0,,62200.0,54400.0,1.331,14.4,1.4,16.0,10.1,增持,,
605006.SH,山东玻纤,20210731,山东玻纤：玻纤行业二线龙头，成本技术优势兼备,一般,首次关注,中银国际,"余斯杰,陈浩武",2022Q4,326700.0,,88200.0,72300.0,1.446,9.8,4.1,27.5,5.6,增持,,
300196.SZ,长海股份,20210731,长海股份：玻纤制品优质标的，纵向布局日臻完善,一般,首次评级,中银国际,"余斯杰,陈浩武",2023Q4,404900.0,,82100.0,71800.0,1.757,10.9,1.8,16.1,8.0,增持,,
002080.SZ,中材科技,20210731,中材科技：做优玻纤、做强叶片、做大隔膜,一般,首次关注,中银国际,"余斯杰,陈浩武",2023Q4,2653600.0,,510500.0,433000.0,2.58,10.7,2.8,19.9,6.3,买入,,
600519.SH,贵州茅台,20210731,贵州茅台：直销与系列酒持续改善，期待结构优化业绩增长,点评,一般报告,华金证券,"周蓉,陈振志",2022Q4,12717100.0,,8803000.0,6387800.0,50.85,34.4,,29.6,23.8,买入,,
300973.SZ,立高食品,20210731,立高食品：股权激励目标积极，彰显长期发展信心,点评,一般报告,长江证券,"董思远,张伟欣,徐爽",2021Q4,253400.0,97100.0,41700.0,33300.0,1.97,61.58,,15.3,43.08,买入,,
600519.SH,贵州茅台,20210731,贵州茅台：直销与系列酒持续改善，期待结构优化业绩增长,点评,一般报告,华金证券,"周蓉,陈振志",2023Q4,14527300.0,,10097900.0,7327600.0,58.33,30.0,,29.1,20.2,买入,,
600519.SH,贵州茅台,20210731,贵州茅台：直销与系列酒持续改善，期待结构优化业绩增长,点评,一般报告,华金证券,"周蓉,陈振志",2021Q4,11092600.0,,7483000.0,5430100.0,43.23,40.5,,29.3,27.6,买入,,
