ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max,last_parent_net,first_ann_date,summary,change_reason,update_flag
920363.BJ,20260130,20251231,扭亏,146.9588,161.0465,400.0,520.0,-851.81,20260130,预计:净利润400-520,报告期内，公司实现扭亏为盈主要有以下原因：1、公司通过加强国内外市场拓展，吸引优质客户订单，报告期内产品销量得到部分恢复；2、通过研发中高端产品，提高公司产品毛利率，提升产品市场竞争力，营业收入取得恢复增长；3、公司强化内部管理，落实各项费用管控，提高生产效率，促进降本增效。,1
920363.BJ,20260130,20251231,扭亏,146.9588,161.0465,400.0,520.0,-851.81,20260130,预计:净利润400-520,报告期内，公司实现扭亏为盈主要有以下原因：1、公司通过加强国内外市场拓展，吸引优质客户订单，报告期内产品销量得到部分恢复；2、通过研发中高端产品，提高公司产品毛利率，提升产品市场竞争力，营业收入取得恢复增长；3、公司强化内部管理，落实各项费用管控，提高生产效率，促进降本增效。,0
920363.BJ,20250125,20241231,首亏,-133.53,-126.08,-900.0,-700.0,2684.53,20250125,预计:净利润-900--700,"报告期内,公司归属于上市公司股东的净利润为负值,主要原因为:1,报告期内,公司产品应用领域以建筑安装,工程施工等建筑工程产业为主,受国内宏观经济周期性影响,公司内销收入较上年度下降;此外,受部分国外客户采购规模减少及采购周期波动的影响,公司外销收入较上年度下降.2,报告期内,公司对部分产品调整了销售价格,公司毛利率较上年度下降,导致公司净利润相应下降.3,报告期内,公司的管理费用,销售费用,减值损失,资产处置损失等有所增加,进一步影响了公司净利润.",0
