ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max,last_parent_net,first_ann_date,summary,change_reason,update_flag
300360.SZ,20210109,20201231,略增,20.0,35.0,29153.0,32797.0,24294.32,20210109,预计净利润29153-32797万,"1.报告期内，公司积极推动研发、生产和销售与服务等各项经营活动。公司以物联网系统带动智能电表、智能水表、智慧充电、能源云边路由器、物联网传感器等物联网产品为核心业务，致力于为公共能源电、水、气、热等公用事业领域提供物联网产品和解决方案，为客户解决能效管理及数据服务。公司依托物联网关键技术，构建物联网产品与大数据、云计算、边缘计算的融合应用，为客户提供智能物联的整体解决方案。本报告期公司经营稳定，公司盈利水平与上年同期相比增长20%-35%；2.报告期内，公司预计非经常性损益对净利润的影响金额约为3,639万元,主要为收到相关政府补贴、公司进行资金管理形成的收益以及以公允价值计量且其变动计入当期损益的金融资产的公允价值变动收益。",0
300360.SZ,20201016,20200930,预增,40.0,60.0,21126.0,24144.0,15090.3,20201016,预计净利润21126-24144万,"1,报告期内,公司积极推动研发,生产和销售等各项经营活动,以物联网系统带动智能电表,智能水表,智慧充电,能源云边路由器,物联网传感器等物联网远程终端为核心业务,推动物联网产品和服务在公共能源水,电,气,热领域的应用,进一步构建物联网终端与大数据,云计算的融合应用,实现公司从产品销售升级为综合能源解决方案服务商.本报告期公司经营稳定,公司盈利水平与上年同期相比增长40%-60%;2,报告期内,公司预计非经常性损益对净利润的影响金额约为2,245.20万元,主要为收到相关政府补贴,公司进行资金管理形成的收益以及以公允价值计量且其变动计入当期损益的金融资产的公允价值变动收益.",0
300360.SZ,20200709,20200630,预增,40.0,60.0,12330.0,14092.0,8807.49,20200709,预计净利润12330-14092万,"1,报告期内,公司在做好疫情防控的基础上,积极推动研发,生产和销售等各项经营活动.公司以物联网系统带动智能电表,智能水表,智慧充电,能源云边路由器,物联网传感器等物联网远程终端为核心业务,推动物联网产品和服务在公共能源水,电,气,热领域的应用,进一步构建物联网终端与大数据,云计算的融合应用,实现公司从产品销售升级为综合能源解决方案服务商.本报告期公司经营稳定,公司盈利水平与上年同期相比增长40%-60%;2,预计公司2020年半年度非经常性损益金额约为842.01万元,主要为收到相关政府补贴及公司进行资金管理形成的收益.",0
300360.SZ,20200410,20200331,略增,10.0,40.0,4250.0,5410.0,3864.08,20200410,预计净利润4250-5410万,"1,报告期内,新型冠状病毒肺炎疫情对公司春节后复工时间有所影响.公司作为浙江省第一批复工企业,复工复产后,公司根据“一手抓防疫,一手抓生产”的指示,在做好疫情防控的基础上,积极推动在手订单的生产和交付,各项经营计划有序开展.本报告期公司盈利水平与上年同期相比,没有发生重大变化,公司经营稳定;2,预计公司2020年一季度非经常性损益金额约为349.25万元,主要为收到相关政府补贴,公司进行资金管理形成的收益.",0
