ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max,last_parent_net,first_ann_date,summary,change_reason,update_flag
002003.SZ,20210415,20210331,预增,80.0,110.0,4124.0,4812.0,2291.3,20210415,预计:净利润4124-4812,"报告期,公司归属于上市公司股东的净利润同比大幅增长,主要原因为:1,随着新冠疫情的逐步控制,终端消费市场逐渐向好,纺织服装行业景气度有所提升,公司加大了市场开拓力度,营业收入实现较大幅度增长;2,财务费用支出同比有所下降;3,受高新技术企业所得税率调整以及相关税费减免等因素影响,相关费用同比有所下降.",1
002003.SZ,20210415,20210331,预增,80.0,110.0,4124.0,4812.0,2291.3,20210415,预计净利润4124-4812万,"报告期,公司归属于上市公司股东的净利润同比大幅增长,主要原因为:1,随着新冠疫情的逐步控制,终端消费市场逐渐向好,纺织服装行业景气度有所提升,公司加大了市场开拓力度,营业收入实现较大幅度增长;2,财务费用支出同比有所下降;3,受高新技术企业所得税率调整以及相关税费减免等因素影响,相关费用同比有所下降.",0
