ts_code,ann_date,end_date,n_income_attr_p,basic_eps,diluted_eps,actual_earnings
000425.SZ,20251031,20250930,5977215500.11,0.51,0.51,5977215500.11
000425.SZ,20250830,20250630,4358409242.35,0.37,0.37,4358409242.35
000425.SZ,20250429,20250331,2022489702.36,0.171,0.171,2022489702.36
000425.SZ,20250429,20241231,5976118332.51,0.51,0.51,5976118332.51
000425.SZ,20241031,20240930,5309032696.12,0.45,0.45,5309032696.12
000425.SZ,20240829,20240630,3705706160.59,0.31,0.31,3705706160.59
000425.SZ,20240430,20240331,1600471771.14,0.135,0.135,1600471771.14
000425.SZ,20240430,20240331,1600471771.14,0.135,0.135,1600471771.14
000425.SZ,20240430,20231231,5326470288.96,0.45,0.45,5326470288.96
000425.SZ,20231031,20230930,4839321097.14,0.41,0.41,4839321097.14
000425.SZ,20230831,20230630,3589449680.53,0.3,0.3,3589449680.53
000425.SZ,20230831,20230630,3589449680.53,0.3,0.3,3589449680.53
000425.SZ,20230429,20230331,1523350581.21,0.129,0.129,1523350581.21
000425.SZ,20230429,20221231,4307097069.54,0.36,0.36,4307097069.54
000425.SZ,20221026,20220930,4675880888.68,0.4,0.4,4675880888.68
000425.SZ,20220831,20220630,2320530098.94,0.2962,0.2962,2320530098.94
000425.SZ,20220430,20220331,1405470009.66,0.179,0.179,1405470009.66
000425.SZ,20220430,20220331,1405470009.66,0.179,0.179,1405470009.66
000425.SZ,20220419,20211231,5614606145.93,0.7052,0.7052,5614606145.93
000425.SZ,20220419,20211231,5614606145.93,0.7052,0.7052,5614606145.93
000425.SZ,20211030,20210930,4609263205.79,0.579,0.579,4609263205.79
000425.SZ,20211030,20210930,4609263205.79,0.579,0.579,4609263205.79
000425.SZ,20210831,20210630,3803041458.27,0.4794,0.4794,3803041458.27
000425.SZ,20210430,20210331,1726741853.84,0.217,0.217,1726741853.84
000425.SZ,20210430,20201231,3728859646.1,0.4505,0.4505,3728859646.1
000425.SZ,20210430,20201231,3728859646.1,0.4505,0.4505,3728859646.1
000425.SZ,20201031,20200930,2434197269.25,0.288,0.288,2434197269.25
000425.SZ,20201031,20200930,2434197269.25,0.288,0.288,2434197269.25
000425.SZ,20200831,20200630,2061735318.88,0.248,0.248,2061735318.88
000425.SZ,20200831,20200630,2061735318.88,0.248,0.248,2061735318.88
000425.SZ,20200430,20200331,611370405.3,0.07,0.07,611370405.3
000425.SZ,20200430,20200331,611370405.3,0.07,0.07,611370405.3
000425.SZ,20200430,20191231,3620572465.02,0.432,0.432,3620572465.02
000425.SZ,20200430,20191231,3620572465.02,0.432,0.432,3620572465.02
000425.SZ,20191031,20190930,3020012958.34,0.363,0.363,3020012958.34
000425.SZ,20190831,20190630,2283307031.95,0.276,0.276,2283307031.95
000425.SZ,20190430,20190331,1053132280.22,0.128,0.128,1053132280.22
000425.SZ,20190430,20181231,2045733651.54,0.261,0.261,2045733651.54
000425.SZ,20190430,20181231,2045733651.54,0.261,0.261,2045733651.54
