ts_code,ann_date,end_date,n_income_attr_p,basic_eps,diluted_eps,actual_earnings
000155.SZ,20260410,20251231,502494436.56,0.27,0.27,502494436.56
000155.SZ,20251028,20250930,347482324.94,0.1882,0.1882,347482324.94
000155.SZ,20251028,20250930,347482324.94,0.1882,0.1882,347482324.94
000155.SZ,20250829,20250630,306005864.04,0.17,0.17,306005864.04
000155.SZ,20250829,20250630,306005864.04,0.17,0.17,306005864.04
000155.SZ,20250430,20250331,236828686.83,0.13,0.13,236828686.83
000155.SZ,20250428,20241231,726889573.73,0.42,0.42,726889573.73
000155.SZ,20241031,20240930,629801178.08,0.3856,0.3856,629801178.08
000155.SZ,20240830,20240630,633535093.19,0.41,0.41,633535093.19
000155.SZ,20240429,20240331,415718640.2,0.28,0.28,415718640.2
000155.SZ,20240427,20231231,797428688.84,0.54,0.54,797428688.84
000155.SZ,20231031,20230930,563869580.98,0.382,0.382,563869580.98
000155.SZ,20230831,20230630,456556900.0,0.31,0.31,456556900.0
000155.SZ,20230831,20230630,456556900.0,0.31,0.31,456556900.0
000155.SZ,20230428,20230331,276316699.85,0.19,0.19,276316699.85
000155.SZ,20230331,20221231,709780122.21,0.48,0.48,709780122.21
000155.SZ,20230331,20221231,709780122.21,0.48,0.48,709780122.21
000155.SZ,20221026,20220930,434899401.66,0.2947,0.2947,434899401.66
000155.SZ,20221026,20220930,434899401.66,0.2947,0.2947,434899401.66
000155.SZ,20220819,20220630,332068231.93,0.22,0.22,332068231.93
000155.SZ,20220421,20220331,219085055.0,0.15,0.15,219085055.0
000155.SZ,20220421,20220331,219085055.0,0.15,0.15,219085055.0
000155.SZ,20220421,20211231,339976107.61,0.23,0.23,339976107.61
000155.SZ,20220421,20211231,339976107.61,0.23,0.23,339976107.61
000155.SZ,20211026,20210930,225087469.52,0.18,0.18,225087469.52
000155.SZ,20210826,20210630,224502317.28,0.18,0.18,224502317.28
000155.SZ,20210423,20210331,136806498.22,0.11,0.11,136806498.22
000155.SZ,20210423,20201231,153291416.86,0.12,0.12,153291416.86
000155.SZ,20210423,20201231,153291416.86,0.12,0.12,153291416.86
000155.SZ,20201023,20200930,189680489.01,0.15,0.15,189680489.01
000155.SZ,20201023,20200930,189680489.01,0.15,0.15,189680489.01
000155.SZ,20200828,20200630,188592286.37,0.15,0.15,188592286.37
000155.SZ,20200828,20200630,188592286.37,0.15,0.15,188592286.37
000155.SZ,20200424,20200331,131055826.7,0.1,0.1,131055826.7
000155.SZ,20200424,20200331,131055826.7,0.1,0.1,131055826.7
000155.SZ,20200424,20191231,214847304.5,0.17,0.17,214847304.5
000155.SZ,20200424,20191231,214847304.5,0.17,0.17,214847304.5
000155.SZ,20191022,20190930,223582882.9,0.18,0.18,223582882.9
000155.SZ,20191022,20190930,223582882.9,0.18,0.18,223582882.9
000155.SZ,20190823,20190630,230015250.46,0.18,0.18,230015250.46
000155.SZ,20190427,20190331,155704180.6,0.12,0.12,155704180.6
000155.SZ,20190427,20181231,300951777.94,0.24,0.24,300951777.94
000155.SZ,20190427,20181231,300951777.94,0.24,0.24,300951777.94
