ts_code,ann_date,end_date,n_income_attr_p,basic_eps,diluted_eps,actual_earnings
000088.SZ,20251030,20250930,1071058499.51,0.21,0.21,1071058499.51
000088.SZ,20250830,20250630,653308570.68,0.13,0.13,653308570.68
000088.SZ,20250429,20250331,312837469.6,0.06,0.06,312837469.6
000088.SZ,20250429,20250331,312837469.6,0.06,0.06,312837469.6
000088.SZ,20250424,20241231,1349328627.36,0.3,0.3,1349328627.36
000088.SZ,20241031,20240930,1004182451.95,0.2343,0.2343,1004182451.95
000088.SZ,20240831,20240630,627733957.65,0.1465,0.1465,627733957.65
000088.SZ,20240430,20240331,257205555.83,0.06,0.06,257205555.83
000088.SZ,20240430,20240331,257205555.83,0.06,0.06,257205555.83
000088.SZ,20240409,20231231,1108328112.53,0.26,0.26,1108328112.53
000088.SZ,20231031,20230930,500396040.36,0.2225,0.2225,500396040.36
000088.SZ,20230831,20230630,317427463.88,0.1411,0.1411,317427463.88
000088.SZ,20230429,20230331,106255332.35,0.05,0.05,106255332.35
000088.SZ,20230429,20230331,106255332.35,0.05,0.05,106255332.35
000088.SZ,20230429,20221231,449989415.76,0.2,0.2,449989415.76
000088.SZ,20230429,20221231,449989415.76,0.2,0.2,449989415.76
000088.SZ,20221028,20220930,371395171.17,0.1651,0.1651,371395171.17
000088.SZ,20221028,20220930,371395171.17,0.1651,0.1651,371395171.17
000088.SZ,20220818,20220630,234927475.73,0.1045,0.1045,234927475.73
000088.SZ,20220430,20220331,83590730.07,0.04,0.04,83590730.07
000088.SZ,20220430,20220331,83590730.07,0.04,0.04,83590730.07
000088.SZ,20220409,20211231,461413741.83,0.21,0.21,461413741.83
000088.SZ,20220409,20211231,461413741.83,0.21,0.21,461413741.83
000088.SZ,20211028,20210930,343340258.21,0.1527,0.1527,343340258.21
000088.SZ,20210814,20210630,228704512.08,0.1017,0.1017,228704512.08
000088.SZ,20210428,20210331,85769845.84,0.04,0.04,85769845.84
000088.SZ,20210417,20201231,391728818.96,0.18,0.18,391728818.96
000088.SZ,20210417,20201231,391728818.96,0.18,0.18,391728818.96
000088.SZ,20201030,20200930,313201742.7,0.1585,0.1585,313201742.7
000088.SZ,20201030,20200930,313201742.7,0.1585,0.1585,313201742.7
000088.SZ,20200829,20200630,152479530.78,0.0785,0.0785,152479530.78
000088.SZ,20200829,20200630,152479530.78,0.0785,0.0785,152479530.78
000088.SZ,20200425,20200331,16448830.75,0.01,0.01,16448830.75
000088.SZ,20200425,20200331,16448830.75,0.01,0.01,16448830.75
000088.SZ,20200409,20191231,359430924.14,0.19,0.19,359430924.14
000088.SZ,20200409,20191231,359430924.14,0.19,0.19,359430924.14
000088.SZ,20191029,20190930,265761087.85,0.1368,0.1368,265761087.85
000088.SZ,20191029,20190930,265761087.85,0.1368,0.1368,265761087.85
000088.SZ,20190815,20190630,146808865.17,0.0756,0.0756,146808865.17
000088.SZ,20190815,20190630,146808865.17,0.0756,0.0756,146808865.17
000088.SZ,20190427,20190331,54648764.15,0.03,0.03,54648764.15
000088.SZ,20190403,20181231,448526835.68,0.23,0.23,448526835.68
000088.SZ,20190403,20181231,448526835.68,0.23,0.23,448526835.68
