ts_code,ann_date,end_date,n_income_attr_p,basic_eps,diluted_eps,actual_earnings
000402.SZ,20251031,20250930,-1349594563.86,-0.45,-0.45,-1349594563.86
000402.SZ,20250819,20250630,-1007916509.84,-0.34,-0.34,-1007916509.84
000402.SZ,20250429,20250331,-381670082.02,-0.13,-0.13,-381670082.02
000402.SZ,20250429,20241231,-11083720499.52,-3.71,-3.71,-11083720499.52
000402.SZ,20241031,20240930,-2614965433.59,-0.87,-0.87,-2614965433.59
000402.SZ,20240831,20240630,-1984132023.3,-0.66,-0.66,-1984132023.3
000402.SZ,20240430,20240331,-280371433.07,-0.09,-0.09,-280371433.07
000402.SZ,20240412,20231231,-1945571279.59,-0.65,-0.65,-1945571279.59
000402.SZ,20231031,20230930,-1338468708.79,-0.45,-0.45,-1338468708.79
000402.SZ,20230831,20230630,-728558060.85,-0.24,-0.24,-728558060.85
000402.SZ,20230831,20230630,-728558060.85,-0.24,-0.24,-728558060.85
000402.SZ,20230429,20230331,-211134327.43,-0.07,-0.07,-211134327.43
000402.SZ,20230429,20221231,846359673.17,0.28,0.28,846359673.17
000402.SZ,20230429,20221231,846359673.17,0.28,0.28,846359673.17
000402.SZ,20221028,20220930,1379843956.13,0.46,0.46,1379843956.13
000402.SZ,20220820,20220630,1148708503.49,0.38,0.38,1148708503.49
000402.SZ,20220428,20220331,934455720.38,0.31,0.31,934455720.38
000402.SZ,20220428,20220331,934455720.38,0.31,0.31,934455720.38
000402.SZ,20220331,20211231,1642803603.61,0.55,0.55,1642803603.61
000402.SZ,20220331,20211231,1642803603.61,0.55,0.55,1642803603.61
000402.SZ,20211030,20210930,1114294182.68,0.37,0.37,1114294182.68
000402.SZ,20210830,20210630,604105204.06,0.2,0.2,604105204.06
000402.SZ,20210424,20210331,557200788.93,0.19,0.19,557200788.93
000402.SZ,20210331,20201231,2498437474.76,0.84,0.84,2498437474.76
000402.SZ,20210331,20201231,2498437474.76,0.84,0.84,2498437474.76
000402.SZ,20201031,20200930,909526619.47,0.3,0.3,909526619.47
000402.SZ,20201031,20200930,909526619.47,0.3,0.3,909526619.47
000402.SZ,20200829,20200630,251297832.95,0.08,0.08,251297832.95
000402.SZ,20200829,20200630,251297832.95,0.08,0.08,251297832.95
000402.SZ,20200430,20200331,164517227.71,0.06,0.06,164517227.71
000402.SZ,20200430,20200331,164517227.71,0.06,0.06,164517227.71
000402.SZ,20200430,20191231,3441864333.9,1.15,1.15,3441864333.9
000402.SZ,20200430,20191231,3441864333.9,1.15,1.15,3441864333.9
000402.SZ,20191031,20190930,1375331776.87,0.46,0.46,1375331776.87
000402.SZ,20190810,20190630,1052641785.39,0.35,0.35,1052641785.39
000402.SZ,20190810,20190630,1052641785.39,0.35,0.35,1052641785.39
000402.SZ,20190427,20190331,610896149.36,0.2,0.2,610896149.36
000402.SZ,20190329,20181231,3268570827.61,1.09,1.09,3268570827.61
000402.SZ,20190329,20181231,3268570827.61,1.09,1.09,3268570827.61
