ts_code,ann_date,end_date,n_income_attr_p,basic_eps,diluted_eps,actual_earnings
000036.SZ,20251031,20250930,35683912.11,0.0243,0.0243,35683912.11
000036.SZ,20250827,20250630,2035639.08,0.0014,0.0014,2035639.08
000036.SZ,20250827,20250630,2035639.08,0.0014,0.0014,2035639.08
000036.SZ,20250430,20250331,5734396.34,0.0039,0.0039,5734396.34
000036.SZ,20250429,20241231,40511986.3,0.03,0.03,40511986.3
000036.SZ,20241031,20240930,37456354.39,0.0256,0.0256,37456354.39
000036.SZ,20240830,20240630,33053744.09,0.0228,0.0228,33053744.09
000036.SZ,20240430,20240331,20432428.16,0.01,0.01,20432428.16
000036.SZ,20240429,20231231,81627722.81,0.06,0.06,81627722.81
000036.SZ,20231031,20230930,50422389.07,0.034,0.034,50422389.07
000036.SZ,20231031,20230930,50422389.07,0.034,0.034,50422389.07
000036.SZ,20230825,20230630,26968964.01,0.0182,0.0182,26968964.01
000036.SZ,20230429,20230331,29710062.69,0.02,0.02,29710062.69
000036.SZ,20230414,20221231,435747116.3,0.29,0.29,435747116.3
000036.SZ,20230414,20221231,435747116.3,0.29,0.29,435747116.3
000036.SZ,20221027,20220930,72135637.26,0.05,0.05,72135637.26
000036.SZ,20220830,20220630,52595600.67,0.0354,0.0354,52595600.67
000036.SZ,20220430,20220331,34968124.23,0.02,0.02,34968124.23
000036.SZ,20220429,20211231,406315301.76,0.27,0.27,406315301.76
000036.SZ,20220429,20211231,406315301.76,0.27,0.27,406315301.76
000036.SZ,20211027,20210930,159381208.56,0.11,0.11,159381208.56
000036.SZ,20211027,20210930,159381208.56,0.11,0.11,159381208.56
000036.SZ,20210830,20210630,136759722.95,0.09,0.09,136759722.95
000036.SZ,20210429,20210331,103132718.55,0.07,0.07,103132718.55
000036.SZ,20210420,20201231,551174647.2,0.37,0.37,551174647.2
000036.SZ,20210420,20201231,551174647.2,0.37,0.37,551174647.2
000036.SZ,20201031,20200930,532091047.35,0.36,0.36,532091047.35
000036.SZ,20201031,20200930,532091047.35,0.36,0.36,532091047.35
000036.SZ,20200831,20200630,442549712.62,0.3,0.3,442549712.62
000036.SZ,20200831,20200630,442549712.62,0.3,0.3,442549712.62
000036.SZ,20200430,20200331,310617431.0,0.21,0.21,310617431.0
000036.SZ,20200430,20200331,310617431.0,0.21,0.21,310617431.0
000036.SZ,20200428,20191231,817574062.09,0.551,0.551,817574062.09
000036.SZ,20200428,20191231,817574062.09,0.551,0.551,817574062.09
000036.SZ,20191031,20190930,608520141.91,0.4101,0.4101,608520141.91
000036.SZ,20190831,20190630,458949925.4,0.309,0.309,458949925.4
000036.SZ,20190430,20190331,271950774.56,0.2382,0.2382,271950774.56
000036.SZ,20190430,20181231,968644086.69,0.849,0.849,968644086.69
000036.SZ,20190430,20181231,968644086.69,0.849,0.849,968644086.69
