ts_code,ann_date,end_date,n_income_attr_p,basic_eps,diluted_eps,actual_earnings
000028.SZ,20260402,20251231,1135926834.84,2.04,2.04,1135926834.84
000028.SZ,20251031,20250930,957118469.53,1.72,1.72,957118469.53
000028.SZ,20251031,20250930,957118469.53,1.72,1.72,957118469.53
000028.SZ,20250830,20250630,665907312.44,1.2,1.2,665907312.44
000028.SZ,20250425,20250331,327998492.13,0.59,0.59,327998492.13
000028.SZ,20250408,20241231,642493449.76,1.15,1.15,642493449.76
000028.SZ,20241029,20240930,1065542103.97,1.91,1.91,1065542103.97
000028.SZ,20240829,20240630,743487174.84,1.34,1.34,743487174.84
000028.SZ,20240426,20240331,388770710.07,0.7,0.7,388770710.07
000028.SZ,20240408,20231231,1599255755.53,2.87,2.87,1599255755.53
000028.SZ,20231027,20230930,1189663637.63,2.14,2.14,1189663637.63
000028.SZ,20230829,20230630,830251088.2,1.49,1.49,830251088.2
000028.SZ,20230426,20230331,362205346.22,0.85,0.85,362205346.22
000028.SZ,20230413,20221231,1486707652.27,3.47,3.47,1486707652.27
000028.SZ,20230413,20221231,1486707652.27,3.47,3.47,1486707652.27
000028.SZ,20221025,20220930,1047644112.13,2.45,2.45,1047644112.13
000028.SZ,20220831,20220630,674215912.93,1.57,1.57,674215912.93
000028.SZ,20220428,20220331,252361872.69,0.59,0.59,252361872.69
000028.SZ,20220428,20220331,252361872.69,0.59,0.59,252361872.69
000028.SZ,20220330,20211231,1336427752.22,3.12,3.12,1336427752.22
000028.SZ,20220330,20211231,1336427752.22,3.12,3.12,1336427752.22
000028.SZ,20211020,20210930,1074155274.79,2.51,2.51,1074155274.79
000028.SZ,20210817,20210630,741445013.25,1.73,1.73,741445013.25
000028.SZ,20210424,20210331,328800560.24,0.77,0.77,328800560.24
000028.SZ,20210402,20201231,1401892593.23,3.27,3.27,1401892593.23
000028.SZ,20210402,20201231,1401892593.23,3.27,3.27,1401892593.23
000028.SZ,20201022,20200930,997585746.42,2.33,2.33,997585746.42
000028.SZ,20201022,20200930,997585746.42,2.33,2.33,997585746.42
000028.SZ,20200829,20200630,643451580.59,1.5,1.5,643451580.59
000028.SZ,20200829,20200630,643451580.59,1.5,1.5,643451580.59
000028.SZ,20200425,20200331,248800655.88,0.58,0.58,248800655.88
000028.SZ,20200425,20200331,248800655.88,0.58,0.58,248800655.88
000028.SZ,20200422,20191231,1271289183.01,2.97,2.97,1271289183.01
000028.SZ,20200422,20191231,1271289183.01,2.97,2.97,1271289183.01
000028.SZ,20191024,20190930,962144066.92,2.247,2.247,962144066.92
000028.SZ,20191024,20190930,962144066.92,2.247,2.247,962144066.92
000028.SZ,20190824,20190630,650833360.4,1.52,1.52,650833360.4
000028.SZ,20190824,20190630,650833360.4,1.52,1.52,650833360.4
000028.SZ,20190425,20190331,300149012.08,0.7,0.7,300149012.08
000028.SZ,20190425,20181231,1210742435.78,2.83,2.83,1210742435.78
000028.SZ,20190425,20181231,1210742435.78,2.83,2.83,1210742435.78
