year,event_count,strict_report_rc_count,usable_signal_count,strict_report_rc_share,usable_signal_share
2020,333,0,0,0.0,0.0
2021,944,85,85,0.09004237288135593,0.09004237288135593
2022,748,112,112,0.1497326203208556,0.1497326203208556
2023,749,115,115,0.15353805073431243,0.15353805073431243
2024,751,115,115,0.15312916111850866,0.15312916111850866
2025,613,87,87,0.14192495921696574,0.14192495921696574
2026,7,4,4,0.5714285714285714,0.5714285714285714
