ts_code,trade_date,close,mkt_ret
399300.SZ,2020-01-02,4152.2408,
399300.SZ,2020-01-03,4144.9649,-0.0017522827674155694
399300.SZ,2020-01-06,4129.2954,-0.0037803697686318305
399300.SZ,2020-01-07,4160.2274,0.00749086635942775
399300.SZ,2020-01-08,4112.3172,-0.011516245482157905
399300.SZ,2020-01-09,4164.3697,0.012657705490228155
399300.SZ,2020-01-10,4163.1849,-0.0002845088417582353
399300.SZ,2020-01-13,4203.9883,0.00980100595580069
399300.SZ,2020-01-14,4189.8862,-0.0033544574802931715
399300.SZ,2020-01-15,4166.7344,-0.005525639335979937
399300.SZ,2020-01-16,4149.0434,-0.004245770980747077
399300.SZ,2020-01-17,4154.853,0.001400226375072533
399300.SZ,2020-01-20,4185.8304,0.0074557150397378535
399300.SZ,2020-01-21,4114.3085,-0.017086669350005135
399300.SZ,2020-01-22,4131.9311,0.004283247111877886
399300.SZ,2020-01-23,4003.9013,-0.030985463431372318
399300.SZ,2020-02-03,3688.3578,-0.07880901060173484
399300.SZ,2020-02-04,3785.6376,0.026374827301190784
399300.SZ,2020-02-05,3828.5272,0.011329557800250134
399300.SZ,2020-02-06,3899.7751,0.018609741103576383
399300.SZ,2020-02-07,3899.8693,2.415523910603845e-05
399300.SZ,2020-02-10,3916.0052,0.004137548917344525
399300.SZ,2020-02-11,3952.4643,0.009310278750396028
399300.SZ,2020-02-12,3984.4325,0.008088169196113881
399300.SZ,2020-02-13,3959.9188,-0.0061523692520829565
399300.SZ,2020-02-14,3987.7342,0.007024234941383156
399300.SZ,2020-02-17,4077.4241,0.02249144388811075
399300.SZ,2020-02-18,4057.5108,-0.004883794158179411
399300.SZ,2020-02-19,4051.3107,-0.0015280550824411376
399300.SZ,2020-02-20,4144.6561,0.023040790231171338
399300.SZ,2020-02-21,4149.4903,0.0011663693882828507
399300.SZ,2020-02-24,4132.8388,-0.004012902500338367
399300.SZ,2020-02-25,4123.8543,-0.0021739294549790733
399300.SZ,2020-02-26,4073.0152,-0.012328054364093344
399300.SZ,2020-02-27,4084.8759,0.0029120195770446777
399300.SZ,2020-02-28,3940.0488,-0.0354544675396381
399300.SZ,2020-03-02,4069.6662,0.03289740979857925
399300.SZ,2020-03-03,4091.3615,0.0053309777593060215
399300.SZ,2020-03-04,4115.0524,0.005790468527408166
399300.SZ,2020-03-05,4206.7251,0.02227740769473563
399300.SZ,2020-03-06,4138.5072,-0.016216391225563953
399300.SZ,2020-03-09,3997.1325,-0.034160795950771816
399300.SZ,2020-03-10,4082.7315,0.021415101951211213
399300.SZ,2020-03-11,4028.4289,-0.01330055625749571
399300.SZ,2020-03-12,3950.9111,-0.019242687887578214
399300.SZ,2020-03-13,3895.3128,-0.014072273101766286
399300.SZ,2020-03-16,3727.8398,-0.04299346640403301
399300.SZ,2020-03-17,3709.6822,-0.004870810167325379
399300.SZ,2020-03-18,3636.2565,-0.019792989275469575
399300.SZ,2020-03-19,3589.0926,-0.012970454642019846
399300.SZ,2020-03-20,3653.2239,0.017868388238297284
399300.SZ,2020-03-23,3530.3058,-0.03364647318769587
399300.SZ,2020-03-24,3625.1146,0.026855690518368114
399300.SZ,2020-03-25,3722.5181,0.026869081600896072
399300.SZ,2020-03-26,3698.0472,-0.006573749097418702
399300.SZ,2020-03-27,3710.0605,0.0032485523711001107
399300.SZ,2020-03-30,3674.1108,-0.00968978807757992
399300.SZ,2020-03-31,3686.1551,0.003278153723616617
399300.SZ,2020-04-01,3675.0758,-0.0030056521495799293
399300.SZ,2020-04-02,3734.5306,0.01617784318897586
399300.SZ,2020-04-03,3713.2183,-0.005706821628399528
399300.SZ,2020-04-07,3798.0214,0.022838167096181694
399300.SZ,2020-04-08,3780.3445,-0.0046542391783258585
399300.SZ,2020-04-09,3792.8105,0.003297583064189036
399300.SZ,2020-04-10,3769.1782,-0.006230814853523614
399300.SZ,2020-04-13,3753.2566,-0.004224156873240847
399300.SZ,2020-04-14,3825.6991,0.019301238289969103
399300.SZ,2020-04-15,3797.3623,-0.0074069599462226465
399300.SZ,2020-04-16,3802.3806,0.0013215225737086556
399300.SZ,2020-04-17,3839.4871,0.009758754817968507
399300.SZ,2020-04-20,3853.4551,0.0036379859174420215
399300.SZ,2020-04-21,3808.0474,-0.011783632823436863
399300.SZ,2020-04-22,3839.3834,0.008228889167713582
399300.SZ,2020-04-23,3829.7525,-0.0025084496640789267
