ts_code,ann_date,end_date,n_income_attr_p,basic_eps,diluted_eps,actual_earnings
000001.SZ,2019-03-07,2018-12-31,24818000000.0,1.39,1.39,24818000000.0
000001.SZ,2019-03-07,2018-12-31,24818000000.0,1.39,1.39,24818000000.0
000001.SZ,2019-04-24,2019-03-31,7446000000.0,0.38,0.36,7446000000.0
000001.SZ,2019-08-08,2019-06-30,15403000000.0,0.85,0.78,15403000000.0
000001.SZ,2019-08-08,2019-06-30,15403000000.0,0.85,0.78,15403000000.0
000001.SZ,2019-10-22,2019-09-30,23621000000.0,1.32,1.32,23621000000.0
000001.SZ,2020-02-14,2019-12-31,28195000000.0,1.54,1.45,28195000000.0
000001.SZ,2020-02-14,2019-12-31,28195000000.0,1.54,1.45,28195000000.0
000001.SZ,2020-04-21,2020-03-31,8548000000.0,0.4,0.4,8548000000.0
000001.SZ,2020-08-28,2020-06-30,13678000000.0,0.66,0.66,13678000000.0
000001.SZ,2020-08-28,2020-06-30,13678000000.0,0.66,0.66,13678000000.0
000001.SZ,2020-10-22,2020-09-30,22398000000.0,1.11,1.11,22398000000.0
000001.SZ,2020-10-22,2020-09-30,22398000000.0,1.11,1.11,22398000000.0
000001.SZ,2021-02-02,2020-12-31,28928000000.0,1.4,1.4,28928000000.0
000001.SZ,2021-02-02,2020-12-31,28928000000.0,1.4,1.4,28928000000.0
000001.SZ,2021-04-21,2021-03-31,10132000000.0,0.42,0.42,10132000000.0
000001.SZ,2021-04-21,2021-03-31,10132000000.0,0.42,0.42,10132000000.0
000001.SZ,2021-08-20,2021-06-30,17583000000.0,0.8,0.8,17583000000.0
000001.SZ,2021-10-21,2021-09-30,29135000000.0,1.4,1.4,29135000000.0
000001.SZ,2022-03-10,2021-12-31,36336000000.0,1.73,1.73,36336000000.0
000001.SZ,2022-03-10,2021-12-31,36336000000.0,1.73,1.73,36336000000.0
000001.SZ,2022-04-27,2022-03-31,12850000000.0,0.56,0.56,12850000000.0
000001.SZ,2022-08-18,2022-06-30,22088000000.0,1.03,1.03,22088000000.0
000001.SZ,2022-10-25,2022-09-30,36659000000.0,1.78,1.78,36659000000.0
000001.SZ,2023-03-09,2022-12-31,45516000000.0,2.2,2.2,45516000000.0
000001.SZ,2023-03-09,2022-12-31,45516000000.0,2.2,2.2,45516000000.0
000001.SZ,2023-04-25,2023-03-31,14602000000.0,0.65,0.65,14602000000.0
000001.SZ,2023-04-25,2023-03-31,14602000000.0,0.65,0.65,14602000000.0
000001.SZ,2023-08-24,2023-06-30,25387000000.0,1.2,1.2,25387000000.0
000001.SZ,2023-10-25,2023-09-30,39635000000.0,1.94,1.94,39635000000.0
000001.SZ,2024-03-15,2023-12-31,46455000000.0,2.25,2.25,46455000000.0
000001.SZ,2024-04-20,2024-03-31,14932000000.0,0.66,0.66,14932000000.0
000001.SZ,2024-08-16,2024-06-30,25879000000.0,1.23,1.23,25879000000.0
000001.SZ,2024-10-19,2024-09-30,39729000000.0,1.94,1.94,39729000000.0
000001.SZ,2025-03-15,2024-12-31,44508000000.0,2.15,2.15,44508000000.0
000001.SZ,2025-04-19,2025-03-31,14096000000.0,0.62,0.62,14096000000.0
000001.SZ,2025-08-23,2025-06-30,24870000000.0,1.18,1.18,24870000000.0
000001.SZ,2025-10-25,2025-09-30,38339000000.0,1.87,1.87,38339000000.0
000001.SZ,2026-03-21,2025-12-31,42633000000.0,2.07,2.07,42633000000.0
000002.SZ,2019-03-26,2018-12-31,33772651678.61,3.06,3.06,33772651678.61
000002.SZ,2019-03-26,2018-12-31,33772651678.61,3.06,3.06,33772651678.61
000002.SZ,2019-04-30,2019-03-31,1120626569.29,0.102,0.102,1120626569.29
000002.SZ,2019-08-21,2019-06-30,11841752171.43,1.06,1.06,11841752171.43
000002.SZ,2019-08-21,2019-06-30,11841752171.43,1.06,1.06,11841752171.43
000002.SZ,2019-10-25,2019-09-30,18240745065.0,1.631,1.631,18240745065.0
000002.SZ,2019-10-25,2019-09-30,18240745065.0,1.631,1.631,18240745065.0
000002.SZ,2020-03-18,2019-12-31,38872086881.32,3.47,3.47,38872086881.32
000002.SZ,2020-03-18,2019-12-31,38872086881.32,3.47,3.47,38872086881.32
000002.SZ,2020-04-28,2020-03-31,1249359312.96,0.111,0.111,1249359312.96
000002.SZ,2020-04-28,2020-03-31,1249359312.96,0.111,0.111,1249359312.96
000002.SZ,2020-08-28,2020-06-30,12507519556.5,1.11,1.11,12507519556.5
000002.SZ,2020-08-28,2020-06-30,12507519556.5,1.11,1.11,12507519556.5
000002.SZ,2020-10-30,2020-09-30,19862827129.73,1.741,1.741,19862827129.73
000002.SZ,2020-10-30,2020-09-30,19862827129.73,1.741,1.741,19862827129.73
000002.SZ,2021-03-31,2020-12-31,41515544941.31,3.62,3.62,41515544941.31
000002.SZ,2021-03-31,2020-12-31,41515544941.31,3.62,3.62,41515544941.31
000002.SZ,2021-04-23,2021-03-31,1292286264.34,0.1112,0.1112,1292286264.34
000002.SZ,2021-08-30,2021-06-30,11046937585.87,0.95,0.95,11046937585.87
000002.SZ,2021-10-29,2021-09-30,16688796291.88,1.436,1.436,16688796291.88
000002.SZ,2022-03-31,2021-12-31,22524033383.22,1.94,1.94,22524033383.22
000002.SZ,2022-03-31,2021-12-31,22524033383.22,1.94,1.94,22524033383.22
000002.SZ,2022-04-29,2022-03-31,1428994048.18,0.1229,0.1229,1428994048.18
