ts_code,trade_date,close,mkt_ret
399300.SZ,2020-01-02,4152.2408,
399300.SZ,2020-01-03,4144.9649,-0.0017522827674155
399300.SZ,2020-01-06,4129.2954,-0.0037803697686318
399300.SZ,2020-01-07,4160.2274,0.0074908663594277
399300.SZ,2020-01-08,4112.3172,-0.0115162454821579
399300.SZ,2020-01-09,4164.3697,0.0126577054902281
399300.SZ,2020-01-10,4163.1849,-0.0002845088417582
399300.SZ,2020-01-13,4203.9883,0.0098010059558006
399300.SZ,2020-01-14,4189.8862,-0.0033544574802931
399300.SZ,2020-01-15,4166.7344,-0.0055256393359799
399300.SZ,2020-01-16,4149.0434,-0.004245770980747
399300.SZ,2020-01-17,4154.853,0.0014002263750725
399300.SZ,2020-01-20,4185.8304,0.0074557150397378
399300.SZ,2020-01-21,4114.3085,-0.0170866693500051
399300.SZ,2020-01-22,4131.9311,0.0042832471118778
399300.SZ,2020-01-23,4003.9013,-0.0309854634313723
399300.SZ,2020-02-03,3688.3578,-0.0788090106017348
399300.SZ,2020-02-04,3785.6376,0.0263748273011907
399300.SZ,2020-02-05,3828.5272,0.0113295578002501
399300.SZ,2020-02-06,3899.7751,0.0186097411035763
399300.SZ,2020-02-07,3899.8693,2.415523910603845e-05
399300.SZ,2020-02-10,3916.0052,0.0041375489173445
399300.SZ,2020-02-11,3952.4643,0.009310278750396
399300.SZ,2020-02-12,3984.4325,0.0080881691961138
399300.SZ,2020-02-13,3959.9188,-0.0061523692520829
399300.SZ,2020-02-14,3987.7342,0.0070242349413831
399300.SZ,2020-02-17,4077.4241,0.0224914438881107
399300.SZ,2020-02-18,4057.5108,-0.0048837941581794
399300.SZ,2020-02-19,4051.3107,-0.0015280550824411
399300.SZ,2020-02-20,4144.6561,0.0230407902311713
399300.SZ,2020-02-21,4149.4903,0.0011663693882828
399300.SZ,2020-02-24,4132.8388,-0.0040129025003383
399300.SZ,2020-02-25,4123.8543,-0.002173929454979
399300.SZ,2020-02-26,4073.0152,-0.0123280543640933
399300.SZ,2020-02-27,4084.8759,0.0029120195770446
399300.SZ,2020-02-28,3940.0488,-0.0354544675396381
399300.SZ,2020-03-02,4069.6662,0.0328974097985792
399300.SZ,2020-03-03,4091.3615,0.005330977759306
399300.SZ,2020-03-04,4115.0524,0.0057904685274081
399300.SZ,2020-03-05,4206.7251,0.0222774076947356
399300.SZ,2020-03-06,4138.5072,-0.0162163912255639
399300.SZ,2020-03-09,3997.1325,-0.0341607959507718
399300.SZ,2020-03-10,4082.7315,0.0214151019512112
399300.SZ,2020-03-11,4028.4289,-0.0133005562574957
399300.SZ,2020-03-12,3950.9111,-0.0192426878875782
399300.SZ,2020-03-13,3895.3128,-0.0140722731017662
