ts_code,ann_date,end_date,period_end,event_trade_date,event_type,event_subtype,event_value_np,event_value_eps,event_value_yoy,event_source,type,p_change_min,p_change_max,net_profit_min,net_profit_max,first_ann_date,summary,change_reason,guidance_yoy_midpoint,forecast_profit_mid,revision_magnitude,source_endpoint,name,industry,list_date,perf_summary,update_flag,event_id,expectation_source,matched_report_date,matched_report_count,matched_broker_count,report_rc_match_quality,expected_np,expected_eps,expected_target_price,expected_rating,text_over_expectation_fraction,revision_magnitude_np,revision_magnitude_eps,target_price_change,upward_revision_count,downward_revision_count,analyst_count,fraction_upgraded,forecast_surprise_raw,forecast_surprise_pct,express_surprise_raw,express_surprise_pct,final_surprise_raw,final_surprise_pct,main_surprise_raw,main_surprise_pct,surprise_family,main_surprise_std,event_day_ret,event_day_vol,list_trade_day_idx,event_trade_day_idx,listed_days,turnover20
000401.SZ,2020-07-10,2020-06-30,2020-06-30,2020-07-13,preannouncement,initial,101000.0,,-32.32,forecast_vip,略减,-34.33,-30.31,98000.0,104000.0,2020-07-10,预计净利润98000-104000万,受新冠肺炎疫情影响，报告期内公司水泥熟料综合销量特别是第一季度综合销量同比减少，售价同比降低，营业收入同比减少，导致归属于上市公司股东的净利润同比减少。,-32.32,101000.0,,forecast_vip,金隅冀东,水泥,1996-06-14,,,188,missing_report_rc,,0,0,missing,,,,,,,,,,,,,,,,,,,,,forecast,,0.03361344537815114,575418.65,0,125,125,3.038415
000531.SZ,2020-07-10,2020-06-30,2020-06-30,2020-07-13,preannouncement,initial,60760.0,,135.0,forecast_vip,预增,120.0,150.0,56880.0,64640.0,2020-07-10,预计净利润56880-64640万,"1,本报告期参股公司越秀金控经营业绩同比大幅上升,公司按权益法确认的投资收益同比大幅增加;2,本报告期控股子公司恒建投公司开发的锦泽园交楼结转收入,使得房地产收益同比增长.",135.0,60760.0,,forecast_vip,穗恒运Ａ,火力发电,1994-01-06,,,189,missing_report_rc,,0,0,missing,,,,,,,,,,,,,,,,,,,,,forecast,,0.013120899718837897,410446.05,0,125,125,1.808635
000017.SZ,2020-07-13,2020-06-30,2020-06-30,2020-07-14,preannouncement,initial,250.0,,412.93025,forecast_vip,扭亏,350.3442,475.5163,200.0,300.0,2020-07-13,预计净利润200-300万,业绩变动原因主要是本期营业收入增长等原因所致。公司2018年度、2019年度连续两个会计年度经审计的净利润为负值，公司股票已被实施退市风险警示。如果公司2020年度经审计的归属上市公司股东净利润继续为负值，根据《深圳证券交易所股票上市规则》的有关规定，公司股票将自2020年年度报告公告之日起暂停上市。公司董事会敬请广大投资者注意投资风险。,412.93025,250.0,,forecast_vip,深中华A,服饰,1992-03-31,,,190,missing_report_rc,,0,0,missing,,,,,,,,,,,,,,,,,,,,,forecast,,0.025454545454545396,217525.49,0,126,126,2.23539
000025.SZ,2020-07-14,2020-06-30,2020-06-30,2020-07-15,preannouncement,initial,2750.0,,-38.864999999999995,forecast_vip,略减,-48.87,-28.86,2300.0,3200.0,2020-07-14,预计净利润2300-3200万,"根据本公司财务部门初步测算,报告期内本公司归属于上市公司股东的净利润预计较上年同期下降.主要原因是公司积极履行社会责任,响应国资委的号召,实施了物业免租降费方案,与客户共渡难关;同时珠宝商户受疫情影响春节期间珠宝市场行情惨淡,采购量急剧减少.",-38.864999999999995,2750.0,,forecast_vip,特力Ａ,综合类,1993-06-21,,,191,missing_report_rc,,0,0,missing,,,,,,,,,,,,,,,,,,,,,forecast,,-0.04886717014660158,159458.39,0,127,127,2.668825
000049.SZ,2020-07-14,2020-06-30,2020-06-30,2020-07-15,preannouncement,initial,17050.0,,0.0,forecast_vip,续盈,-5.0,5.0,16200.0,17900.0,2020-07-14,预计净利润16200-17900万,报告期内，公司统筹安排疫情防控与复工复产，努力减小疫情对生产经营的影响，自2020年3月份起已实现全面复产复工，生产经营逐步恢复到正常状态，上半年公司主营业务收入和净利润同比基本持平。,0.0,17050.0,,forecast_vip,德赛电池,电气设备,1995-03-20,,,192,missing_report_rc,,0,0,missing,,,,,,,,,,,,,,,,,,,,,forecast,,-0.03136531365313655,47201.16,0,127,127,3.11167
000409.SZ,2020-07-14,2020-06-30,2020-06-30,2020-07-15,preannouncement,initial,3000.0,,152.6915,forecast_vip,扭亏,152.6915,152.6915,3000.0,3000.0,2020-07-14,预计净利润3000万,"公司2020年上半年实现扭亏为盈,主要原因如下:一是报告期内公司实施重大资产出售,通过非公开协议转让方式出售山东鲁地矿业投资有限公司51%股权并完成交割手续,确认投资收益约6,000万元.根据《公开发行证券的公司信息披露解释性公告第1号-非经常性损益》相关规定,上述投资收益计入非经常性损益.二是报告期内公司收购北斗天地股份有限公司53.89%股权和山东兖矿国拓科技工程股份有限公司70%股权并完成交割手续,根据《企业会计准则》规定,报告期将上述两家企业纳入公司合并报表范围,增加公司净利润约400万元.因上述交易属于同一控制下企业合并,根据《公开发行证券的公司信息披露解释性公告第1号-非经常性损益》相关规定,上述净利润计入非经常性损益.三是报告期内公司通过优化债务结构,降低债务规模,财务费用同比减少约2,000万元.四是报告期内通过加强内部管控,提质增效,激发企业活力,使公司特种轮胎制造及医药制造板块同比减亏约2,300万元.",152.6915,3000.0,,forecast_vip,云鼎科技,软件服务,1996-06-27,,,193,missing_report_rc,,0,0,missing,,,,,,,,,,,,,,,,,,,,,forecast,,-0.024774774774774855,59954.27,0,127,127,1.2622550000000001
000421.SZ,2020-07-14,2020-06-30,2020-06-30,2020-07-15,preannouncement,initial,40721.5,,613.78,forecast_vip,预增,541.17,686.39,36579.0,44864.0,2020-07-14,预计净利润36579-44864万,2020年半年度归属于上市公司股东的净利润较去年同期上升，主要系本期公司控股子公司杭州朗优置业有限公司楼盘交付确认收益。,613.78,40721.5,,forecast_vip,南京公用,供气供热,1996-08-06,,,194,missing_report_rc,,0,0,missing,,,,,,,,,,,,,,,,,,,,,forecast,,0.10079051383399218,398736.42,0,127,127,1.0239550000000002
000503.SZ,2020-07-14,2020-06-30,2020-06-30,2020-07-15,preannouncement,initial,-12000.0,,-7.4372,forecast_vip,续亏,-7.4372,-7.4372,-12000.0,-12000.0,2020-07-14,预计净利润-12000万,"1,公司业务整体呈现前低后高的季节性特征,报告期公司营业收入同比上涨约840万元,涨幅约为27%,主要为医保基金综合管理服务业务收入同比上涨;2,报告期,公司总成本同比基本持平;3,报告期,公司证券投资浮亏约1,800万元,公允价值变动损益较去年同期减少约1,400万元.",-7.4372,-12000.0,,forecast_vip,国新健康,软件服务,1992-11-30,,,195,missing_report_rc,,0,0,missing,,,,,,,,,,,,,,,,,,,,,forecast,,-0.039453717754172946,194040.2,0,127,127,2.3253049999999997
000520.SZ,2020-07-14,2020-06-30,2020-06-30,2020-07-15,preannouncement,initial,460.0,,-80.47,forecast_vip,预减,-83.87,-77.07,380.0,540.0,2020-07-14,预计净利润380-540万,"1,报告期,受新冠疫情影响,沿海煤炭运价指数(CBCFI)平均值为564.02点,同比下降144.26点,降幅为20.37%;波罗的海干散货指数(BDI)平均值为685点,同比下降210点,降幅为23.42%.公司面临市场变化起伏,货运价格下降,人船周转不畅,诸多环节受困等困难,船舶港口卸载货效率下降,量减,价跌,海运效益同比大幅减少.2,受公司与大客户的船员派遣合同到期翘尾因素影响,船员劳务业务同比下降.3,上年同期,公司处置长期股权投资,船舶资产等非经常性损益项目,实现收益1,102万元,非经常性损益同比减少950万元左右.",-80.47,460.0,,forecast_vip,凤凰航运,水运,1993-10-25,,,196,missing_report_rc,,0,0,missing,,,,,,,,,,,,,,,,,,,,,forecast,,-0.021220159151193685,104944.63,0,127,127,0.8312799999999999
000529.SZ,2020-07-14,2020-06-30,2020-06-30,2020-07-15,preannouncement,initial,15500.0,,120.0,forecast_vip,预增,110.0,130.0,14800.0,16200.0,2020-07-14,预计净利润14800-16200万,2020年上半年公司业绩增长的原因，主要是公司各业务板块采取有效措施，积极克服新冠肺炎疫情给企业造成的不利影响，取得了较好的经营业绩。教育发行板块圆满完成春季教学用书发行工作，积极抓好市场教辅和幼儿教育材料拓展工作；食品板块科学谋划，积极拓展自主品牌产品营销渠道，确保了冻品的社会供应和交易市场正常运营；农牧板块继续延续去年的良好发展势头，有力化解疫情对企业的冲击和影响，抓住机遇，推动企业实现提质增效、高质量发展，主要产品量价齐升。综合各种因素影响，公司经营业绩大幅上升，导致公司合并净利润和归属于上市公司股东的净利润均同比增加。,120.0,15500.0,,forecast_vip,广弘控股,食品,1993-11-18,,,197,missing_report_rc,,0,0,missing,,,,,,,,,,,,,,,,,,,,,forecast,,-0.030786773090079822,177137.54,0,127,127,2.4203449999999997
000539.SZ,2020-07-14,2020-06-30,2020-06-30,2020-07-15,preannouncement,initial,80000.0,,37.56,forecast_vip,略增,28.96,46.16,75000.0,85000.0,2020-07-14,预计净利润75000-85000万,"在疫情防控常态化和统筹经济社会发展各项工作的积极作用下,公司今年上半年电力生产总体平稳,主要成本费用管控效果良好,主营业务利润率有所提高,使得公司经营业绩同比实现一定增长.",37.56,80000.0,,forecast_vip,粤电力Ａ,火力发电,1993-11-26,,,198,missing_report_rc,,0,0,missing,,,,,,,,,,,,,,,,,,,,,forecast,,-0.010152284263959421,242747.15,0,127,127,0.42036999999999997
000007.SZ,2020-07-15,2020-06-30,2020-06-30,2020-07-16,preannouncement,initial,-3750.0,,-813.5,forecast_vip,续亏,-996.2,-630.8,-4500.0,-3000.0,2020-07-15,预计净利润-4500~-3000万,"本业绩预告期间公司生产经营情况正常，本期业绩预计亏损主要系公司本期证券投资亏损及权益法核算的宁波梅山保税港区佳杉资产管理合伙企业（有限合伙）亏损所致。2020年1-6月非经常性损益影响净利润约-3,301万元，其中证券投资亏损约3,224万元，捐赠支出约36万元，诉讼赔偿支出约36万元，其他约5万元。",-813.5,-3750.0,,forecast_vip,全新好,其他商业,1992-04-13,,,199,missing_report_rc,,0,0,missing,,,,,,,,,,,,,,,,,,,,,forecast,,-0.048648648648648596,68051.41,0,128,128,2.556325
000008.SZ,2020-07-15,2020-06-30,2020-06-30,2020-07-16,preannouncement,initial,-27000.0,,-507.77365000000003,forecast_vip,首亏,-553.0818,-462.4655,-30000.0,-24000.0,2020-07-15,预计净利润-30000~-24000万,（一）变动原因1、疫情导致收入下降2、季节性因素影响3、继续坚持战略升级投入（二）改善措施1、全力推动合同交付验收。2、全力推动五个重大项目利润贡献。3、全力推动增收节支措施落实。4、全力推动回款工作。5、控股股东国投增强资金和信用支持。,-507.77365000000003,-27000.0,,forecast_vip,神州高铁,运输设备,1992-05-07,,,200,missing_report_rc,,0,0,missing,,,,,,,,,,,,,,,,,,,,,forecast,,-0.019292604501607746,371819.84,0,128,128,1.222625
000014.SZ,2020-07-15,2020-06-30,2020-06-30,2020-07-16,preannouncement,initial,2300.0,,677.8894499999999,forecast_vip,扭亏,652.7638,703.0151,2200.0,2400.0,2020-07-15,预计净利润2200-2400万,本报告期业绩变动原因：报告期内公司结转销售收入同比增加所致。,677.8894499999999,2300.0,,forecast_vip,沙河股份,全国地产,1992-06-02,,,201,missing_report_rc,,0,0,missing,,,,,,,,,,,,,,,,,,,,,forecast,,-0.0988416988416988,151789.19,0,128,128,5.56036
000016.SZ,2020-07-15,2020-06-30,2020-06-30,2020-07-16,preannouncement,initial,10000.0,,-71.655,forecast_vip,预减,-74.49,-68.82,9000.0,11000.0,2020-07-15,预计净利润9000-11000万,"(一)报告期内,本公司践行“科技+产业+园区”的长期发展战略,围绕“半导体+新消费电子+科技园区”的核心主线,持续推动公司向科技创新驱动的平台型公司转型.在消费电子业务方面,本公司积极将8K,5G,AI,物联网等前沿技术深入融合到产品中:本公司推出的APHAEA(阿斐亚)-A5智能AI电视可通过语音操控的方式与其它智能家电互联互通,从而成为智能家居中控设备;在2020年全国“两会”中,本公司参与组建了“5G+8K”超高清直播系统,公司的MicroLED8K新品电视承担了5G直播工作;本公司主导的“5G+超高清端到端直播系统”项目被认定为深圳市十大5G行业应用示范项目;本公司主持的《下一代互联网智慧终端关键技术研究及产业化》和《一种冰箱变频压缩机转速的模糊控制方法》项目分别荣获广东省科技进步二等奖和河南省科技成果奖.在新兴业务方面,本公司盐城半导体封测基地已开工建设;MicroLED相关技术和产品的研发正在稳步推进中.(二)受新型冠状病毒肺炎疫情影响,本公司在2020年第一季度出现了一定程度的亏损.随着疫情得到有效控制,市场逐步恢复,本公司多措并举降本增效,2020年第二季度经营情况得到逐步改善,但因营业收入同比下降,本报告期内经营业绩比上年同期有所下降。（三）预计本公司2020年1-6月非经常性损益对归属于上市公司股东的净利润的影响金额约为7.49亿元，主要为政府补贴收入和转让参股公司股权产生的收益。",-71.655,10000.0,,forecast_vip,深康佳Ａ,家用电器,1992-03-27,,,202,missing_report_rc,,0,0,missing,,,,,,,,,,,,,,,,,,,,,forecast,,-0.05128205128205121,881935.71,0,128,128,6.259275000000001
