ts_code,event_type,industry,report_period,announcement_date,event_trading_date,earnings_surprise,ES_std,guidance_yoy_midpoint,analyst_consensus_yoy_proxy,consensus_source,consensus_source_v2,positive_revision_dummy,size,beta,book_to_market,turnover20,CAR3,CAR5,CAR20
000550.SZ,guidance_initial,汽车整车,2020-06-30,2020-07-06,2020-07-07,322.525,0.5246004787143609,252.54,-69.985,cross_sectional_90d_median,fallback_zero,0,1651328.382,1.1774983076515946,0.7085163667280714,,0.0013687332517828311,0.008286514042748796,-0.027609199777789816
000159.SZ,guidance_initial,石油贸易,2020-06-30,2020-07-07,2020-07-08,488.3475,0.9674697234261223,465.735,-22.6125,cross_sectional_90d_median,fallback_zero,0,303793.5476,1.1758612986466284,0.676544212164265,,0.0030832404804683328,0.04606518652860757,0.08704765451700613
000400.SZ,guidance_initial,电气设备,2020-06-30,2020-07-07,2020-07-08,106.1125,0.17345426456264013,83.5,-22.6125,cross_sectional_90d_median,fallback_zero,0,2652492.3364,1.0484881186927058,0.4626844954425577,,0.029817258167497654,0.04186409792302601,0.060121790912377966
000557.SZ,guidance_initial,铁路,2020-06-30,2020-07-07,2020-07-08,28.4225,0.012069093139029211,5.81,-22.6125,cross_sectional_90d_median,fallback_zero,0,682519.376,0.861369643978668,0.9280742459396752,,0.022514985089605213,0.04855058474888583,-0.038214892382735274
000612.SZ,guidance_initial,铝,2020-06-30,2020-07-07,2020-07-08,559.68895,1.1156670736366894,537.07645,-22.6125,cross_sectional_90d_median,fallback_zero,0,1636889.768,0.8726621601859329,0.4392901071867861,,0.15822260972610722,0.21089971467140367,0.24643511817008507
000661.SZ,guidance_initial,生物制药,2020-06-30,2020-07-07,2020-07-08,102.6125,0.16618372652708036,80.0,-22.6125,cross_sectional_90d_median,fallback_zero,0,3561294.6282,0.7628379065419435,0.6460365656696169,,0.003985014687044888,0.06180954590786623,0.10160907119849114
000688.SZ,guidance_initial,铅锌,2020-06-30,2020-07-07,2020-07-08,-45.74250000000001,-0.14199360783448223,-68.355,-22.6125,cross_sectional_90d_median,fallback_zero,0,5537821.3901,0.4300676277907433,0.046981000883242814,,0.07550275130784741,0.13553123354113547,0.20590366900750384
000530.SZ,guidance_initial,机械基件,2020-06-30,2020-07-08,2020-07-09,-160.58075000000002,-0.25564925502707947,-123.06825,37.5125,cross_sectional_90d_median,fallback_zero,0,510986.7792,0.8884435965664038,0.6227813414710096,,0.013235559341846333,0.014779382983689013,0.133465479335173
000591.SZ,guidance_initial,新型电力,2020-06-30,2020-07-08,2020-07-09,21.432499999999997,0.1224462470017344,58.945,37.5125,cross_sectional_90d_median,fallback_zero,0,2092451.6729,1.0433559645734096,1.151808339092375,,0.020295526378461156,0.01764925938767374,0.33552789069822075
000603.SZ,guidance_initial,铅锌,2020-06-30,2020-07-08,2020-07-09,-127.61749999999999,-0.18717480848403217,-90.10499999999999,37.5125,cross_sectional_90d_median,fallback_zero,0,2840603.7975,1.2182586675708411,0.115830563052367,,0.06356080356812582,0.07795499497414686,0.40985815281033533
