ts_code,event_type,industry,report_period,announcement_date,event_trading_date,earnings_surprise,ES_std,guidance_yoy_midpoint,analyst_consensus_yoy_proxy,consensus_source,consensus_source_v2,positive_revision_dummy,size,beta,book_to_market,turnover20,CAR20,CAR60
000599.SZ,guidance_initial,汽车配件,2020-06-30,2020-07-10,2020-07-13,-276.5468,-0.5230358589291085,-251.7868,24.759999999999998,cross_sectional_90d_median,fallback_zero,0,1234444.8413,0.9181020357764936,0.5054334091483447,,0.15317662878965735,0.017816140814074406
000626.SZ,guidance_initial,商贸代理,2020-06-30,2020-07-11,2020-07-13,-349.68104999999997,-0.6506166637563842,-313.20354999999995,36.4775,cross_sectional_90d_median,fallback_zero,0,428099.7001,1.1919765283710282,0.5009016229212583,,-0.008117292890683334,-0.04243671883961216
000629.SZ,guidance_initial,小金属,2020-06-30,2020-07-11,2020-07-13,-129.6025,-0.1934482441604295,-93.125,36.4775,cross_sectional_90d_median,fallback_zero,0,3196086.0587,1.0377340269484996,0.3842902159711014,,0.008118853567124364,-0.0815769804012669
000631.SZ,guidance_initial,综合类,2020-06-30,2020-07-11,2020-07-13,-104.48249999999999,-0.14126655403092625,-68.005,36.4775,cross_sectional_90d_median,fallback_zero,0,749800.0277,0.7210173518805101,0.7260055176419341,,-0.021149038915494828,-0.10773997450429637
000655.SZ,guidance_initial,普钢,2020-06-30,2020-07-10,2020-07-13,23.435000000000002,0.10011530874965797,48.195,24.759999999999998,cross_sectional_90d_median,fallback_zero,0,511992.5978,1.1376761378007074,0.6899406651028012,,0.16670181775578216,-0.03765091418139414
000692.SZ,guidance_initial,供气供热,2020-06-30,2020-07-11,2020-07-13,-42.440799999999996,-0.01238754270498673,-5.9633,36.4775,cross_sectional_90d_median,fallback_zero,0,226986.8478,0.8027993604713383,,,0.020517875731449454,0.1729629060449916
000708.SZ,guidance_initial,特种钢,2020-06-30,2020-07-11,2020-07-13,-36.5859,-0.00022517894944419354,-0.10839999999999983,36.4775,cross_sectional_90d_median,fallback_zero,0,8499414.3768,0.8181886817001688,0.5070736778053851,,0.04196278684893014,-0.0743125305373818
000715.SZ,guidance_initial,百货,2020-06-30,2020-07-11,2020-07-13,-149.4929,-0.23476650408685748,-113.0154,36.4775,cross_sectional_90d_median,fallback_zero,0,311830.7769,0.7200110056498406,0.6459113809585325,,-0.11012047352735503,-0.1499201862953347
000716.SZ,guidance_initial,食品,2020-06-30,2020-07-10,2020-07-13,-258.79,-0.4861497189891577,-234.03,24.759999999999998,cross_sectional_90d_median,fallback_zero,0,389241.0539,1.3426077748941014,0.6543646119617851,,0.06136077147343077,-0.0594476248714409
000735.SZ,guidance_initial,农业综合,2020-06-30,2020-07-11,2020-07-13,201.62250000000003,0.494604316076223,238.10000000000002,36.4775,cross_sectional_90d_median,fallback_zero,0,799150.4231,0.7014152065410292,0.5281783129984683,,0.023376937408184223,-0.05301158812023937
000737.SZ,guidance_initial,铜,2020-06-30,2020-07-10,2020-07-13,1302.64,2.7574034824005813,1327.4,24.759999999999998,cross_sectional_90d_median,fallback_zero,0,2674221.8747,0.5256937814472621,0.24896058953867603,,0.07483169953820687,0.2639126150523002
000791.SZ,guidance_initial,水力发电,2020-06-30,2020-07-11,2020-07-13,-39.1175,-0.005484062975393653,-2.64,36.4775,cross_sectional_90d_median,fallback_zero,0,2637241.7102,0.5627405781742137,0.5706785367802317,,0.08324349507991344,0.08122270739525875
000816.SZ,guidance_initial,农用机械,2020-06-30,2020-07-10,2020-07-13,181.28635,0.4280193785037886,206.04635,24.759999999999998,cross_sectional_90d_median,fallback_zero,0,470279.3284,0.5733300066939814,0.41893590280687054,,0.06949252566811412,0.04833163161479728
000017.SZ,guidance_initial,服饰,2020-06-30,2020-07-13,2020-07-14,415.57025,0.8577785967594866,412.93025,-2.64,cross_sectional_90d_median,fallback_zero,0,474848.4188,0.9291460049770247,0.07882208279471577,,0.016533574766467843,-0.06623296832999644
000025.SZ,guidance_initial,综合类,2020-06-30,2020-07-14,2020-07-15,-36.224999999999994,-0.08073413164343722,-38.864999999999995,-2.64,cross_sectional_90d_median,fallback_zero,0,702194.0033,0.7363647667363714,0.2573870071038814,,-0.04201792240658014,-0.05124391425873487
000049.SZ,guidance_initial,电气设备,2020-06-30,2020-07-14,2020-07-15,2.64,0.0,0.0,-2.64,cross_sectional_90d_median,fallback_zero,0,1050063.1978,1.224173477995819,0.6344775077723495,,0.03819654128802192,-0.03822184429214318
000409.SZ,guidance_initial,软件服务,2020-06-30,2020-07-14,2020-07-15,155.33149999999998,0.31718553098762114,152.6915,-2.64,cross_sectional_90d_median,fallback_zero,0,757725.0646,0.6419829039252348,0.2118958320089844,,-0.03311422776042587,-0.06276964958905044
000421.SZ,guidance_initial,供气供热,2020-06-30,2020-07-14,2020-07-15,616.42,1.2750030958473924,613.78,-2.64,cross_sectional_90d_median,fallback_zero,0,349244.7663,0.7030457657124943,0.7848061528802386,,0.45406238408048427,0.3482482903289443
000503.SZ,guidance_initial,软件服务,2020-06-30,2020-07-14,2020-07-15,-4.7972,-0.015449270136590027,-7.4372,-2.64,cross_sectional_90d_median,fallback_zero,0,757941.4133,1.0400546992839586,0.16579073892932342,,0.03899651528127264,-0.1485032148613203
