ts_code,event_type,report_period,announcement_date,event_trading_date,earnings_surprise,guidance_yoy_midpoint,analyst_consensus_yoy_proxy,consensus_source,positive_revision_dummy,CAR20,CAR60,size,beta,book_to_market,turnover20
000401.SZ,guidance_initial,2020-06-30,2020-07-10,2020-07-13,-36.32,-32.32,4.0,cross_sectional_90d_median,0,0.06768994233455347,-0.10751032003664637,1270627.8383,0.9874999512631898,2.14638334406525,
000531.SZ,guidance_initial,2020-06-30,2020-07-10,2020-07-13,131.0,135.0,4.0,cross_sectional_90d_median,0,0.03913112776838334,-0.07892612324428044,695656.0898,0.9066151883371215,0.9697439875872771,
000544.SZ,guidance_initial,2020-06-30,2020-07-11,2020-07-13,26.034400000000005,54.575,28.540599999999998,cross_sectional_90d_median,0,0.018217972045008066,-0.04432958631930999,806064.0716,0.8378790874558152,1.1299435028248588,
000566.SZ,guidance_initial,2020-06-30,2020-07-11,2020-07-13,-67.0406,-38.5,28.540599999999998,cross_sectional_90d_median,0,0.3151504463740292,0.16462260650760524,718740.2798,0.32061093901851884,0.011377496222671256,
000599.SZ,guidance_initial,2020-06-30,2020-07-10,2020-07-13,-255.7868,-251.7868,4.0,cross_sectional_90d_median,0,0.15317662878965735,0.017816140814074406,1234444.8413,0.9181020357764936,0.5054334091483447,
000626.SZ,guidance_initial,2020-06-30,2020-07-11,2020-07-13,-341.74414999999993,-313.20354999999995,28.540599999999998,cross_sectional_90d_median,0,-0.008117292890683334,-0.04243671883961216,428099.7001,1.1919765283710282,0.5009016229212583,
000629.SZ,guidance_initial,2020-06-30,2020-07-11,2020-07-13,-121.6656,-93.125,28.540599999999998,cross_sectional_90d_median,0,0.008118853567124364,-0.0815769804012669,3196086.0587,1.0377340269484996,0.3842902159711014,
000631.SZ,guidance_initial,2020-06-30,2020-07-11,2020-07-13,-96.5456,-68.005,28.540599999999998,cross_sectional_90d_median,0,-0.021149038915494828,-0.10773997450429637,749800.0277,0.7210173518805101,0.7260055176419341,
000655.SZ,guidance_initial,2020-06-30,2020-07-10,2020-07-13,44.195,48.195,4.0,cross_sectional_90d_median,0,0.16670181775578216,-0.03765091418139414,511992.5978,1.1376761378007074,0.6899406651028012,
000692.SZ,guidance_initial,2020-06-30,2020-07-11,2020-07-13,-34.5039,-5.9633,28.540599999999998,cross_sectional_90d_median,0,0.020517875731449454,0.1729629060449916,226986.8478,0.8027993604713383,,
000708.SZ,guidance_initial,2020-06-30,2020-07-11,2020-07-13,-28.648999999999997,-0.10839999999999983,28.540599999999998,cross_sectional_90d_median,0,0.04196278684893014,-0.0743125305373818,8499414.3768,0.8181886817001688,0.5070736778053851,
000715.SZ,guidance_initial,2020-06-30,2020-07-11,2020-07-13,-141.55599999999998,-113.0154,28.540599999999998,cross_sectional_90d_median,0,-0.11012047352735503,-0.1499201862953347,311830.7769,0.7200110056498406,0.6459113809585325,
000716.SZ,guidance_initial,2020-06-30,2020-07-10,2020-07-13,-238.03,-234.03,4.0,cross_sectional_90d_median,0,0.06136077147343077,-0.0594476248714409,389241.0539,1.3426077748941014,0.6543646119617851,
000735.SZ,guidance_initial,2020-06-30,2020-07-11,2020-07-13,209.55940000000004,238.10000000000002,28.540599999999998,cross_sectional_90d_median,0,0.023376937408184223,-0.05301158812023937,799150.4231,0.7014152065410292,0.5281783129984683,
000737.SZ,guidance_initial,2020-06-30,2020-07-10,2020-07-13,1323.4,1327.4,4.0,cross_sectional_90d_median,0,0.07483169953820687,0.2639126150523002,2674221.8747,0.5256937814472621,0.24896058953867603,
000791.SZ,guidance_initial,2020-06-30,2020-07-11,2020-07-13,-31.1806,-2.64,28.540599999999998,cross_sectional_90d_median,0,0.08324349507991344,0.08122270739525875,2637241.7102,0.5627405781742137,0.5706785367802317,
000816.SZ,guidance_initial,2020-06-30,2020-07-10,2020-07-13,202.04635,206.04635,4.0,cross_sectional_90d_median,0,0.06949252566811412,0.04833163161479728,470279.3284,0.5733300066939814,0.41893590280687054,
000876.SZ,guidance_initial,2020-06-30,2020-07-11,2020-07-13,74.7394,103.28,28.540599999999998,cross_sectional_90d_median,0,0.10930743291107267,-0.09420589350554195,14191106.5203,0.808491077388941,0.1965177062453327,
000886.SZ,guidance_initial,2020-06-30,2020-07-11,2020-07-13,-88.1706,-59.629999999999995,28.540599999999998,cross_sectional_90d_median,0,0.01384786647114198,-0.024226297449204067,603185.263,0.8055966550729037,0.46063844488461003,
000948.SZ,guidance_initial,2020-06-30,2020-07-11,2020-07-13,22.7892,51.3298,28.540599999999998,cross_sectional_90d_median,0,-0.06411018059256082,-0.16141661455856202,581277.6574,1.2233116226706635,0.36743092298647856,
000952.SZ,guidance_initial,2020-06-30,2020-07-10,2020-07-13,-75.735,-71.735,4.0,cross_sectional_90d_median,0,0.026191310855627176,-0.02202620371602322,323746.3714,-0.0053258086370730545,0.39701445132602825,
000955.SZ,guidance_initial,2020-06-30,2020-07-11,2020-07-13,2585.1744000000003,2613.715,28.540599999999998,cross_sectional_90d_median,0,-0.08146308710189655,-0.2396231967604574,609463.14,-0.06504732565847904,0.11030709495234733,
000987.SZ,guidance_initial,2020-06-30,2020-07-10,2020-07-13,160.0,164.0,4.0,cross_sectional_90d_median,0,0.10721338121746106,-0.10142142398208728,6111404.1539,1.1836653150857328,0.360269481572216,
000990.SZ,guidance_initial,2020-06-30,2020-07-11,2020-07-13,-244.62515000000002,-216.08455,28.540599999999998,cross_sectional_90d_median,0,0.0034755582525401677,-0.2574681748126119,2241638.3231,1.0716057048519279,0.7132158904500393,
001872.SZ,guidance_initial,2020-06-30,2020-07-11,2020-07-13,-104.0406,-75.5,28.540599999999998,cross_sectional_90d_median,0,0.06826821226158053,-0.05317751266941468,5358416.0224,0.6985597312772761,1.2012012012012012,
001896.SZ,guidance_initial,2020-06-30,2020-07-10,2020-07-13,600.985,604.985,4.0,cross_sectional_90d_median,0,0.01653554310452364,-0.011907516846966993,2602982.949,0.8037732650632108,0.13480540839298472,
002035.SZ,guidance_initial,2020-06-30,2020-07-11,2020-07-13,-82.9906,-54.45,28.540599999999998,cross_sectional_90d_median,0,0.01728462450615606,-0.06971738463229843,544193.6228,1.1425947879963683,0.6988120195667366,
002106.SZ,guidance_initial,2020-06-30,2020-07-10,2020-07-13,137.375,141.375,4.0,cross_sectional_90d_median,0,0.20299304485831504,0.0005184644716851525,749576.7619,1.2544653833294792,0.7450454477723141,
002109.SZ,guidance_initial,2020-06-30,2020-07-10,2020-07-13,-44.265,-40.265,4.0,cross_sectional_90d_median,0,0.04201258727278353,0.07151969244002804,506679.1308,0.951867304856469,0.8044405116241653,
002110.SZ,guidance_initial,2020-06-30,2020-07-11,2020-07-13,-81.65559999999999,-53.114999999999995,28.540599999999998,cross_sectional_90d_median,0,-0.0939865856399328,-0.1791290660704285,918190.8138,1.2860116999902416,2.141786249732277,
002123.SZ,guidance_initial,2020-06-30,2020-07-11,2020-07-13,-108.4406,-79.9,28.540599999999998,cross_sectional_90d_median,0,-0.026075648862331297,-0.19447269849736246,804616.1684,1.0624722326130653,0.21453702909122113,
002130.SZ,guidance_initial,2020-06-30,2020-07-10,2020-07-13,51.0,55.0,4.0,cross_sectional_90d_median,0,0.12378842919987827,-0.008009974156089793,3579511.9846,1.1093879840660308,0.24932060136129047,
002151.SZ,guidance_initial,2020-06-30,2020-07-10,2020-07-13,246.0836,250.0836,4.0,cross_sectional_90d_median,0,0.7393655501045978,0.4395696729580642,2083692.0841,1.1047445087871866,0.23208856499640262,
002160.SZ,guidance_initial,2020-06-30,2020-07-11,2020-07-13,-826.97105,-798.43045,28.540599999999998,cross_sectional_90d_median,0,0.020091608106042123,-0.24053307326789772,531882.301,1.727670407648199,0.6999370056694897,
002163.SZ,guidance_initial,2020-06-30,2020-07-10,2020-07-13,182.58715,186.58715,4.0,cross_sectional_90d_median,0,0.8057821505211897,0.6866983923185199,1094220.4378,0.8768159573348991,0.06436828960580859,
002186.SZ,guidance_initial,2020-06-30,2020-07-11,2020-07-13,-578.8840500000001,-550.3434500000001,28.540599999999998,cross_sectional_90d_median,0,-0.0022630151655672875,-0.17006123372568802,327178.4128,0.587091435366201,0.2643754130865829,
000017.SZ,guidance_initial,2020-06-30,2020-07-13,2020-07-14,417.96525,412.93025,-5.035,cross_sectional_90d_median,0,0.016533574766467843,-0.06623296832999644,474848.4188,0.9291460049770247,0.07882208279471577,
002157.SZ,guidance_initial,2020-06-30,2020-07-13,2020-07-14,978.0099999999999,972.9749999999999,-5.035,cross_sectional_90d_median,0,0.18549206649361583,-0.00835167942004296,3163555.6054,1.1334918644587626,0.3711125955614934,
