ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
000099.SZ,20260317,20251231,0.4,0.4,2.8815,2.8815,2.507,0.5,3.0557,24983060.55,283686107.26,531520292.56,5.4491,5.0229,4.6335,2.1029,0.6407,0.9485,0.302,366207901.6,427495256.67,954183317.73,816518170.6035,815517246.6235,519831201.3,452229362.69,1169972655.08,-989589353.83,5111612709.72,3027884217.69,1029054110.22,6760937343.19,2758442535.79,0.3979,7.0812,1.2737,3.5557,0.3713,0.5511,1.0525,1.0512,13.0681,23.7776,76.2224,6.4081,13.0681,0.3287,4.6651,1.4142,-0.6941,83.6176,18.1691,19.1241,5.7082,5.7,5.2462,5.7751,3.9463,4.6966,5.7082,5.7751,27.6999,1.3831,1.3689,47.9561,52.0439,66.1013,17.3049,81.2523,31.7718,68.2282,1.4518,0.3831,2.5646,4.6953,2.3863,4.369,,0.4613,246.2172,3.9463,4.1698,2431343057.96,18.2889,0.2314,84.7343,1.168,0.7039,0.7029,50.4036,2.5641,2.5641,61.2074,3.0935,4.1065,1.7938,-5.83,61.1961,-1.3908,3.229,9.3486,3.2294,3.3308,3.3308,-9.5163,-39.5194,3.2294
000099.SZ,20251030,20250930,0.3154,0.3154,2.1045,2.1045,2.507,0.4897,3.0465,-452548.65,245102278.1,402892328.11,5.2743,4.8527,4.3867,1.4822,0.4638,0.702,0.2197,274193889.76,342117107.39,,234271002.5095,233270078.5295,564076762.74,507419362.69,1140408784.19,-923061791.24,5114456660.55,3055710289.03,1143068041.19,6716229115.91,2743296609.43,0.3154,7.0501,0.882,3.5362,0.2636,0.441,0.302,0.3007,14.5517,24.6775,75.3225,7.6027,14.5517,0.3647,5.8856,1.3524,-0.0001,83.2054,20.362,20.955,4.5344,4.53,4.5428,4.6047,3.1976,3.7801,6.0459,6.1396,28.4025,1.3967,1.3771,48.4174,51.5826,65.6733,16.9799,81.4332,32.3208,67.6792,0.9571,0.3967,2.4726,4.7959,2.3122,4.4848,,0.3094,262.5069,4.2635,3.2928,2357345600.27,20.3196,0.3362,79.2413,1.6824,1.6864,1.1751,28.6055,25.5573,25.5573,33.0317,29.7765,29.6454,25.5306,26.97,33.0299,20.1167,2.7756,10.1224,2.7751,9.0469,9.0469,11.1094,34.9685,4.5072
000099.SZ,20250826,20250630,0.1977,0.1977,1.3381,1.3381,2.507,0.4897,2.9289,-234564.34,153639335.84,240762264.26,4.6653,4.2572,3.8535,0.9548,0.3121,0.4456,0.1436,150766169.53,216157918.25,468596697.37,541962890.167,540961966.187,557276841.1,243836820.69,1096855003.63,-667981820.53,5045586628.59,2658245841.82,1061374905.89,6583532794.68,2652051651.48,0.1977,6.9325,0.6628,3.4186,0.383,0.2786,0.6986,0.6973,14.2993,23.1938,76.8062,8.391,14.2993,0.381,6.4817,1.5284,-0.0001,85.4759,20.284,20.8236,2.8675,2.85,2.8719,2.9905,2.0535,2.3796,5.735,5.981,25.7016,1.3459,1.3511,45.8179,54.1821,68.3254,16.6606,81.6886,38.2115,61.7885,0.709,0.3459,2.8336,4.9031,2.6584,4.6,,0.2709,270.0873,4.107,2.1223,2394638886.57,20.2478,0.3151,83.9237,1.1527,1.1534,0.8171,30.2741,15.8172,15.8172,31.5863,23.0419,22.8836,15.8597,16.32,31.5944,11.3976,1.0613,4.4227,1.0605,7.8996,7.8996,7.472,-24.9096,4.0056
000099.SZ,20250429,20250331,0.1176,0.1176,0.639,0.639,2.507,0.4897,2.9738,-200159.59,91411441.06,108314017.26,4.8068,4.3981,3.9524,0.4588,0.1496,0.2096,0.0697,63577200.04,122766223.25,,226001189.2925,226001189.2925,544983940.5,243836820.69,846943616.3,-891380124.6,5080654924.78,2657958433.65,1072860930.73,6371168979.97,2686829421.23,0.1176,6.9773,0.4512,3.4634,0.2843,0.1583,0.2913,0.2913,17.9563,21.8508,78.1492,8.7602,17.9563,0.453,6.8622,1.445,,87.1742,24.26,24.7663,1.6994,1.7,1.7032,1.7252,1.2508,1.4435,6.7976,6.9008,22.8459,1.2961,1.3258,46.8739,53.1261,70.959,13.2934,84.9573,42.684,57.316,0.5013,0.2961,3.309,6.391,3.106,5.9988,,0.214,278.6117,5.0032,1.2818,2447029270.6,24.2055,0.453,87.1742,1.6994,1.7032,1.2508,70.6054,9.1922,9.1922,-17.4684,13.9583,13.6917,9.1799,9.6,-17.4712,4.5934,1.7144,1.2459,1.714,8.3713,8.3713,8.3713,-12.7318,4.3851
000099.SZ,20250429,20250331,0.1176,0.1176,0.639,0.639,2.507,0.4897,2.9738,-200159.59,91411441.06,108314017.26,4.8068,4.3981,3.9524,0.4588,0.1496,0.2096,0.0697,63577200.04,122766223.25,,,,544983940.5,243836820.69,846943616.3,-891380124.6,5080654924.78,2657958433.65,1072860930.73,6371168979.97,2686829421.23,0.1176,6.9773,0.4512,3.4634,0.2843,0.1583,,,17.9563,21.8508,78.1492,8.7602,17.9563,0.453,6.8622,1.445,,87.1742,24.26,24.7663,1.6994,1.7,1.7032,1.7252,1.2508,1.4435,6.7976,6.9008,22.8459,1.2961,1.3258,46.8739,53.1261,70.959,13.2934,84.9573,42.684,57.316,0.5013,0.2961,3.309,6.391,3.106,5.9988,,0.214,278.6117,5.0032,1.2818,2447029270.6,24.2055,0.453,87.1742,1.6994,1.7032,1.2508,70.6054,9.1922,9.1922,-17.4684,13.9583,13.6917,9.1799,9.6,-17.4712,4.5934,1.7144,1.2459,1.714,8.3713,8.3713,8.3713,-12.7318,4.3851
000099.SZ,20250318,20241231,0.39,0.39,2.7886,2.7886,2.507,0.4897,2.8562,1972466.03,301257490.3,498472210.75,4.381,3.9866,3.6093,2.0416,0.7158,0.8826,0.3236,337521756.67,399892157.68,892947578.55,519065117.4534,505052181.7334,581331454.45,243836820.69,811493593.88,-656562979.61,5018134725.54,2522799393.57,1219573624.19,6246709715.22,2595618139.76,0.3909,6.8597,0.7901,3.3459,-0.921,0.5155,0.6691,0.651,13.4015,23.042,76.958,6.7421,13.4015,0.4274,5.7415,0.5732,-0.6794,84.398,18.2109,18.4851,5.8182,5.82,5.7804,5.9813,4.3364,4.9553,5.8182,5.9813,23.1432,1.3011,1.2828,46.2248,53.7752,70.959,12.9907,85.1899,45.5905,54.4095,0.8215,0.3011,3.2515,6.5577,3.0661,6.1838,,0.3745,253.43,4.3364,4.5355,2518952530.43,18.1526,0.3479,79.379,2.0528,2.0505,1.4556,14.8007,25.8065,25.8065,5.1084,30.1667,24.8795,26.8091,43.09,5.1074,21.5735,4.3062,12.2621,4.3066,9.8294,9.8294,18.6844,62.0553,4.3066
000099.SZ,20241030,20240930,0.2512,0.2512,1.9299,1.9299,2.507,0.4499,2.7563,1849613.37,193042872.7,323206432.84,5.2202,4.6548,4.1768,1.5714,0.518,0.6072,0.2328,200156824.73,270978030.31,,-116022419.3088,-123028887.1688,415970738.24,201929340.65,589670702.16,-803069970.24,4944221365.98,2429669994.0,1196689164.81,5946525968.32,2487280669.5,0.2512,6.746,0.663,3.2062,0.2028,0.3493,-0.1496,-0.1586,12.7353,21.5877,78.4123,8.3413,12.7353,0.4628,6.6078,1.2706,-0.0001,86.6311,17.1095,18.0992,3.7714,3.77,3.7356,4.213,2.9644,3.4767,5.0285,5.6173,18.3957,1.2254,1.2447,45.7831,54.2169,75.3184,9.9162,88.007,47.6768,52.3232,0.8934,0.2254,4.3338,8.8751,4.0944,8.3847,,0.426,258.0833,3.9525,3.0301,2526040755.17,17.0911,0.5267,84.4003,1.2012,1.1718,0.9283,23.104,0.2394,0.2394,37.3239,7.0135,1.777,0.2614,10.72,37.3465,-2.9912,2.5774,4.2066,2.5777,6.3006,6.3006,6.6655,29.624,3.3529
000099.SZ,20240828,20240630,0.1707,0.1707,1.2401,1.2401,2.507,0.4499,2.6757,322955.1,132082666.81,198346489.32,5.342,4.7738,4.276,1.0419,0.3395,0.3858,0.1511,116677392.4,180241793.79,415795360.49,264252373.9793,257245906.1193,397470608.62,201929340.65,538317486.47,-805979760.91,4875791885.11,2350300561.19,1149831302.17,5834838518.18,2424793805.34,0.1707,6.6655,0.5037,3.1257,0.1402,0.2323,0.3406,0.3316,13.5477,20.6171,79.3829,7.8441,13.5477,0.4273,6.263,1.1538,-0.0002,87.872,17.7878,18.7352,2.5778,2.57,2.5715,2.8309,2.0471,2.3879,5.1556,5.6618,17.6822,1.2148,1.2396,44.9408,55.0592,75.7788,9.2259,88.6207,47.5776,52.4224,0.7218,0.2148,4.545,9.6056,4.2856,9.0575,,0.3434,258.791,4.0942,2.0796,2579086402.83,17.7788,0.4213,87.2523,0.9437,0.9401,0.7156,-6.6089,2.1544,2.1544,19.3885,8.14,0.4898,2.1117,19.24,19.3895,-0.2893,1.3533,2.1399,1.3529,6.0987,6.0987,0.5602,-37.8357,2.4079
000099.SZ,20240426,20240331,0.1077,0.1077,0.5896,0.5896,2.507,0.4499,2.6944,138572.21,83403601.97,89504226.53,5.2968,4.7186,4.2182,0.5646,0.1626,0.1844,0.0718,52347697.47,109806906.49,,89308810.3955,89308810.3955,378989466.19,201929340.65,548440414.22,-985990284.96,4890152301.93,2311123632.48,935571868.16,5862265742.42,2439310777.8,0.1077,6.6842,0.5467,3.1444,0.3853,0.1415,0.1151,0.1151,18.4211,19.5677,80.4323,7.8183,18.4211,0.434,6.4673,0.917,,88.5556,23.0706,24.0063,1.6242,1.64,1.6215,1.7235,1.3225,1.5206,6.4968,6.894,17.528,1.2125,1.2387,44.2171,55.7829,75.8965,9.3554,88.4537,47.626,52.374,0.7885,0.2125,4.5914,9.4548,4.33,8.9165,,0.3755,248.7438,5.29,1.3112,2549499707.75,23.0727,0.434,88.5556,1.6242,1.6215,1.3225,92.7143,21.6949,21.6949,104.7566,19.1848,19.294,21.6856,22.76,104.7605,17.06,1.6376,2.2819,1.6375,12.9628,12.9628,12.9628,66.7427,3.9515
000099.SZ,20240319,20231231,0.31,0.31,2.539,2.539,2.507,0.4499,2.5867,28589184.57,210533964.89,416762254.77,4.8115,4.2966,3.8567,2.0424,0.6905,0.8385,0.3087,218975339.77,332074569.57,772815738.42,341951936.2748,23538502.3748,428664501.51,201900000.0,439306010.68,-796194637.17,4821178378.8,2198676826.51,1111357912.02,5668871826.23,2355768603.62,0.3082,6.5765,0.7517,3.0367,-0.2759,0.4281,0.4408,0.0303,12.063,21.1585,78.8415,9.3518,12.063,0.501,7.417,1.4337,-0.0207,88.8829,15.3656,16.859,4.7722,4.77,4.2017,5.2037,3.7233,4.3585,4.7722,5.2037,16.9836,1.2046,1.2736,44.0599,55.9401,76.5335,7.7494,89.9976,53.9174,46.0826,1.011,0.2046,4.7687,11.6134,4.5063,10.9745,,0.5451,257.3991,3.7233,3.7471,2605249965.72,15.9649,0.4467,91.527,0.8802,0.7119,0.7764,37.1785,24.0,24.0,-1.982,47.0411,52.7129,23.1133,9.34,-1.9717,18.716,3.7041,-2.5413,3.704,9.5432,9.5432,13.7049,-21.9893,3.704
